key,0,1
#,,
int32,str,str
0,"TEXT_AKTKMB105_04384_SEQ_00","Emmanellain guckt wie immer etwas ziellos in der Gegend herum."
1,"TEXT_AKTKMB105_04384_SEQ_01",""
2,"TEXT_AKTKMB105_04384_SEQ_02",""
3,"TEXT_AKTKMB105_04384_SEQ_03",""
4,"TEXT_AKTKMB105_04384_SEQ_04",""
5,"TEXT_AKTKMB105_04384_SEQ_05",""
6,"TEXT_AKTKMB105_04384_SEQ_06",""
7,"TEXT_AKTKMB105_04384_SEQ_07",""
8,"TEXT_AKTKMB105_04384_SEQ_08",""
9,"TEXT_AKTKMB105_04384_SEQ_09",""
10,"TEXT_AKTKMB105_04384_SEQ_10",""
11,"TEXT_AKTKMB105_04384_SEQ_11",""
12,"TEXT_AKTKMB105_04384_SEQ_12",""
13,"TEXT_AKTKMB105_04384_SEQ_13",""
14,"TEXT_AKTKMB105_04384_SEQ_14",""
15,"TEXT_AKTKMB105_04384_SEQ_15",""
16,"TEXT_AKTKMB105_04384_SEQ_16",""
17,"TEXT_AKTKMB105_04384_SEQ_17",""
18,"TEXT_AKTKMB105_04384_SEQ_18",""
19,"TEXT_AKTKMB105_04384_SEQ_19",""
20,"TEXT_AKTKMB105_04384_SEQ_20",""
21,"TEXT_AKTKMB105_04384_SEQ_21",""
22,"TEXT_AKTKMB105_04384_SEQ_22",""
23,"TEXT_AKTKMB105_04384_SEQ_23",""
24,"TEXT_AKTKMB105_04384_TODO_00","Mit Emmanellain sprechen"
25,"TEXT_AKTKMB105_04384_TODO_01","Nach Fußspuren im Schnee suchen"
26,"TEXT_AKTKMB105_04384_TODO_02","Weiter nach Fußspuren im Schnee suchen"
27,"TEXT_AKTKMB105_04384_TODO_03","Mit Alisaie sprechen"
28,"TEXT_AKTKMB105_04384_TODO_04","Am Zielort umsehen"
29,"TEXT_AKTKMB105_04384_TODO_05","Dem Mädchen in grüner Kleidung folgen"
30,"TEXT_AKTKMB105_04384_TODO_06","Mit dem Mädchen in grüner Kleidung sprechen"
31,"TEXT_AKTKMB105_04384_TODO_07",""
32,"TEXT_AKTKMB105_04384_TODO_08",""
33,"TEXT_AKTKMB105_04384_TODO_09",""
34,"TEXT_AKTKMB105_04384_TODO_10",""
35,"TEXT_AKTKMB105_04384_TODO_11",""
