#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27,Unknown28,Unknown29,Unknown30,Unknown31,Unknown32,Unknown33,Unknown34,Unknown35,Unknown36,Unknown37,Unknown38,Unknown39,Unknown40,Unknown41,Unknown42,Unknown43,Unknown44,Unknown45,Unknown46,Unknown47,Unknown48,Unknown49,Unknown50,Unknown51,Unknown52
0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Befehl: Korrumpierte Riesenkristalle zersplittern,Ein temporärer Fehler in der Ökokontrolle des Zentralkristalls hat zu Riesenkristallaufkommen in der Nähe der Schreienden Krümel geführt. Erkorene Projektmitglieder haben sich um die rasche Zersplitterung der Kristalle und das Auflesen als Rohstoff zu kümmern.,"Nutze die Funktionen deines Sternenläufers, um die Riesenkristalle zu zersplittern.",,,Zersplittere mithilfe des Kosmobohrers korrumpierte Kristalle und bringe die Splitter zum Feldsucher zur Analyse.,,,"Einsatzbefehl „Korrumpierte Riesenkristalle zersplittern“ ausgerufen.
An alle Piloten: Einsteigeerlaubnis via Exotablet beantragen.","Mecha-Einsatz beginnt in Kürze.
Bodenunterstützung bitte unverzüglich zum Einsatzort.",4259842,4259843,4259844,4259845,4259846,368,11502159,10921203,11482845,10921201,11482848,11759496,6,7,8,0,7,8,1,11629602,330,11532641,11532657,11532659,11532660,11532661,296,297,298,299,300,2,60493,60492,20172,20171,60809,63889,1420,1422,0,600,5
2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Befehl: Schädliche Fungi terminieren,In der Nähe der Pilzstube konnte ein gewaltiges Aufkommen sporenausstoßender Chlorophos-Fungi gesichtet werden. Erkorene Projektmitglieder haben sich unverzüglich um die rasche Eliminierung der Fungi zu kümmern.,"Nutze die Funktionen deines Sternenebners, um die Chlorophos-Fungi zu eliminieren.",,,Verbrenne mithilfe des Kosmobrenners die kleinen Fungi und bring ihre Asche zum Feldsucher zur Analyse.,,,"Einsatzbefehl „Schädliche Fungi terminieren“ ausgerufen.
An alle Piloten: Einsteigeerlaubnis via Exotablet beantragen.","Mecha-Einsatz beginnt in Kürze.
Bodenunterstützung bitte unverzüglich zum Einsatzort.",4259862,4259863,4259864,4259865,4259866,378,11508987,11170532,11508985,11170531,11508986,11759498,9,10,11,0,7,8,5,11730314,333,11753130,11753131,11753132,11753133,11753134,301,302,303,304,305,2,60493,60492,20173,20171,60809,63889,1420,1422,0,600,5
6,Befehl: Phaennit abbauen,"Im Boden der Glassteinküste wurden Ablagerungen von „Phaennit“ entdeckt. Dieses abgekühlte Vulkanglas ist für uns äußerst wünschenswert, weshalb wir es mithilfe der Sternenläufer bergen werden. Die dafür benötigte Energie lässt sich zu bestimmten Zeiten aus der Umgebung einsaugen.","Verwende den Schleppstrahl, um Phaennit aus den Treibsandgruben zu bergen.
Es werden 10 Ladungen Ionenenergie benötigt, um den Schleppstrahl einzusetzen.",,,"Nutze den Kosmobohrer, um Phaennit freizulegen, und bringe das gesammelte Glas zu einem Feldsucher.",,,"Einsatzbefehl „Phaennit abbauen“ ausgerufen.
An alle Piloten: Einsteigeerlaubnis via Exotablet beantragen.","Mecha-Einsatz beginnt in Kürze.
Bodenunterstützung bitte unverzüglich zum Einsatzort.",4259924,4259925,4259926,4259927,4259928,404,11925434,11841658,11925435,11841657,11925436,11911477,12,13,14,0,7,8,6,11939517,351,11939469,11939470,11939471,11939472,11939473,339,340,341,342,343,3,60493,60492,20173,20171,60809,63889,1420,1422,0,600,5
7,Befehl: Glaskristalle einsammeln,"Temperaturschwankungen in der Kühlnarbe haben Glaskristalle von unnatürlich hoher Reinheit an die Oberfläche befördert, die perfekt zur Herstellung von Linsen und anderen Gerätschaften geeignet sind. Also schwingt euch auf die Sternenebner und bringt so viele wie möglich zurück.",Mit einem Sternenebner Glaskristalle zerkleinern.,,,Mit dem Kosmosauger Glassplitter einsaugen und bei einem Feldsucher abliefern.,,,"Einsatzbefehl „Glaskristalle einsammeln“ ausgerufen.
An alle Piloten: Einsteigeerlaubnis via Exotablet beantragen.","Mecha-Einsatz beginnt in Kürze.
Bodenunterstützung bitte unverzüglich zum Einsatzort.",4259929,4259930,4259931,4259932,4259933,405,11925453,11842477,11925454,11842314,11925455,11911495,15,16,17,0,7,8,7,11939524,354,11939478,11939479,11939480,11939484,11939485,344,345,346,347,348,3,60493,60492,20172,20171,60809,63889,1420,1422,0,600,5
8,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
