#,StartupText,RunningText,Unknown0
0,,,0
1,"In der Mondtor-Station beginnt schon bald ein Gemeinschaftsprojekt.
Teilnehmer gesucht!",In der Mondtor-Station hat das Gemeinschaftsprojekt „Mondtor-Station: Erweiterung I“ begonnen. Teilnehmer gesucht!,1978
2,"In der Mondtor-Station beginnt schon bald ein Gemeinschaftsprojekt.
Teilnehmer gesucht!",In der Mondtor-Station hat das Gemeinschaftsprojekt „Kosmozapper: Bauunterstützung I“ begonnen. Teilnehmer gesucht!,1979
3,Im Südosten der Mondtor-Station beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Im Südosten der Mondtor-Station hat das Gemeinschaftsprojekt „Habitationsmodul: Bauunterstützung I“ begonnen. Teilnehmer gesucht!,1980
4,Im Nordwesten der Mondtor-Station beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Im Nordwesten der Mondtor-Station hat das Gemeinschaftsprojekt „Kosmoport: Bauunterstützung I“ begonnen. Teilnehmer gesucht!,1981
5,Im Nordosten der Mondtor-Station beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Im Nordosten der Mondtor-Station hat das Gemeinschaftsprojekt „Sternenhangar: Erweiterung I“ begonnen. Teilnehmer gesucht!,1982
6,"Fertigstellung von Stationsstruktur im Nordwesten von Sinus Ardorum.
Areal kann zu dem Zeitpunkt nicht betreten werden.",,0
7,"Fertigstellung von Stationsstruktur im Südosten von Sinus Ardorum.
Areal kann zu dem Zeitpunkt nicht betreten werden.",,0
8,"Im Süden von Sinus Ardorum beginnt schon bald ein Gemeinschaftsprojekt.
Teilnehmer gesucht!",Im Süden von Sinus Ardorum hat das Gemeinschaftsprojekt „Tunnel: Aushubarbeiten I“ begonnen. Teilnehmer gesucht!,1983
9,"Im Süden von Sinus Ardorum beginnt schon bald ein Gemeinschaftsprojekt.
Teilnehmer gesucht!",Im Süden von Sinus Ardorum hat das Gemeinschaftsprojekt „Tunnel: Aushubarbeiten II“ begonnen. Teilnehmer gesucht!,1984
10,"Fertigstellung von Stationsstruktur im Südwesten von Sinus Ardorum.
Areal kann zu dem Zeitpunkt nicht betreten werden.",,0
11,"In der Mondtor-Station beginnt schon bald ein Gemeinschaftsprojekt.
Teilnehmer gesucht!",In der Mondtor-Station hat das Gemeinschaftsprojekt „Mondtor-Station: Erweiterung II“ begonnen. Teilnehmer gesucht!,1985
12,Im Südwesten der Mondtor-Station beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Im Südwesten der Mondtor-Station hat das Gemeinschaftsprojekt „Energisierungswerke: Erweiterung“ begonnen. Teilnehmer gesucht!,1986
13,Im Westen der Mondtor-Station beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Im Westen der Mondtor-Station hat das Gemeinschaftsprojekt „Hydrofizierungswerke: Erweiterung“ begonnen. Teilnehmer gesucht!,1987
14,Im Nordosten der Mondtor-Station beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Im Nordosten der Mondtor-Station hat das Gemeinschaftsprojekt „Sternenhangar: Erweiterung II“ begonnen. Teilnehmer gesucht!,1988
15,Im Nordwesten der Mondtor-Station beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Im Nordwesten der Mondtor-Station hat das Gemeinschaftsprojekt „Kosmoport: Bauunterstützung II“ begonnen. Teilnehmer gesucht!,1989
16,Im Nordosten von Sinus Ardorum beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Im Nordosten von Sinus Ardorum hat das Gemeinschaftsprojekt „Lift: Vorbereitungsarbeiten I“ begonnen. Teilnehmer gesucht!,1990
17,Im Nordosten von Sinus Ardorum beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Im Nordosten von Sinus Ardorum hat das Gemeinschaftsprojekt „Lift: Vorbereitungsarbeiten II“ begonnen. Teilnehmer gesucht!,1991
18,"Fertigstellung von unterirdischer Stationsstruktur im Nordosten
von Sinus Ardorum. Areal kann zu dem Zeitpunkt nicht betreten werden.",,0
19,"In der Mondtor-Station beginnt schon bald ein Gemeinschaftsprojekt.
Teilnehmer gesucht!",In der Mondtor-Station hat das Gemeinschaftsprojekt „Expansion der Stationsstrukturen“ begonnen. Teilnehmer gesucht!,1992
20,"In der Glasbläser-Basis beginnt schon bald ein Gemeinschaftsprojekt.
Teilnehmer gesucht!",Das Gemeinschaftsprojekt „Glasbläser-Basis: Erweiterung I“ hat begonnen. Teilnehmer gesucht!,2008
21,"In der Glasbläser-Grotte beginnt schon bald ein Gemeinschaftsprojekt.
Teilnehmer gesucht!",Das Gemeinschaftsprojekt „Kosmozapper: Bauunterstützung I“ hat begonnen. Teilnehmer gesucht!,2009
22,Im Nordosten der Glasbläser-Basis beginnt schon bald ein Gemeinschaftsprojekt. Teilnehmer gesucht!,Das Gemeinschaftsprojekt „Habitationsmodul: Bauunterstützung“ hat begonnen. Teilnehmer gesucht!,2010
