#,Unknown2,Unknown3,Unknown4,Image,UnlockQuest,Data,Unknown5
0.0,1,0,0,0,0,0,0
1.0,1,0,0,73034,67205,1,0
1.1,1,0,0,73008,70000,2,1
2.0,1,0,0,73036,68089,3,0
2.1,1,0,0,73011,70000,4,1
3.0,1,0,0,73024,69190,5,1
3.1,1,0,0,73112,69190,6,0
4.0,1,0,0,73026,69190,7,1
4.1,1,0,0,73178,69190,8,0
5.0,1,0,0,73025,69190,9,1
5.1,1,0,0,73085,69190,10,0
6.0,1,0,0,73007,70000,11,0
7.0,1,0,0,73012,70000,12,0
8.0,1,0,0,73071,70495,13,0
9.0,1,0,0,73265,70909,14,0
10.0,1,0,0,73266,70909,15,0
11.0,0.7,-14,-15,73261,70909,16,0
12.0,1,0,0,73210,70909,17,0
12.1,1,0,0,73275,70909,18,1
13.0,1,0,0,73287,70976,19,0
