#,Text
0,
1,
2,
3,"Magnetsturm vorhergesagt.
Äußerste Vorsicht bei Verwendung von Technik geboten."
4,"Meteorschauer gesichtet. Einschlag möglich!
Äußerste Vorsicht bei Arbeiten im Freien geboten."
5,"Fungimessungen lassen Sporennebelaufkommen vermuten.
Möglichkeit auf Seuchenpilz. Bitte Abstand halten!"
6,Ein heftiger Gewittersturm wird bald über uns hinwegziehen! Vor allem für Außenarbeiter ist höchste Vorsicht geboten!
7,Sinkender Atmosphärendruck kann nur eins bedeuten: Eine Kältefront bahnt sich an! Hier wird es bald ordentlich frostig! 
8,"Eine dichte Ätherwolke nähert sich, und mit ihr auch Glasregen! Stellt euch auf ein geringes Sichtfeld ein!"
9,Notfall: Magnetsturm
10,Notfall: Meteorschauer
11,Notfall: Sporennebel
12,Notfall: Gewittersturm
13,Notfall: Kältefront
14,Notfall: Glasregen
15,Zum Einsatzort für Zimmerer/Gerber/Alchemisten
16,Zum Einsatzort für Goldschmiede/Weber
17,Zum Einsatzort für Goldschmiede/Weber/Gärtner
18,Zum Einsatzort für Grobschmiede/Alchemisten/Minenarbeiter
19,Zum Einsatzort für Gourmets/Minenarbeiter/Fischer
20,Zum Einsatzort für Grobschmiede/Gerber/Gärtner
21,Zum Einsatzort für Zimmerer/Gärtner
22,Zum Einsatzort für Plattner/Gourmets/Fischer
23,Zum Einsatzort für Zimmerer/Plattner/Gerber
24,Zum Einsatzort für Gourmets/Fischer
25,Zum Einsatzort für Plattner/Goldschmiede/Minenarbeiter
26,Zum Einsatzort für Grobschmiede/Weber/Alchemisten
27,Zum Einsatzort der Notfallmission für Zimmerer/Gerber/Alchemisten reisen?
28,Zum Einsatzort der Notfallmission für Goldschmiede/Weber reisen?
29,Zum Einsatzort der Notfallmission für Goldschmiede/Weber/Gärtner reisen?
30,Zum Einsatzort der Notfallmission für Grobschmiede/Alchemisten/Minenarbeiter reisen?
31,Zum Einsatzort der Notfallmission für Gourmets/Minenarbeiter/Fischer reisen?
32,Zum Einsatzort der Notfallmission für Grobschmiede/Gerber/Gärtner reisen?
33,Zum Einsatzort der Notfallmission für Zimmerer/Gärtner reisen?
34,Zum Einsatzort der Notfallmission für Plattner/Gourmets/Fischer reisen?
35,Zum Einsatzort der Notfallmission für Zimmerer/Plattner/Gerber reisen?
36,Zum Einsatzort der Notfallmission für Gourmets/Fischer reisen?
37,Zum Einsatzort der Notfallmission für Plattner/Goldschmiede/Minenarbeiter reisen?
38,Zum Einsatzort der Notfallmission für Grobschmiede/Weber/Alchemisten reisen?
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,Zum Einsatzort für Zimmerer/Goldschmiede/Weber
62,Zum Einsatzort für Gourmets/Minenarbeiter/Fischer
63,Zum Einsatzort für Plattner/Goldschmiede/Alchemisten
64,Zum Einsatzort für Minenarbeiter/Fischer
65,Zum Einsatzort für Grobschmiede/Gerber/Minenarbeiter
66,Zum Einsatzort für Plattner/Goldschmiede
67,Zum Einsatzort für Grobschmiede/Plattner/Gerber
68,Zum Einsatzort für Alchemisten/Gourmets/Fischer
69,Zum Einsatzort für Zimmerer/Gerber/Weber
70,Zum Einsatzort für Gourmets/Gärtner/Fischer
71,Zum Einsatzort für Grobschmiede/Alchemisten
72,Zum Einsatzort für Zimmerer/Weber/Gärtner
73,Zum Einsatzort der Notfallmission für Zimmerer/Goldschmiede/Weber reisen?
74,Zum Einsatzort der Notfallmission für Gourmets/Minenarbeiter/Fischer reisen?
75,Zum Einsatzort der Notfallmission für Plattner/Goldschmiede/Alchemisten reisen?
76,Zum Einsatzort der Notfallmission für Minenarbeiter/Fischer reisen?
77,Zum Einsatzort der Notfallmission für Grobschmiede/Gerber/Minenarbeiter reisen?
78,Zum Einsatzort der Notfallmission für Plattner/Goldschmiede reisen?
79,Zum Einsatzort der Notfallmission für Grobschmiede/Plattner/Gerber reisen?
80,Zum Einsatzort der Notfallmission für Alchemisten/Gourmets/Fischer reisen?
81,Zum Einsatzort der Notfallmission für Zimmerer/Gerber/Weber reisen?
82,Zum Einsatzort der Notfallmission für Gourmets/Gärtner/Fischer reisen?
83,Zum Einsatzort der Notfallmission für Grobschmiede/Alchemisten reisen?
84,Zum Einsatzort der Notfallmission für Zimmerer/Weber/Gärtner reisen?
