#,Name,Text,Image
0,,,0
1,,,0
2,,,0
3,,,0
4,,,0
5,,,0
6,,,0
7,,,0
8,,,0
9,,,0
10,,,0
11,So funktioniert's (1/2),"Bringe den Gegenstand an sein Ziel, bevor die Zeit abläuft!
Du erhältst den Status „Transport“. Die Zahl unter dem Symbol in der Statusleiste zeigt an, wie viel Zeit dir noch verbleibt.
Vorsicht: Wenn du Angriffe erleidest, verkürzt sich die Zeit! Also gehe Gefahren aus dem Weg.
Während des Transports stehen bestimmte Kommandos nicht zur Verfügung.",86902
12,So funktioniert's (2/2),"Wenn die Zeit abläuft oder du das Areal verlässt, verlierst du den Status „Transport“ und die Aufgabe ist gescheitert. Kehre zum Ausgangspunkt zurück und versuche es erneut!",86903
13,So funktioniert's (1/2),"Transparenz schützt dich vor neugierigen Blicken! So kannst du dein Ziel in aller Heimlichkeit erreichen.
Du erhältst den Status „Transparenz“. Die Zahl unter dem Symbol in der Statusleiste zeigt an, wie lange die Transparenz noch anhält.
Während Transparenz stehen bestimmte Kommandos nicht zur Verfügung.",86904
14,So funktioniert's (2/2),"Wenn die Zeit abläuft oder du das Areal verlässt, verlierst du den Status „Transparenz“ und die Aufgabe ist gescheitert. Kehre zum Ausgangspunkt zurück und versuche es erneut!",86905
15,So funktioniert's (1/4),"Manche Auftragsabschnitte schließt du in Begleitung von NPCs ab. Ihr erkundet die Umgebung zusammen, also achte darauf, dass ihr euch nicht zu weit voneinander entfernt!",86906
16,So funktioniert's (2/4),"Solange du im gleichen Areal bleibst, kannst du Transport und Stadtätheryten benutzen, ohne die Begleitung zu unterbrechen. Das Gleiche gilt auch für das Schwimmen oder Tauchen, aber dabei kann es vorkommen, dass der NPC vor­über­gehend nicht angezeigt wird.",86906
17,So funktioniert's (3/4),"Während der Begleitung kannst du jederzeit mit dem NPC sprechen. Außerdem kannst du auf sogenannte „Dialogpunkte“ stoßen. Sprich dort mit dem NPC, um zusätzliche Informationen zu erhalten. Die Dialogpunkte werden auf der Minikarte angezeigt.",86907
18,So funktioniert's (4/4),"Die Begleitung endet, wenn du das Areal verlässt. Außerdem kann sie über die Dialogoption „Begleitung beenden“ des NPCs beendet werden. Kehre zum Ausgangspunkt zurück und sprich mit dem NPC, um die Begleitung wieder aufzunehmen.",86908
19,So funktioniert's (1/1),"Der NPC führt dich an dein Ziel, also folge ihm.
Vorsicht: Wenn du dich zu weit entfernst, scheitert die Aufgabe! Kehre zum Ausgangspunkt zurück und sprich mit dem NPC, um dich erneut führen zu lassen.",86909
20,So funktioniert's (1/3),"Folge dem NPC - aber heimlich! Wenn der NPC dich sieht oder sich zu weit entfernt, scheitert die Aufgabe. Kehre in diesem Fall zum Ausgangspunkt zurück und versuche es erneut.",86910
21,So funktioniert's (2/3),"Sei besonders vorsichtig, wenn der NPC sich umdreht. Ein Symbol warnt dich kurz vorher, also reagiere schnell und versteck dich!",86911
22,So funktioniert's (3/3),"Halte genau den richtigen Abstand zu dem NPC. Entferne dich nicht zu weit, aber achte darauf, nicht in den angezeigten Kreis zu geraten - sonst wirst du entdeckt!",86912
23,So funktioniert's (1/2),"Dein normales Ich kommt so nicht weiter - was hilft, ist eine Ver­wand­lung!
Du erhältst den Status „Ver­wand­lung“ mit einer festgelegten Wirkungsdauer. Während Ver­wand­lung stehen bestimmte Kommandos nicht zur Verfügung.",86913
24,So funktioniert's (2/2),"Kehre während der Ver­wand­lung zum Ausgangspunkt zurück, um die Wirkungsdauer zu verlängern. Wenn die angezeigte Zeit abläuft oder du den Wir­kungs­be­reich verlässt, verlierst du den Status „Ver­wand­lung“ und die Aufgabe ist gescheitert. Kehre in diesem Fall zum Ausgangspunkt zurück und versuche es erneut.",86914
25,So funktioniert's (1/2),"Manche Auftragsabschnitte erfordern es, dass du für vor­über­gehend dein Aussehen veränderst. Du erhältst dann für bestimmte Zeit den Status „Verkleidet“.",86915
26,So funktioniert's (2/2),"Kehre in Verkleidung zum Ausgangspunkt zurück, um die Wirkungsdauer zu verlängern. Wenn die Zeit abläuft oder du das Areal verlässt, verlierst du den Status „Verkleidet“ und die Aufgabe ist gescheitert. Kehre in diesem Fall zum Ausgangspunkt zurück und versuche es erneut.",86916
