0,TEXT_JOBAST401_02016_SEQ_00,Leveva a hâte de vous guider vers votre prochain rite de passage.
1,TEXT_JOBAST401_02016_SEQ_01,Leveva vous a annoncé que votre prochain rite de passage consisterait à ouvrir la porte du firmament de la voûte du vent. Parlez à Jannequinard.
2,TEXT_JOBAST401_02016_SEQ_02,"Votre camarade s'est excusé de ne pas pouvoir se joindre à vous pour ce nouveau rite de passage. Qu'importe, vous irez sans lui ! Rejoignez Quimperain sur la place des Camelots, à Limsa Lominsa."
3,TEXT_JOBAST401_02016_SEQ_03,"Après votre arrivée dans la ville des marins, des pirates et des ivrognes, Quimperain vous a annoncé que Leveva s'était évaporée dans la foule opulente de la ville. Il vous a proposé de vous séparer pour la retrouver aussi vite que possible. Tentez d'interroger quelques Limséens à L'Escale du pêcheur et à la Tour de Corail."
4,TEXT_JOBAST401_02016_SEQ_04,"Selon les habitants de la ville, Leveva s'intéresserait aux pirates élézens. Ils vous ont également confirmé qu'elle avait l'air d'être suivie... Rejoignez Quimperain aux Sept Sauges sans plus tarder."
5,TEXT_JOBAST401_02016_SEQ_05,Vous avez retrouvé Quimperain aux Sept Sauges et avez tous les deux décidé de fouiller les lieux de fond en comble pour retrouver Leveva. Que la bénédiction des étoiles vous apporte la réussite !
6,TEXT_JOBAST401_02016_SEQ_06,"Vous avez fait mordre la poussière à quelques bandits qui en avaient après Leveva et êtes enfin parvenue à retrouver l'astromancienne. Elle vous a ensuite emmenée à l'endroit idéal pour observer la voûte du vent, où vous avez ouvert une nouvelle porte du firmament. Retournez auprès de Jannequinard, au collège d'astromancie Saint-Guenriol."
7,TEXT_JOBAST401_02016_SEQ_07,"En rentrant à Ishgard, vous avez appris que Jannequinard cherchait à obtenir la permission du Saint-Siège pour que Leveva puisse organiser une conférence sur l'astromancie sharlayanaise à Ishgard. Mal­heu­reu­se­ment, aucune de ses tentatives n'a pour l'instant abouti. Revenez le voir quand vous aurez progressé dans l'étude de l'astromancie.
* Jannequinard propose la prochaine quête aux astromanciens de niveau 45."
8,TEXT_JOBAST401_02016_SEQ_08,
9,TEXT_JOBAST401_02016_SEQ_09,
10,TEXT_JOBAST401_02016_SEQ_10,
11,TEXT_JOBAST401_02016_SEQ_11,
12,TEXT_JOBAST401_02016_SEQ_12,
13,TEXT_JOBAST401_02016_SEQ_13,
14,TEXT_JOBAST401_02016_SEQ_14,
15,TEXT_JOBAST401_02016_SEQ_15,
16,TEXT_JOBAST401_02016_SEQ_16,
17,TEXT_JOBAST401_02016_SEQ_17,
18,TEXT_JOBAST401_02016_SEQ_18,
19,TEXT_JOBAST401_02016_SEQ_19,
20,TEXT_JOBAST401_02016_SEQ_20,
21,TEXT_JOBAST401_02016_SEQ_21,
22,TEXT_JOBAST401_02016_SEQ_22,
23,TEXT_JOBAST401_02016_SEQ_23,
24,TEXT_JOBAST401_02016_TODO_00,Parler à Jannequinard
25,TEXT_JOBAST401_02016_TODO_01,"Parler à Quimperain, à Limsa Lominsa"
26,TEXT_JOBAST401_02016_TODO_02,Rassembler des in­for­ma­tions à L'Escale du pêcheur
27,TEXT_JOBAST401_02016_TODO_03,Rassembler des in­for­ma­tions à la Tour de Corail
28,TEXT_JOBAST401_02016_TODO_04,"Parler à Quimperain, aux Sept Sauges"
29,TEXT_JOBAST401_02016_TODO_05,Attendre à l'endroit indiqué
30,TEXT_JOBAST401_02016_TODO_06,"Parler à Jannequinard, au collège d'astromancie Saint-Guenriol"
31,TEXT_JOBAST401_02016_TODO_07,
32,TEXT_JOBAST401_02016_TODO_08,
33,TEXT_JOBAST401_02016_TODO_09,
34,TEXT_JOBAST401_02016_TODO_10,
35,TEXT_JOBAST401_02016_TODO_11,
36,TEXT_JOBAST401_02016_TODO_12,
37,TEXT_JOBAST401_02016_TODO_13,
38,TEXT_JOBAST401_02016_TODO_14,
39,TEXT_JOBAST401_02016_TODO_15,
40,TEXT_JOBAST401_02016_TODO_16,
41,TEXT_JOBAST401_02016_TODO_17,
42,TEXT_JOBAST401_02016_TODO_18,
43,TEXT_JOBAST401_02016_TODO_19,
44,TEXT_JOBAST401_02016_TODO_20,
45,TEXT_JOBAST401_02016_TODO_21,
46,TEXT_JOBAST401_02016_TODO_22,
47,TEXT_JOBAST401_02016_TODO_23,
48,TEXT_JOBAST401_02016_JANNEQUINARD_000_000,Dame Leveva m'a dit qu'elle voulait vous parler dès que possible. Elle est en train de se remettre de ses émotions à l'étage.
49,TEXT_JOBAST401_02016_LEVEVA_000_000,"Player, votre prochain rite de passage consistera à ouvrir la porte de la voûte du vent. Je vais partir devant en compagnie de Quimperain, en espérant que notre voyage se déroule sans encombre. Quant à vous, je vous suggère de discuter avec Jannequinard avant de nous rejoindre."
50,TEXT_JOBAST401_02016_JANNEQUINARD_000_010,"Leveva est déjà partie, vous dites ? Zut... Mal­heu­reu­se­ment, j'ai bien peur de ne pas pouvoir être des vôtres cette fois. J'ai une affaire urgente à régler au Saint-Siège."
51,TEXT_JOBAST401_02016_JANNEQUINARD_000_011,"Mais je ne m'inquiète pas pour vous, vous avez déjà prouvé que vous étiez capable de vous en sortir toute seule. Dans tous les cas, votre prochaine épreuve se déroulera à Limsa Lominsa."
52,TEXT_JOBAST401_02016_JANNEQUINARD_000_019,"Je ne m'inquiète pas pour vous, vous avez déjà prouvé que vous étiez capable de vous en sortir toute seule. Dans tous les cas, votre prochaine épreuve se déroulera à Limsa Lominsa."
53,TEXT_JOBAST401_02016_QUIMPERAIN_000_020,Player ! À peine dame Leveva et moi étions entrés dans cette si belle ville que nous nous sommes aussitôt perdus de vue ! Il y a tellement de monde qui court dans tous les sens...
54,TEXT_JOBAST401_02016_QUIMPERAIN_000_021,"En plus, Limsa Lominsa n'est pas réputée pour sa sécurité, et vous savez comme moi que des brigands en veulent à dame Leveva depuis un moment. Si jamais ils ont fait alliance avec des pirates du coin, cela pourrait lui être fatal ! Séparons-nous pour la retrouver aussi rapidement que possible, d'accord ?"
55,TEXT_JOBAST401_02016_QUIMPERAIN_000_022,"Vous connaissez la curiosité naturelle de la Sharlayanaise, qui plus est... À mon avis, elle est cer­tai­ne­ment attirée par des lieux célèbres comme L'Escale du pêcheur ou la Tour de corail. Peut-être que des Limséens l'y ont croisée ? À mon avis, vous feriez bien de leur poser la question."
56,TEXT_JOBAST401_02016_QUIMPERAIN_000_023,"Quant à moi, je vais chercher ailleurs au cas où. Retrouvons-nous aux Sept Sauges lorsque nous aurons terminé nos in­ves­ti­ga­tions."
57,TEXT_JOBAST401_02016_VKEBBE_000_020,"... Si j'ai croisé une astrrromancienne ? En effet, mais je ne sais pas où elle est partie..."
58,TEXT_JOBAST401_02016_VKEBBE_000_021,"Au fait, elle m'avait l'air un peu sur ses gardes. Pour un peu, on jurerait qu'elle était pourrrsuivie par quelqu'un qui ne lui voulait pas du bien..."
59,TEXT_JOBAST401_02016_VKEBBE_000_028,"... Si j'ai croisé une astrrromancienne ? En effet, mais je ne sais pas où elle est partie..."
60,TEXT_JOBAST401_02016_VKEBBE_000_029,"Au fait, elle m'avait l'air un peu sur ses gardes. Pour un peu, on jurerait qu'elle était pourrrsuivie par quelqu'un qui ne lui voulait pas du bien..."
61,TEXT_JOBAST401_02016_REYNER_000_020,"... Effectivement, une astromancienne de Sharlayan est passée par ici. Elle m'a demandé de lui donner ma vision de Limsa Lominsa, de ses bons côtés comme des problèmes auxquels elle doit faire face. Évidemment, je lui ai tout de suite parlé de nos chers pirates et de nos bien-aimés hommes-bêtes."
62,TEXT_JOBAST401_02016_REYNER_000_021,"Tu aurais dû voir à quel point elle buvait mes paroles ! Pour un peu, j'aurais cru qu'elle était tombée amoureuse... Mal­heu­reu­se­ment pour moi, elle est repartie aussi vite qu'elle est venue."
63,TEXT_JOBAST401_02016_REYNER_000_028,"... Effectivement, une astromancienne de Sharlayan est passée par ici. Elle m'a demandé de lui donner ma vision de Limsa Lominsa, de ses bons côtés comme des problèmes auxquels elle doit faire face. Évidemment, je lui ai tout de suite parlé de nos chers pirates et de nos bien-aimés hommes-bêtes."
64,TEXT_JOBAST401_02016_REYNER_000_029,"Tu aurais dû voir à quel point elle buvait mes paroles ! Pour un peu, j'aurais cru qu'elle était tombée amoureuse... Mal­heu­reu­se­ment pour moi, elle est repartie aussi vite qu'elle est venue."
65,TEXT_JOBAST401_02016_BROENBHAR_000_020,"... Ouais, une astromancienne de Sharlayan est venue me poser des questions sur les pirates élézens."
66,TEXT_JOBAST401_02016_BROENBHAR_000_021,"Et tu sais ce qui s'est passé ensuite ? Je lui ai présenté Carvallain, et elle m'a dit qu'elle le connaissait déjà !"
67,TEXT_JOBAST401_02016_BROENBHAR_000_028,"... Ouais, une astromancienne de Sharlayan est venue me poser des questions sur les pirates élézens."
68,TEXT_JOBAST401_02016_BROENBHAR_000_029,"Et tu sais ce qui s'est passé ensuite ? Je lui ai présenté Carvallain, et elle m'a dit qu'elle le connaissait déjà !"
69,TEXT_JOBAST401_02016_QUIMPERAIN_000_040,"Player, vous tombez bien ! Je viens d'apprendre que sire Carvallain ici présent a l'intention de vendre des épices à dame Leveva."
70,TEXT_JOBAST401_02016_CARVALLAIN_000_041,"En effet, la demoiselle m'a dit qu'elle repasserait d'ici peu, après avoir fini sa visite de Limsa Lominsa."
71,TEXT_JOBAST401_02016_CARVALLAIN_000_042,"Je me souviens qu'elle n'arrêtait pas de regarder par-dessus son épaule tout en me parlant... C'était pas vous deux qu'elle fuyait, je suppose, ce qui veut dire que c'était forcément quelqu'un d'autre."
72,TEXT_JOBAST401_02016_QUIMPERAIN_000_043,"Hmm, voilà qui n'est pas rassurant. Tous les gens qui l'ont croisée m'ont fait la même remarque. Qu'en est-il de votre côté, Player ?"
73,TEXT_JOBAST401_02016_QUIMPERAIN_000_044,"Ainsi, on vous a dit la même chose, à vous aussi... Il est probable que dame Leveva ait essayé de semer ses poursuivants en traversant les endroits les plus fréquentés de la cité."
74,TEXT_JOBAST401_02016_CARVALLAIN_000_045,"Avec la foule qui circule sans arrêt dans toute la ville, elle risque de mettre un sacré temps avant de revenir dans le coin..."
75,TEXT_JOBAST401_02016_QUIMPERAIN_000_046,"Je vais refaire un tour au cas où elle serait de passage près d'ici. Player, je compte sur vous pour l'attendre avec sire Carvallain."
76,TEXT_JOBAST401_02016_QUIMPERAIN_000_047,"Si jamais elle n'est pas là à l'heure convenue, lancez-vous à sa recherche. Qui sait, peut-être qu'elle se sera cachée quelque part entre les clients du Dauphin noyé ou dans un des nombreux autres lieux de réjouissances ?"
