key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNY805_02099_SEQ_00",""
1,"TEXT_HEAVNY805_02099_SEQ_01",""
2,"TEXT_HEAVNY805_02099_SEQ_02",""
3,"TEXT_HEAVNY805_02099_SEQ_03",""
4,"TEXT_HEAVNY805_02099_SEQ_04",""
5,"TEXT_HEAVNY805_02099_SEQ_05",""
6,"TEXT_HEAVNY805_02099_SEQ_06",""
7,"TEXT_HEAVNY805_02099_SEQ_07",""
8,"TEXT_HEAVNY805_02099_SEQ_08",""
9,"TEXT_HEAVNY805_02099_SEQ_09",""
10,"TEXT_HEAVNY805_02099_SEQ_10",""
11,"TEXT_HEAVNY805_02099_SEQ_11",""
12,"TEXT_HEAVNY805_02099_SEQ_12",""
13,"TEXT_HEAVNY805_02099_SEQ_13",""
14,"TEXT_HEAVNY805_02099_SEQ_14",""
15,"TEXT_HEAVNY805_02099_SEQ_15",""
16,"TEXT_HEAVNY805_02099_SEQ_16",""
17,"TEXT_HEAVNY805_02099_SEQ_17",""
18,"TEXT_HEAVNY805_02099_SEQ_18",""
19,"TEXT_HEAVNY805_02099_SEQ_19",""
20,"TEXT_HEAVNY805_02099_SEQ_20",""
21,"TEXT_HEAVNY805_02099_SEQ_21",""
22,"TEXT_HEAVNY805_02099_SEQ_22",""
23,"TEXT_HEAVNY805_02099_SEQ_23",""
24,"TEXT_HEAVNY805_02099_TODO_00",""
25,"TEXT_HEAVNY805_02099_TODO_01",""
26,"TEXT_HEAVNY805_02099_TODO_02",""
27,"TEXT_HEAVNY805_02099_TODO_03",""
28,"TEXT_HEAVNY805_02099_TODO_04",""
29,"TEXT_HEAVNY805_02099_TODO_05",""
30,"TEXT_HEAVNY805_02099_TODO_06",""
31,"TEXT_HEAVNY805_02099_TODO_07",""
32,"TEXT_HEAVNY805_02099_TODO_08",""
33,"TEXT_HEAVNY805_02099_TODO_09",""
34,"TEXT_HEAVNY805_02099_TODO_10",""
35,"TEXT_HEAVNY805_02099_TODO_11",""
36,"TEXT_HEAVNY805_02099_TODO_12",""
37,"TEXT_HEAVNY805_02099_TODO_13",""
38,"TEXT_HEAVNY805_02099_TODO_14",""
39,"TEXT_HEAVNY805_02099_TODO_15",""
40,"TEXT_HEAVNY805_02099_TODO_16",""
