key,0,1
#,,
int32,str,str
0,"TEXT_AKTKZI005_04320_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> Quest Sync<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
The Viera gleaner is watching you with interest."
1,"TEXT_AKTKZI005_04320_SEQ_01",""
2,"TEXT_AKTKZI005_04320_SEQ_02",""
3,"TEXT_AKTKZI005_04320_SEQ_03",""
4,"TEXT_AKTKZI005_04320_SEQ_04",""
5,"TEXT_AKTKZI005_04320_SEQ_05",""
6,"TEXT_AKTKZI005_04320_SEQ_06",""
7,"TEXT_AKTKZI005_04320_SEQ_07",""
8,"TEXT_AKTKZI005_04320_SEQ_08",""
9,"TEXT_AKTKZI005_04320_SEQ_09",""
10,"TEXT_AKTKZI005_04320_SEQ_10",""
11,"TEXT_AKTKZI005_04320_SEQ_11",""
12,"TEXT_AKTKZI005_04320_SEQ_12",""
13,"TEXT_AKTKZI005_04320_SEQ_13",""
14,"TEXT_AKTKZI005_04320_SEQ_14",""
15,"TEXT_AKTKZI005_04320_SEQ_15",""
16,"TEXT_AKTKZI005_04320_SEQ_16",""
17,"TEXT_AKTKZI005_04320_SEQ_17",""
18,"TEXT_AKTKZI005_04320_SEQ_18",""
19,"TEXT_AKTKZI005_04320_SEQ_19",""
20,"TEXT_AKTKZI005_04320_SEQ_20",""
21,"TEXT_AKTKZI005_04320_SEQ_21",""
22,"TEXT_AKTKZI005_04320_SEQ_22",""
23,"TEXT_AKTKZI005_04320_SEQ_23",""
24,"TEXT_AKTKZI005_04320_TODO_00","Speak with the elemental reactor operator."
25,"TEXT_AKTKZI005_04320_TODO_01","/pray before the lantern crystal."
26,"TEXT_AKTKZI005_04320_TODO_02","Deliver the lantern crystal to the Viera gleaner."
27,"TEXT_AKTKZI005_04320_TODO_03",""
28,"TEXT_AKTKZI005_04320_TODO_04",""
29,"TEXT_AKTKZI005_04320_TODO_05",""
30,"TEXT_AKTKZI005_04320_TODO_06",""
31,"TEXT_AKTKZI005_04320_TODO_07",""
32,"TEXT_AKTKZI005_04320_TODO_08",""
33,"TEXT_AKTKZI005_04320_TODO_09",""
34,"TEXT_AKTKZI005_04320_TODO_10",""
35,"TEXT_AKTKZI005_04320_TODO_11",""
