key,0,1
#,,
int32,str,str
0,"TEXT_CLSCUL301_00266_SEQ_00","Lyngsath wants you to cook for a distinguished guest in his stead."
1,"TEXT_CLSCUL301_00266_SEQ_01","You learn that Lord Lolorito, one of Ul'dah's most powerful men, has announced his intention to dine at the Bismarck. Apparently, the man is a self-styled food critic, notorious for using his influence to ruin restaurants that fail to satisfy his rarefied needs. In an unfortunate turn of events, Lyngsath has injured his hand, and it falls to you to represent the Bismarck in his stead. In order to learn more about your distinguished guest, the guildmaster recommends you speak with Diving Dove, a native of Ul'dah."
2,"TEXT_CLSCUL301_00266_SEQ_02","You learn from Diving Dove that Lolorito's butler, a fellow by the name of Nonopesa, is presently at the Bismarck. Seek him out and endeavor to discover what manner of cuisine his master may be craving."
3,"TEXT_CLSCUL301_00266_SEQ_03","For a blessing, Nonopesa turns out to be a personable fellow, and you learn from him that Lolorito currently has a hankering for a hearty meal of meat. As per the butler's recommendation, prepare a haunch of smoked raptor of the finest quality, and deliver it to him."
4,"TEXT_CLSCUL301_00266_SEQ_04","Nonopesa is deeply impressed by your smoked raptor. You, in turn, are deeply impressed by his ability to judge food without taking a single bite. What was it that Diving Dove said about Ul'dahn cuisine...? At any rate, it would seem your cooking will satisfy even the exacting requirements of the great Lord Lolorito. Bear the glad tidings to Lyngsath."
5,"TEXT_CLSCUL301_00266_SEQ_05","Nonopesa's high opinion of your food serves to put Lyngsath at ease. The guildmaster thanks you for safeguarding the future of the guild, and proceeds to liken you to his trusty left hand. Keep up your efforts, and you may yet become one of the realm's finest culinarians.

※The next culinarian quest will be available from Lyngsath upon reaching level 35."
6,"TEXT_CLSCUL301_00266_SEQ_06",""
7,"TEXT_CLSCUL301_00266_SEQ_07",""
8,"TEXT_CLSCUL301_00266_SEQ_08",""
9,"TEXT_CLSCUL301_00266_SEQ_09",""
10,"TEXT_CLSCUL301_00266_SEQ_10",""
11,"TEXT_CLSCUL301_00266_SEQ_11",""
12,"TEXT_CLSCUL301_00266_SEQ_12",""
13,"TEXT_CLSCUL301_00266_SEQ_13",""
14,"TEXT_CLSCUL301_00266_SEQ_14",""
15,"TEXT_CLSCUL301_00266_SEQ_15",""
16,"TEXT_CLSCUL301_00266_SEQ_16",""
17,"TEXT_CLSCUL301_00266_SEQ_17",""
