key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZD002_03409_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>Règle spéciale<Indent/>:  synchronisation de quête<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Gyuf Daen a l'air d'être ennuyé par l'espièglerie de ses voisins."
1,"TEXT_LUCKZD002_03409_SEQ_01",""
2,"TEXT_LUCKZD002_03409_SEQ_02",""
3,"TEXT_LUCKZD002_03409_SEQ_03",""
4,"TEXT_LUCKZD002_03409_SEQ_04",""
5,"TEXT_LUCKZD002_03409_SEQ_05",""
6,"TEXT_LUCKZD002_03409_SEQ_06",""
7,"TEXT_LUCKZD002_03409_SEQ_07",""
8,"TEXT_LUCKZD002_03409_SEQ_08",""
9,"TEXT_LUCKZD002_03409_SEQ_09",""
10,"TEXT_LUCKZD002_03409_SEQ_10",""
11,"TEXT_LUCKZD002_03409_SEQ_11",""
12,"TEXT_LUCKZD002_03409_SEQ_12",""
13,"TEXT_LUCKZD002_03409_SEQ_13",""
14,"TEXT_LUCKZD002_03409_SEQ_14",""
15,"TEXT_LUCKZD002_03409_SEQ_15",""
16,"TEXT_LUCKZD002_03409_SEQ_16",""
17,"TEXT_LUCKZD002_03409_SEQ_17",""
18,"TEXT_LUCKZD002_03409_SEQ_18",""
19,"TEXT_LUCKZD002_03409_SEQ_19",""
20,"TEXT_LUCKZD002_03409_SEQ_20",""
21,"TEXT_LUCKZD002_03409_SEQ_21",""
22,"TEXT_LUCKZD002_03409_SEQ_22",""
23,"TEXT_LUCKZD002_03409_SEQ_23",""
24,"TEXT_LUCKZD002_03409_TODO_00","Donner <SheetFr(EventItem,2,2002640,1,1)/> à Jul Feo, à Lydha Lran"
25,"TEXT_LUCKZD002_03409_TODO_01","Ramasser <SheetFr(EventItem,1,2002641,2,1)/>"
26,"TEXT_LUCKZD002_03409_TODO_02","Donner <SheetFr(EventItem,2,2002641,2,1)/> à Gyuf Daen, à Pla Enni"
27,"TEXT_LUCKZD002_03409_TODO_03",""
28,"TEXT_LUCKZD002_03409_TODO_04",""
29,"TEXT_LUCKZD002_03409_TODO_05",""
30,"TEXT_LUCKZD002_03409_TODO_06",""
31,"TEXT_LUCKZD002_03409_TODO_07",""
