key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZC019_03402_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>Règle spéciale<Indent/>:  synchronisation de quête<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Cette Pixie allègre a très envie de jouer avec vous."
1,"TEXT_LUCKZC019_03402_SEQ_01",""
2,"TEXT_LUCKZC019_03402_SEQ_02",""
3,"TEXT_LUCKZC019_03402_SEQ_03",""
4,"TEXT_LUCKZC019_03402_SEQ_04",""
5,"TEXT_LUCKZC019_03402_SEQ_05",""
6,"TEXT_LUCKZC019_03402_SEQ_06",""
7,"TEXT_LUCKZC019_03402_SEQ_07",""
8,"TEXT_LUCKZC019_03402_SEQ_08",""
9,"TEXT_LUCKZC019_03402_SEQ_09",""
10,"TEXT_LUCKZC019_03402_SEQ_10",""
11,"TEXT_LUCKZC019_03402_SEQ_11",""
12,"TEXT_LUCKZC019_03402_SEQ_12",""
13,"TEXT_LUCKZC019_03402_SEQ_13",""
14,"TEXT_LUCKZC019_03402_SEQ_14",""
15,"TEXT_LUCKZC019_03402_SEQ_15",""
16,"TEXT_LUCKZC019_03402_SEQ_16",""
17,"TEXT_LUCKZC019_03402_SEQ_17",""
18,"TEXT_LUCKZC019_03402_SEQ_18",""
19,"TEXT_LUCKZC019_03402_SEQ_19",""
20,"TEXT_LUCKZC019_03402_SEQ_20",""
21,"TEXT_LUCKZC019_03402_SEQ_21",""
22,"TEXT_LUCKZC019_03402_SEQ_22",""
23,"TEXT_LUCKZC019_03402_SEQ_23",""
24,"TEXT_LUCKZC019_03402_TODO_00","Aller parler à la Pixie allègre"
25,"TEXT_LUCKZC019_03402_TODO_01","Compter les Pixies à l'aide du télescope, à l'endroit indiqué"
26,"TEXT_LUCKZC019_03402_TODO_02","Donner la réponse à la Pixie allègre"
27,"TEXT_LUCKZC019_03402_TODO_03","Rejoindre la Pixie allègre, à Lydha Lran"
28,"TEXT_LUCKZC019_03402_TODO_04",""
29,"TEXT_LUCKZC019_03402_TODO_05",""
30,"TEXT_LUCKZC019_03402_TODO_06",""
31,"TEXT_LUCKZC019_03402_TODO_07",""
32,"TEXT_LUCKZC019_03402_TODO_08",""
33,"TEXT_LUCKZC019_03402_TODO_09",""
