0,TEXT_LUCKZG006_03491_SEQ_00,"**Règle spéciale :  synchronisation de quête**
Bhol Bol grogne comme s'il était enragé par quelque chose."
1,TEXT_LUCKZG006_03491_SEQ_01,
2,TEXT_LUCKZG006_03491_SEQ_02,
3,TEXT_LUCKZG006_03491_SEQ_03,
4,TEXT_LUCKZG006_03491_SEQ_04,
5,TEXT_LUCKZG006_03491_SEQ_05,
6,TEXT_LUCKZG006_03491_SEQ_06,
7,TEXT_LUCKZG006_03491_SEQ_07,
8,TEXT_LUCKZG006_03491_SEQ_08,
9,TEXT_LUCKZG006_03491_SEQ_09,
10,TEXT_LUCKZG006_03491_SEQ_10,
11,TEXT_LUCKZG006_03491_SEQ_11,
12,TEXT_LUCKZG006_03491_SEQ_12,
13,TEXT_LUCKZG006_03491_SEQ_13,
14,TEXT_LUCKZG006_03491_SEQ_14,
15,TEXT_LUCKZG006_03491_SEQ_15,
16,TEXT_LUCKZG006_03491_SEQ_16,
17,TEXT_LUCKZG006_03491_SEQ_17,
18,TEXT_LUCKZG006_03491_SEQ_18,
19,TEXT_LUCKZG006_03491_SEQ_19,
20,TEXT_LUCKZG006_03491_SEQ_20,
21,TEXT_LUCKZG006_03491_SEQ_21,
22,TEXT_LUCKZG006_03491_SEQ_22,
23,TEXT_LUCKZG006_03491_SEQ_23,
24,TEXT_LUCKZG006_03491_TODO_00,"Utiliser  sur , à l'ouest de Garik, et l'abattre"
25,TEXT_LUCKZG006_03491_TODO_01,Donner  à Bhol Bol
26,TEXT_LUCKZG006_03491_TODO_02,
27,TEXT_LUCKZG006_03491_TODO_03,
28,TEXT_LUCKZG006_03491_TODO_04,
29,TEXT_LUCKZG006_03491_TODO_05,
30,TEXT_LUCKZG006_03491_TODO_06,
31,TEXT_LUCKZG006_03491_TODO_07,
32,TEXT_LUCKZG006_03491_TODO_08,
33,TEXT_LUCKZG006_03491_TODO_09,
34,TEXT_LUCKZG006_03491_TODO_10,
35,TEXT_LUCKZG006_03491_TODO_11,
36,TEXT_LUCKZG006_03491_TODO_12,
37,TEXT_LUCKZG006_03491_TODO_13,
38,TEXT_LUCKZG006_03491_TODO_14,
39,TEXT_LUCKZG006_03491_TODO_15,
40,TEXT_LUCKZG006_03491_TODO_16,
41,TEXT_LUCKZG006_03491_TODO_17,
42,TEXT_LUCKZG006_03491_TODO_18,
43,TEXT_LUCKZG006_03491_TODO_19,
44,TEXT_LUCKZG006_03491_TODO_20,
45,TEXT_LUCKZG006_03491_TODO_21,
46,TEXT_LUCKZG006_03491_TODO_22,
47,TEXT_LUCKZG006_03491_TODO_23,
48,TEXT_LUCKZG006_03491_BHOLBOL_000_000,"Graaah... Groh ? Dis-moi, voyageuse, tu as l'air forte, groui, très forte. Tu pourrais sans doute me débarrasser  qui rôde dans le coin. C'est un animal domestique qui s'est enfui et est devenu sauvage, groui."
49,TEXT_LUCKZG006_03491_BHOLBOL_000_001,"Je pensais que les autres créatures des environs le dévoreraient, mais c'est pas le cas, non, pas le cas du tout. À cause de lui, plusieurs travailleurs des mines de Queues-liées ont été blessés, groui... J'ai besoin de ton aide, j'en ai besoin !"
50,TEXT_LUCKZG006_03491_BHOLBOL_000_002,"Si tu utilises , ça amollira ses écailles et tu pourras le tuer plus facilement, groui, plus facilement !"
51,TEXT_LUCKZG006_03491_BHOLBOL_000_003,"C'est pas que je te fais pas confiance, non, pas du tout, mais je voudrais que tu me rapportes  comme preuve."
52,TEXT_LUCKZG006_03491_BHOLBOL_000_004,"D'après ce que m'a dit un marchand ambulant,  aurait été aperçu à l'ouest du village, oui ! Je compte sur toi, voyageuse !"
53,TEXT_LUCKZG006_03491_BHOLBOL_000_010,"Je veux que tu ailles me débarrasser  pour moi, groui. Si tu utilises , ça amollira ses écailles et tu pourras le tuer plus facilement, groui, plus facilement !"
54,TEXT_LUCKZG006_03491_BHOLBOL_000_020,"Tu as tué  comme je te l'avais demandé, groui ? Si c'est le cas, donne-moi , groui, donne-moi ça !"
55,TEXT_LUCKZG006_03491_BHOLBOL_000_021,"Groooh ! Tu as réussi en effet, groui ! Merci beaucoup, voyageuse, merci en effet !"
56,TEXT_LUCKZG006_03491_BHOLBOL_000_022,"Tu sais,  était tout mimi avant, mais après s'être enfui, il était devenu très violent, groui, très violent. Au point même qu'il attaquait les humains..."
57,TEXT_LUCKZG006_03491_BHOLBOL_000_023,"Il n'y avait donc pas d'autres choix que de l'abattre, non, pas d'autres choix, malheureusement..."
58,TEXT_LUCKZG006_03491_BHOLBOL_000_024,"En tout cas, je vais fumer la viande que tu m'as apportée, groui, je vais la fumer et la donner aux travailleurs des mines qui ont été blessés par . Merci pour ton aide, voyageuse !"
59,TEXT_LUCKZG006_03491_MORDTROUBLE03491_000_000,（★未使用／削除予定★）
60,TEXT_LUCKZG006_03491_MORDTROUBLE03491_000_001,（★未使用／削除予定★）
61,TEXT_LUCKZG006_03491_MORDTROUBLE03491_000_002,（★未使用／削除予定★）
62,TEXT_LUCKZG006_03491_MORDTROUBLE03491_000_003,（★未使用／削除予定★）
63,TEXT_LUCKZG006_03491_MORDTROUBLE03491_000_010,（★未使用／削除予定★）
