key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZF005_03464_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>Règle spéciale<Indent/>:  synchronisation de quête<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
La Viis joyeuse aimerait en savoir plus sur vous."
1,"TEXT_LUCKZF005_03464_SEQ_01",""
2,"TEXT_LUCKZF005_03464_SEQ_02",""
3,"TEXT_LUCKZF005_03464_SEQ_03",""
4,"TEXT_LUCKZF005_03464_SEQ_04",""
5,"TEXT_LUCKZF005_03464_SEQ_05",""
6,"TEXT_LUCKZF005_03464_SEQ_06",""
7,"TEXT_LUCKZF005_03464_SEQ_07",""
8,"TEXT_LUCKZF005_03464_SEQ_08",""
9,"TEXT_LUCKZF005_03464_SEQ_09",""
10,"TEXT_LUCKZF005_03464_SEQ_10",""
11,"TEXT_LUCKZF005_03464_SEQ_11",""
12,"TEXT_LUCKZF005_03464_SEQ_12",""
13,"TEXT_LUCKZF005_03464_SEQ_13",""
14,"TEXT_LUCKZF005_03464_SEQ_14",""
15,"TEXT_LUCKZF005_03464_SEQ_15",""
16,"TEXT_LUCKZF005_03464_SEQ_16",""
17,"TEXT_LUCKZF005_03464_SEQ_17",""
18,"TEXT_LUCKZF005_03464_SEQ_18",""
19,"TEXT_LUCKZF005_03464_SEQ_19",""
20,"TEXT_LUCKZF005_03464_SEQ_20",""
21,"TEXT_LUCKZF005_03464_SEQ_21",""
22,"TEXT_LUCKZF005_03464_SEQ_22",""
23,"TEXT_LUCKZF005_03464_SEQ_23",""
24,"TEXT_LUCKZF005_03464_TODO_00","Parler à la Viis joyeuse"
25,"TEXT_LUCKZF005_03464_TODO_01","Tuer les <SheetFr(BNpcName,12,8996,2,1)/>"
26,"TEXT_LUCKZF005_03464_TODO_02","Parler à la Viis joyeuse"
27,"TEXT_LUCKZF005_03464_TODO_03","Inspecter les environs de La Frairie sauvage"
28,"TEXT_LUCKZF005_03464_TODO_04","Parler à la Viis joyeuse"
29,"TEXT_LUCKZF005_03464_TODO_05","Reparler à la Viis joyeuse"
30,"TEXT_LUCKZF005_03464_TODO_06","Parler encore à la Viis joyeuse"
31,"TEXT_LUCKZF005_03464_TODO_07",""
32,"TEXT_LUCKZF005_03464_TODO_08",""
