key,0,1
#,,
int32,str,str
0,"TEXT_AKTKZA026_04205_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊ルール： レベルアジャスト<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
デミールの遺烈郷の実直な錬金術師は、協力者を求めているようだ。"
1,"TEXT_AKTKZA026_04205_SEQ_01",""
2,"TEXT_AKTKZA026_04205_SEQ_02",""
3,"TEXT_AKTKZA026_04205_SEQ_03",""
4,"TEXT_AKTKZA026_04205_SEQ_04",""
5,"TEXT_AKTKZA026_04205_SEQ_05",""
6,"TEXT_AKTKZA026_04205_SEQ_06",""
7,"TEXT_AKTKZA026_04205_SEQ_07",""
8,"TEXT_AKTKZA026_04205_SEQ_08",""
9,"TEXT_AKTKZA026_04205_SEQ_09",""
10,"TEXT_AKTKZA026_04205_SEQ_10",""
11,"TEXT_AKTKZA026_04205_SEQ_11",""
12,"TEXT_AKTKZA026_04205_SEQ_12",""
13,"TEXT_AKTKZA026_04205_SEQ_13",""
14,"TEXT_AKTKZA026_04205_SEQ_14",""
15,"TEXT_AKTKZA026_04205_SEQ_15",""
16,"TEXT_AKTKZA026_04205_SEQ_16",""
17,"TEXT_AKTKZA026_04205_SEQ_17",""
18,"TEXT_AKTKZA026_04205_SEQ_18",""
19,"TEXT_AKTKZA026_04205_SEQ_19",""
20,"TEXT_AKTKZA026_04205_SEQ_20",""
21,"TEXT_AKTKZA026_04205_SEQ_21",""
22,"TEXT_AKTKZA026_04205_SEQ_22",""
23,"TEXT_AKTKZA026_04205_SEQ_23",""
24,"TEXT_AKTKZA026_04205_TODO_00","実直な錬金術師と話す"
25,"TEXT_AKTKZA026_04205_TODO_01","実直な錬金術師と再度話す"
26,"TEXT_AKTKZA026_04205_TODO_02","海に落ちた物資を回収する"
27,"TEXT_AKTKZA026_04205_TODO_03","実直な錬金術師と話す"
28,"TEXT_AKTKZA026_04205_TODO_04",""
29,"TEXT_AKTKZA026_04205_TODO_05",""
30,"TEXT_AKTKZA026_04205_TODO_06",""
31,"TEXT_AKTKZA026_04205_TODO_07",""
32,"TEXT_AKTKZA026_04205_TODO_08",""
33,"TEXT_AKTKZA026_04205_TODO_09",""
34,"TEXT_AKTKZA026_04205_TODO_10",""
