key,0,1
#,,
int32,str,str
0,"TEXT_AKTKZF001_04256_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊ルール： レベルアジャスト<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
パーラカの里にいるヴィラバンは、落ち込んでいるようだ。"
1,"TEXT_AKTKZF001_04256_SEQ_01",""
2,"TEXT_AKTKZF001_04256_SEQ_02",""
3,"TEXT_AKTKZF001_04256_SEQ_03",""
4,"TEXT_AKTKZF001_04256_SEQ_04",""
5,"TEXT_AKTKZF001_04256_SEQ_05",""
6,"TEXT_AKTKZF001_04256_SEQ_06",""
7,"TEXT_AKTKZF001_04256_SEQ_07",""
8,"TEXT_AKTKZF001_04256_SEQ_08",""
9,"TEXT_AKTKZF001_04256_SEQ_09",""
10,"TEXT_AKTKZF001_04256_SEQ_10",""
11,"TEXT_AKTKZF001_04256_SEQ_11",""
12,"TEXT_AKTKZF001_04256_SEQ_12",""
13,"TEXT_AKTKZF001_04256_SEQ_13",""
14,"TEXT_AKTKZF001_04256_SEQ_14",""
15,"TEXT_AKTKZF001_04256_SEQ_15",""
16,"TEXT_AKTKZF001_04256_SEQ_16",""
17,"TEXT_AKTKZF001_04256_SEQ_17",""
18,"TEXT_AKTKZF001_04256_SEQ_18",""
19,"TEXT_AKTKZF001_04256_SEQ_19",""
20,"TEXT_AKTKZF001_04256_SEQ_20",""
21,"TEXT_AKTKZF001_04256_SEQ_21",""
22,"TEXT_AKTKZF001_04256_SEQ_22",""
23,"TEXT_AKTKZF001_04256_SEQ_23",""
24,"TEXT_AKTKZF001_04256_TODO_00","<Sheet(BNpcName,10708,0)/>を討伐し、まれに得られる<Sheet(EventItem,2003214,0)/>を入手"
25,"TEXT_AKTKZF001_04256_TODO_01","ヴィラバンに<Sheet(EventItem,2003214,0)/>を渡す"
26,"TEXT_AKTKZF001_04256_TODO_02",""
27,"TEXT_AKTKZF001_04256_TODO_03",""
28,"TEXT_AKTKZF001_04256_TODO_04",""
29,"TEXT_AKTKZF001_04256_TODO_05",""
30,"TEXT_AKTKZF001_04256_TODO_06",""
31,"TEXT_AKTKZF001_04256_TODO_07",""
32,"TEXT_AKTKZF001_04256_TODO_08",""
33,"TEXT_AKTKZF001_04256_TODO_09",""
