key,0,1
#,,
int32,str,str
0,"TEXT_BANPIX103_03691_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> Schwierigkeitsanpassung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Die Schwierigkeit des Auftrags wird an die aktuelle Stufe angepasst und die Klasse (der Job) darf nicht gewechselt werden.

Uin Nee hätte gerne etwas Interessantes von außerhalb der Siedlung."
1,"TEXT_BANPIX103_03691_SEQ_01",""
2,"TEXT_BANPIX103_03691_SEQ_02",""
3,"TEXT_BANPIX103_03691_SEQ_03",""
4,"TEXT_BANPIX103_03691_SEQ_04",""
5,"TEXT_BANPIX103_03691_SEQ_05",""
6,"TEXT_BANPIX103_03691_SEQ_06",""
7,"TEXT_BANPIX103_03691_SEQ_07",""
8,"TEXT_BANPIX103_03691_SEQ_08",""
9,"TEXT_BANPIX103_03691_SEQ_09",""
10,"TEXT_BANPIX103_03691_SEQ_10",""
11,"TEXT_BANPIX103_03691_SEQ_11",""
12,"TEXT_BANPIX103_03691_SEQ_12",""
13,"TEXT_BANPIX103_03691_SEQ_13",""
14,"TEXT_BANPIX103_03691_SEQ_14",""
15,"TEXT_BANPIX103_03691_SEQ_15",""
16,"TEXT_BANPIX103_03691_SEQ_16",""
17,"TEXT_BANPIX103_03691_SEQ_17",""
18,"TEXT_BANPIX103_03691_SEQ_18",""
19,"TEXT_BANPIX103_03691_SEQ_19",""
20,"TEXT_BANPIX103_03691_SEQ_20",""
21,"TEXT_BANPIX103_03691_SEQ_21",""
22,"TEXT_BANPIX103_03691_SEQ_22",""
23,"TEXT_BANPIX103_03691_SEQ_23",""
24,"TEXT_BANPIX103_03691_TODO_00","Sammler-Pixie im „Sagen“-Chatmodus mit „Snaeling“ ansprechen"
25,"TEXT_BANPIX103_03691_TODO_01","Mit Uin Nee sprechen"
26,"TEXT_BANPIX103_03691_TODO_02",""
27,"TEXT_BANPIX103_03691_TODO_03",""
28,"TEXT_BANPIX103_03691_TODO_04",""
29,"TEXT_BANPIX103_03691_TODO_05",""
30,"TEXT_BANPIX103_03691_TODO_06",""
31,"TEXT_BANPIX103_03691_TODO_07",""
32,"TEXT_BANPIX103_03691_TODO_08",""
33,"TEXT_BANPIX103_03691_TODO_09",""
