0,"TEXT_BANSAH201_01390_SEQ_00","\xe3\x83\x8e\xe3\x82\xa9\xe3\x83\xb4\xe3\x81\xae\xe8\x82\xb2\xe6\x88\x90\xe5\x9c\xb0\xe3\x81\xae\xe3\x83\x9b\xe3\x82\xa9\xe3\x82\xa6\xe3\x81\xaf\xe3\x80\x81\xe5\x8e\x84\xe4\xbb\x8b\xe3\x81\xaa\xe6\x83\x85\xe5\xa0\xb1\xe3\x82\x92\xe6\x8e\xb4\xe3\x82\x93\xe3\x81\xa0\xe3\x82\x88\xe3\x81\x86\xe3\x81\xa0\xe3\x80\x82"
1,"TEXT_BANSAH201_01390_SEQ_01","\xe3\x83\x9b\xe3\x82\xa9\xe3\x82\xa6\xe3\x81\x8b\xe3\x82\x89\xe3\x80\x81\xe3\x80\x8c\xe7\x8f\x8a\xe7\x91\x9a\xe3\x81\xae\xe9\x8a\x9b\xe3\x80\x8d\xe3\x81\x8c\xe5\x91\xbc\xe3\x81\xb3\xe5\xaf\x84\xe3\x81\x9b\xe3\x81\x9f\xe3\x80\x81\xe3\x81\xbe\xe3\x81\x98\xe3\x81\xaa\xe3\x81\x84\xe5\xb8\xab\xe3\x81\xae\xe8\xa8\x8e\xe4\xbc\x90\xe3\x82\x92\xe9\xa0\xbc\xe3\x81\xbe\xe3\x82\x8c\xe3\x81\x9f\xe3\x80\x82\xe3\x82\xb5\xe3\x83\x97\xe3\x82\xb5\xe7\x94\xa3\xe5\x8d\xb5\xe5\x9c\xb0\xe3\x81\xae\xe3\x80\x8c\x02(\x0f\xff\tBNpcName\xf2\t\xde\x01\x03\xe3\x80\x8d\xe3\x82\x923\xe4\xbd\x93\xe8\xa8\x8e\xe4\xbc\x90\xe3\x81\x97\xe3\x82\x88\xe3\x81\x86\xe3\x80\x82"
2,"TEXT_BANSAH201_01390_SEQ_02","\x02(\x0f\xff\tBNpcName\xf2\t\xde\x01\x03\xe3\x82\x92\xe8\xa8\x8e\xe4\xbc\x90\xe3\x81\x97\xe3\x81\x9f\xe3\x80\x82\xe3\x83\x8e\xe3\x82\xa9\xe3\x83\xb4\xe3\x81\xae\xe8\x82\xb2\xe6\x88\x90\xe5\x9c\xb0\xe3\x81\xae\xe3\x80\x8c\xe3\x83\x9b\xe3\x82\xa9\xe3\x82\xa6\xe3\x80\x8d\xe3\x81\xab\xe5\xa0\xb1\xe5\x91\x8a\xe3\x81\x97\xe3\x82\x88\xe3\x81\x86\xe3\x80\x82"
3,"TEXT_BANSAH201_01390_SEQ_03","\xe3\x83\x9b\xe3\x82\xa9\xe3\x82\xa6\xe3\x81\xab\xe3\x80\x81\xe3\x81\xbe\xe3\x81\x98\xe3\x81\xaa\xe3\x81\x84\xe5\xb8\xab\xe3\x82\x92\xe8\xa8\x8e\xe4\xbc\x90\xe3\x81\x97\xe3\x81\x9f\xe3\x81\x93\xe3\x81\xa8\xe3\x82\x92\xe5\xa0\xb1\xe5\x91\x8a\xe3\x81\x97\xe3\x81\x9f\xe3\x80\x82\xe7\x99\x92\xe3\x81\x97\xe6\x89\x8b\xe3\x82\x92\xe6\x8e\x92\xe9\x99\xa4\xe3\x81\x99\xe3\x82\x8c\xe3\x81\xb0\xe3\x80\x81\xe3\x80\x8c\xe7\x8f\x8a\xe7\x91\x9a\xe3\x81\xae\xe9\x8a\x9b\xe3\x80\x8d\xe3\x82\x82\xe4\xb8\x8b\xe6\x89\x8b\xe3\x81\xab\xe6\x94\xbb\xe5\x8b\xa2\xe3\x81\xab\xe3\x81\xaf\xe5\x87\xba\xe3\x82\x89\xe3\x82\x8c\xe3\x81\xaa\xe3\x81\x84\xe3\x81\xa0\xe3\x82\x8d\xe3\x81\x86\xe3\x81\xa8\xe3\x80\x81\xe3\x83\x9b\xe3\x82\xa9\xe3\x82\xa6\xe3\x81\xaf\xe5\xae\x89\xe5\xa0\xb5\xe3\x81\x97\xe3\x81\x9f\xe3\x82\x88\xe3\x81\x86\xe3\x81\xa0\xe3\x80\x82\xe5\x86\x8d\xe3\x81\xb3\xe3\x81\xbe\xe3\x81\x98\xe3\x81\xaa\xe3\x81\x84\xe5\xb8\xab\xe3\x81\x8c\xe5\x91\xbc\xe3\x81\xb3\xe5\xaf\x84\xe3\x81\x9b\xe3\x82\x89\xe3\x82\x8c\xe3\x81\x9f\xe9\x9a\x9b\xe3\x81\xab\xe3\x81\xaf\xe3\x80\x81\xe6\x8e\x92\xe9\x99\xa4\xe3\x81\xab\xe5\x8d\x94\xe5\x8a\x9b\xe3\x81\x97\xe3\x82\x88\xe3\x81\x86\xe3\x80\x82"
4,"TEXT_BANSAH201_01390_SEQ_04",
5,"TEXT_BANSAH201_01390_SEQ_05",
6,"TEXT_BANSAH201_01390_SEQ_06",
7,"TEXT_BANSAH201_01390_SEQ_07",
8,"TEXT_BANSAH201_01390_SEQ_08",
9,"TEXT_BANSAH201_01390_SEQ_09",
10,"TEXT_BANSAH201_01390_SEQ_10",
11,"TEXT_BANSAH201_01390_SEQ_11",
12,"TEXT_BANSAH201_01390_SEQ_12",
13,"TEXT_BANSAH201_01390_SEQ_13",
14,"TEXT_BANSAH201_01390_SEQ_14",
15,"TEXT_BANSAH201_01390_SEQ_15",
16,"TEXT_BANSAH201_01390_SEQ_16",
17,"TEXT_BANSAH201_01390_SEQ_17",
18,"TEXT_BANSAH201_01390_SEQ_18",
19,"TEXT_BANSAH201_01390_SEQ_19",
20,"TEXT_BANSAH201_01390_SEQ_20",
21,"TEXT_BANSAH201_01390_SEQ_21",
22,"TEXT_BANSAH201_01390_SEQ_22",
23,"TEXT_BANSAH201_01390_SEQ_23",
24,"TEXT_BANSAH201_01390_TODO_00","\xe3\x82\xb5\xe3\x83\x97\xe3\x82\xb5\xe7\x94\xa3\xe5\x8d\xb5\xe5\x9c\xb0\xe3\x81\xae\x02(\x0f\xff\tBNpcName\xf2\t\xde\x01\x03\xe3\x82\x92\xe8\xa8\x8e\xe4\xbc\x90"
25,"TEXT_BANSAH201_01390_TODO_01","\xe3\x83\x9b\xe3\x82\xa9\xe3\x82\xa6\xe3\x81\xab\xe5\xa0\xb1\xe5\x91\x8a"
26,"TEXT_BANSAH201_01390_TODO_02",
27,"TEXT_BANSAH201_01390_TODO_03",
