0,"TEXT_BANKOB102_01326_SEQ_00","789th Order Dustman Bo Zu wants his dinner, but he'll be damned if he's going to work for it."
1,"TEXT_BANKOB102_01326_SEQ_01","The labor\x02\x1f\x01\x03averse Bo Zu has caught word of generous meals being distributed by Zo Ga to those industrious kobolds who have earned the fugleman's favor, and has concluded that the 789th is equally deserving of gustatory gratification despite their decided lack of productivity. Head to Iron Lake and appropriate three lavish lunchpots so that Bo Zu and his friends can feast like their hard\x02\x1f\x01\x03working peers for a day."
2,"TEXT_BANKOB102_01326_SEQ_02","You have managed to secure three piping hot lunchpots. Deliver the feast to the 789th Order Dig in hopes that it will sate the stomach of the slavering Bo Zu."
3,"TEXT_BANKOB102_01326_SEQ_03","Bo Zu revels in the fruits of your success, though any hopes that the dustman has learned a lesson about the value of hard work are promptly dashed when he shamelessly expresses his eagerness to impose upon you similarly again. You can only hope that the idle\x02\x1f\x01\x03handed kobold's stomach remains sated for the foreseeable future."
4,"TEXT_BANKOB102_01326_SEQ_04","dummy"
5,"TEXT_BANKOB102_01326_SEQ_05","dummy"
6,"TEXT_BANKOB102_01326_SEQ_06","dummy"
7,"TEXT_BANKOB102_01326_SEQ_07","dummy"
8,"TEXT_BANKOB102_01326_SEQ_08","dummy"
9,"TEXT_BANKOB102_01326_SEQ_09","dummy"
10,"TEXT_BANKOB102_01326_SEQ_10","dummy"
11,"TEXT_BANKOB102_01326_SEQ_11","dummy"
12,"TEXT_BANKOB102_01326_SEQ_12","dummy"
13,"TEXT_BANKOB102_01326_SEQ_13","dummy"
14,"TEXT_BANKOB102_01326_SEQ_14","dummy"
15,"TEXT_BANKOB102_01326_SEQ_15","dummy"
16,"TEXT_BANKOB102_01326_SEQ_16","dummy"
17,"TEXT_BANKOB102_01326_SEQ_17","dummy"
18,"TEXT_BANKOB102_01326_SEQ_18","dummy"
19,"TEXT_BANKOB102_01326_SEQ_19","dummy"
20,"TEXT_BANKOB102_01326_SEQ_20","dummy"
21,"TEXT_BANKOB102_01326_SEQ_21","dummy"
22,"TEXT_BANKOB102_01326_SEQ_22","dummy"
23,"TEXT_BANKOB102_01326_SEQ_23","dummy"
24,"TEXT_BANKOB102_01326_TODO_00","Acquire lavish lunchpots from Iron Lake."
25,"TEXT_BANKOB102_01326_TODO_01","Deliver lavish lunchpots to 789th Order Dustman Bo Zu."
26,"TEXT_BANKOB102_01326_TODO_02","dummy"
27,"TEXT_BANKOB102_01326_TODO_03","dummy"
28,"TEXT_BANKOB102_01326_TODO_04","dummy"
29,"TEXT_BANKOB102_01326_TODO_05","dummy"
30,"TEXT_BANKOB102_01326_TODO_06","dummy"
31,"TEXT_BANKOB102_01326_TODO_07","dummy"
32,"TEXT_BANKOB102_01326_TODO_08","dummy"
33,"TEXT_BANKOB102_01326_TODO_09","dummy"
34,"TEXT_BANKOB102_01326_TODO_10","dummy"
35,"TEXT_BANKOB102_01326_TODO_11","dummy"
36,"TEXT_BANKOB102_01326_TODO_12","dummy"
37,"TEXT_BANKOB102_01326_TODO_13","dummy"
38,"TEXT_BANKOB102_01326_TODO_14","dummy"
39,"TEXT_BANKOB102_01326_TODO_15","dummy"
40,"TEXT_BANKOB102_01326_TODO_16","dummy"
41,"TEXT_BANKOB102_01326_TODO_17","dummy"
42,"TEXT_BANKOB102_01326_TODO_18","dummy"
43,"TEXT_BANKOB102_01326_TODO_19","dummy"
44,"TEXT_BANKOB102_01326_TODO_20","dummy"
45,"TEXT_BANKOB102_01326_TODO_21","dummy"
46,"TEXT_BANKOB102_01326_TODO_22","dummy"
47,"TEXT_BANKOB102_01326_TODO_23","dummy"
48,"TEXT_BANKOB102_01326_BOZU_000_000","The unfairness\xe2\x94\x80injustice, iniquity, unfairness of it all!"
49,"TEXT_BANKOB102_01326_BOZU_000_001","While the 789th goes famished\xe2\x94\x80starving, hungry, famished\xe2\x94\x80Zo Ga and his cronies feast! Feast on lunchpots packed, yes, so packed with tasty treats that a single one could feed our entire dig for a week."
50,"TEXT_BANKOB102_01326_BOZU_000_002","Should Zo Ga and his hardworking cronies get all the rewards? No, no, a hundred times no! Yes, our tummies are rumbling\xe2\x94\x80grumbling, mumbling, rumbling\xe2\x94\x80as much as theirs!"
51,"TEXT_BANKOB102_01326_BOZU_000_003","Why, I have a notion\xe2\x94\x80a thought, a mind, a notion\xe2\x94\x80to walk right over to Iron Lake and snatch one or three for myself. But walking is hard work. Yes, yes, and your legs are so much \x02\x08\x17\xe4\xe9H\x04\xff\tstronger\xff\x07longer\x03 than mine..."
52,"TEXT_BANKOB102_01326_BOZU_000_004","You will walk to Iron Lake and bring back three of Zo Ga's luscious lunchpots, yes? I am beside myself in drooling anticipation\xe2\x94\x80dribbling, driveling, drooling anticipation!"
53,"TEXT_BANKOB102_01326_BOZU_000_010","Do I smell what I think I smell? Yes, yes, I believe I do!"
54,"TEXT_BANKOB102_01326_BOZU_000_011","Freshly plucked lava toad legs? Earthworms that still wriggle and squirm? This is more than a meal, it is a feast\xe2\x94\x80a banquet, a spread, a feast for the senses!"
55,"TEXT_BANKOB102_01326_BOZU_000_012","Does sampling the delights of his peers inspire Bo Zu to work harder? No, no, never! Why would it, when I have \x02\x08!\xe4\xe9H\x04\xff\x0estrong-legged\xff\x0clong-legged\x03 friends like you?"
