0,TEXT_CMNDUNENTERTAMTARA_00014_SCENE00000,"Derrière ces portes se trouve l'Hypogée de Tam-Tara. Ce territoire est sous la sur­veil­lan­ce stricte de la 2e Lance des vigiles sombres, et nul ne peut entrer sans au­to­ri­sa­tion."
1,TEXT_CMNDUNENTERTAMTARA_00014_SCENE00001,Que voulez-vous faire ?
2,TEXT_CMNDUNENTERTAMTARA_00014_SCENE00002,En savoir plus sur l'Hypogée de Tam-Tara
3,TEXT_CMNDUNENTERTAMTARA_00014_SCENE00003,Lancer la mission “L'Hypogée de Tam-Tara”
4,TEXT_CMNDUNENTERTAMTARA_00014_SCENE00004,Annuler
5,TEXT_CMNDUNENTERTAMTARA_00014_SCENE00005,"L'Hypogée de Tam-Tara est un endroit ex­trê­me­ment dangereux. Afin de protéger ceux qui s'y aventurent, nous imposons un règlement strict. Seuls les groupes qui remplissent les conditions que nous avons posées peuvent y accéder."
6,TEXT_CMNDUNENTERTAMTARA_00014_SCENE00006,Seules les équipes de 4 disciples de la guerre ou de la magie de niveau 16 ou plus peuvent participer à la mission “L'Hypogée de Tam-Tara”.
7,TEXT_CMNDUNENTERTAMTARA_00014_SCENE00101,"En outre, tous les par­ti­ci­pants doivent avoir suf­fi­sam­ment progressé dans la quête “Les exaltés de Tam-Tara”.
Les personnages de niveau 20 ou plus seront ramenés au niveau 19 le temps de la mission."
8,TEXT_CMNDUNENTERTAMTARA_00014_SCENE00102,La conquête du donjon doit être terminée dans le temps imparti de 90 minutes (temps réel).
9,TEXT_CMNDUNENTERTAMTARA_00014_SCENE00103,"S'il reste des objets dans le butin en sortant de l'instance, ils seront tous distribués au­to­ma­ti­que­ment. Les objets ne pouvant pas l'être seront alors perdus."
10,TEXT_CMNDUNENTERTAMTARA_00014_SCENE00009,Lancer la mission “L'Hypogée de Tam-Tara” ?
11,TEXT_CMNDUNENTERTAMTARA_00014_SCENE00010,Oui
12,TEXT_CMNDUNENTERTAMTARA_00014_SCENE00011,Non
13,TEXT_CMNDUNENTERTAMTARA_00014_SCENE00012,"Un trop grand nombre d'aventuriers participent ac­tu­el­le­ment à cette mission.
Veuillez réessayer plus tard."
14,TEXT_CMNDUNENTERTAMTARA_00014_SCENE00013,"Il est nécessaire d'attendre un certain temps avant de pouvoir participer de nouveau à la mission. Pour connaître le temps d'attente restant, consultez le Calendrier dans le menu Outil de mission."
15,TEXT_CMNDUNENTERTAMTARA_00014_SCENE00014,Seules les équipes de 4 disciples de la guerre ou de la magie de niveau 15 ou plus peuvent participer à la mission “L'Hypogée de Tam-Tara”.
16,TEXT_CMNDUNENTERTAMTARA_00014_SCENE00015,L'un des membres de l'équipe est ac­tu­el­le­ment en mission. Veuillez réessayer lorsque celle-ci sera terminée.
17,TEXT_CMNDUNENTERTAMTARA_00014_SCENE00016,L'un des membres de l'équipe n'est pas ac­tu­el­le­ment en état de commencer la mission.
18,TEXT_CMNDUNENTERTAMTARA_00014_SCENE00017,"Impossible de lancer  “”. 
Veuillez vérifier les conditions d'accès."
19,TEXT_CMNDUNENTERTAMTARA_00014_SCENE00020,"Derrière ces portes se trouve l'Hypogée de Tam-Tara. Ce territoire est sous la sur­veil­lan­ce stricte de la 2e Lance des vigiles sombres, et nul ne peut entrer sans au­to­ri­sa­tion."
20,TEXT_CMNDUNENTERTAMTARA_00014_SYSTEM_20,"Pour obtenir l'au­to­ri­sa­tion d'accéder à l'Hypogée de Tam-Tara, vous devez progresser jusqu'à un certain point dans la quête “Les exaltés de Tam-Tara”."
