key,0,1
#,,
int32,str,str
0,"TEXT_LUCKSA303_04086_SEQ_00","Mikoto a du nouveau concernant le prochain camp avancé de la résistance."
1,"TEXT_LUCKSA303_04086_SEQ_01",""
2,"TEXT_LUCKSA303_04086_SEQ_02",""
3,"TEXT_LUCKSA303_04086_SEQ_03",""
4,"TEXT_LUCKSA303_04086_SEQ_04",""
5,"TEXT_LUCKSA303_04086_SEQ_05",""
6,"TEXT_LUCKSA303_04086_SEQ_06",""
7,"TEXT_LUCKSA303_04086_SEQ_07",""
8,"TEXT_LUCKSA303_04086_SEQ_08",""
9,"TEXT_LUCKSA303_04086_SEQ_09",""
10,"TEXT_LUCKSA303_04086_SEQ_10",""
11,"TEXT_LUCKSA303_04086_SEQ_11",""
12,"TEXT_LUCKSA303_04086_SEQ_12",""
13,"TEXT_LUCKSA303_04086_SEQ_13",""
14,"TEXT_LUCKSA303_04086_SEQ_14",""
15,"TEXT_LUCKSA303_04086_SEQ_15",""
16,"TEXT_LUCKSA303_04086_SEQ_16",""
17,"TEXT_LUCKSA303_04086_SEQ_17",""
18,"TEXT_LUCKSA303_04086_SEQ_18",""
19,"TEXT_LUCKSA303_04086_SEQ_19",""
20,"TEXT_LUCKSA303_04086_SEQ_20",""
21,"TEXT_LUCKSA303_04086_SEQ_21",""
22,"TEXT_LUCKSA303_04086_SEQ_22",""
23,"TEXT_LUCKSA303_04086_SEQ_23",""
24,"TEXT_LUCKSA303_04086_TODO_00","Inspecter l'endroit indiqué"
25,"TEXT_LUCKSA303_04086_TODO_01","Inspecter l'autre endroit indiqué"
26,"TEXT_LUCKSA303_04086_TODO_02","Parler à Mikoto"
27,"TEXT_LUCKSA303_04086_TODO_03","Reparler à Mikoto"
28,"TEXT_LUCKSA303_04086_TODO_04",""
29,"TEXT_LUCKSA303_04086_TODO_05",""
30,"TEXT_LUCKSA303_04086_TODO_06",""
31,"TEXT_LUCKSA303_04086_TODO_07",""
32,"TEXT_LUCKSA303_04086_TODO_08",""
33,"TEXT_LUCKSA303_04086_TODO_09",""
34,"TEXT_LUCKSA303_04086_TODO_10",""
35,"TEXT_LUCKSA303_04086_TODO_11",""
36,"TEXT_LUCKSA303_04086_TODO_12",""
37,"TEXT_LUCKSA303_04086_TODO_13",""
