key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNA611_01660_SEQ_00","Matoya ist bereit, euch mehr zu erzählen."
1,"TEXT_HEAVNA611_01660_SEQ_01","Matoya hat euch von dem Ätherverdichter erzählt, den sie entwickelt hat. Die Pläne und Auf<SoftHyphen/>zeich<SoftHyphen/>nun<SoftHyphen/>gen dazu sollen noch in der Großen Gubal-Bibliothek liegen, wo sie in der Abteilung „verbotene Schriften“ unter Verschluss gehalten werden. Y'shtola und Alphinaud müssen Matoya bei der Pflege ihrer Helferlein zur Hand gehen, deshalb sollst du das Manuskript allein aus der Bibliothek holen. Bitte Matoya noch um letzte Anweisungen."
2,"TEXT_HEAVNA611_01660_SEQ_02","Matoya erklärt dir, dass die Türen zur Bibliothek wahrscheinlich fest verschlossen sind, aber sie will dir einen ihrer magischen Besen mitgeben, der dir Zutritt verschaffen soll. Sprich mit dem eifrig fegenden Besen."
3,"TEXT_HEAVNA611_01660_SEQ_03","Der Besen sagt, dass die Bibliothek östlich der Höhle liegt und eilt schon voraus. Sprich vor der Großen Gubal-Bibliothek im Dravanischen Hinterland noch einmal mit ihm."
4,"TEXT_HEAVNA611_01660_SEQ_04","Der Besen hat dir tatsächlich die Tür geöffnet. Bahne dir deinen Weg durch die Bibliothek.

※ Bestreite diesen Inhalt mit NPCs, indem du sie per „Inhaltshelfer“ rekrutierst. Diesen öffnest du über das Hauptmenü oder direkt am Eingang des Inhalts.
※ Der Inhalt kann auch wie bisher mit anderen Spielern betreten werden. Benutze die Inhaltssuche, um Mitspieler zu finden."
5,"TEXT_HEAVNA611_01660_SEQ_05","Du hast die gefährlichen Gänge der Bibliothek gesichert. Kehr ins Dravanische Hinterland zurück."
6,"TEXT_HEAVNA611_01660_SEQ_06","Als du den Wächter der Bibliothek zu Fall bringst, leuchtet dein Wasserkristall auf. Da fällt dein Blick auch auf eine Schrift über Ätherverdichtung - Matoyas Forschungsarbeit! Bring <SheetDe(EventItem,2,2001575,1,4,1)/> zurück zu Matoya in ihre Höhle."
7,"TEXT_HEAVNA611_01660_SEQ_07","Du hast Matoya <SheetDe(EventItem,2,2001575,1,4,1)/> überreicht. Die Schriftzeichen sind dir fremd - welche Sprache mag das nur sein?"
8,"TEXT_HEAVNA611_01660_SEQ_08",""
