key,0,1
#,,
int32,str,str
0,"TEXT_BANAMA304_01245_SEQ_00","Im Ring der Asche möchte dich Yadovv Gah damit beauftragen, Elitekrieger der feindlichen Amalj'aa zu besiegen."
1,"TEXT_BANAMA304_01245_SEQ_01","Yadovv Gah hat dich damit beauftragt, Elitekrieger der Flammenfänge zu besiegen und das Symbol ihrer Stärke zu erobern. Nimm an dem FATE „Aufflammende Gewalt“ in Zahar'ak teil. <Clickable(<SheetDe(Item,2,　7001,1,4,1)/>)/>, die du dabei erhältst, sollst du anschließend als Beweis für deinen Triumph zu Yadovv Gah bringen."
2,"TEXT_BANAMA304_01245_SEQ_02","Mit <SheetDe(Item,2,　7001,1,3,1)/> hast du Yadovv Gah schwer beeindruckt, denn sie ist ein symbolträchtiger Beweis deines Triumphes über die Elitekrieger der Flammenfänge."
3,"TEXT_BANAMA304_01245_SEQ_03",""
4,"TEXT_BANAMA304_01245_SEQ_04",""
5,"TEXT_BANAMA304_01245_SEQ_05",""
6,"TEXT_BANAMA304_01245_SEQ_06",""
7,"TEXT_BANAMA304_01245_SEQ_07",""
8,"TEXT_BANAMA304_01245_SEQ_08",""
9,"TEXT_BANAMA304_01245_SEQ_09",""
10,"TEXT_BANAMA304_01245_SEQ_10",""
11,"TEXT_BANAMA304_01245_SEQ_11",""
12,"TEXT_BANAMA304_01245_SEQ_12",""
13,"TEXT_BANAMA304_01245_SEQ_13",""
14,"TEXT_BANAMA304_01245_SEQ_14",""
15,"TEXT_BANAMA304_01245_SEQ_15",""
16,"TEXT_BANAMA304_01245_SEQ_16",""
17,"TEXT_BANAMA304_01245_SEQ_17",""
18,"TEXT_BANAMA304_01245_SEQ_18",""
19,"TEXT_BANAMA304_01245_SEQ_19",""
20,"TEXT_BANAMA304_01245_SEQ_20",""
21,"TEXT_BANAMA304_01245_SEQ_21",""
22,"TEXT_BANAMA304_01245_SEQ_22",""
23,"TEXT_BANAMA304_01245_SEQ_23",""
24,"TEXT_BANAMA304_01245_TODO_00","An FATE „Aufflammende Gewalt“ in Zahar'ak teilnehmen und <SheetDe(Item,2,　7001,1,4,1)/> zu Yadovv Gah bringen"
25,"TEXT_BANAMA304_01245_TODO_01",""
26,"TEXT_BANAMA304_01245_TODO_02",""
27,"TEXT_BANAMA304_01245_TODO_03",""
28,"TEXT_BANAMA304_01245_TODO_04",""
29,"TEXT_BANAMA304_01245_TODO_05",""
30,"TEXT_BANAMA304_01245_TODO_06",""
31,"TEXT_BANAMA304_01245_TODO_07",""
32,"TEXT_BANAMA304_01245_TODO_08",""
33,"TEXT_BANAMA304_01245_TODO_09",""
34,"TEXT_BANAMA304_01245_TODO_10",""
35,"TEXT_BANAMA304_01245_TODO_11",""
36,"TEXT_BANAMA304_01245_TODO_12",""
37,"TEXT_BANAMA304_01245_TODO_13",""
38,"TEXT_BANAMA304_01245_TODO_14",""
39,"TEXT_BANAMA304_01245_TODO_15",""
40,"TEXT_BANAMA304_01245_TODO_16",""
41,"TEXT_BANAMA304_01245_TODO_17",""
42,"TEXT_BANAMA304_01245_TODO_18",""
43,"TEXT_BANAMA304_01245_TODO_19",""
44,"TEXT_BANAMA304_01245_TODO_20",""
45,"TEXT_BANAMA304_01245_TODO_21",""
46,"TEXT_BANAMA304_01245_TODO_22",""
47,"TEXT_BANAMA304_01245_TODO_23",""
48,"TEXT_BANAMA304_01245_YADOVVGAH_000_000","Der harte Kern der Flammenfänge besteht aus einer Eliteeinheit, die der Bruderschaft der Asche bereits schwere Verluste beigebracht hat."
49,"TEXT_BANAMA304_01245_YADOVVGAH_000_001","Zu der Einheit gehören <SheetDe(BNpcName,5,2369,2,1,1)/> und <SheetDe(BNpcName,1,2368,1,1,1)/>, die im feindlichen Lager ein hohes Ansehen genießen und im Kampf nur schwer zu überwältigen sind."
50,"TEXT_BANAMA304_01245_YADOVVGAH_000_002","Indem du sie besiegst und ihnen ihre <SheetDe(Item,5,　7001,1,4,1)/> nimmst, setzt du ein Zeichen unserer Überlegenheit und schwächst den Kampfgeist unserer Feinde."
51,"TEXT_BANAMA304_01245_YADOVVGAH_100_003","Willst du diese Heraus<SoftHyphen/>forde<SoftHyphen/>rung annehmen? So wünsche ich dir viel Erfolg! Zeige mir hinterher <SheetDe(Item,2,　7001,1,4,1)/>, auf dass ich deinen Triumph verkünden kann. "
52,"TEXT_BANAMA304_01245_YADOVVGAH_000_005","(カット)"
53,"TEXT_BANAMA304_01245_YADOVVGAH_000_010","Hast du <SheetDe(BNpcName,2,2369,2,4,1)/> und <SheetDe(BNpcName,2,2368,1,4,1)/> besiegt? So zeige mir ihre <SheetDe(Item,5,　7001,1,4,1)/>, auf dass ich deinen Triumph verkünden kann!"
54,"TEXT_BANAMA304_01245_YADOVVGAH_000_011","Ah, <SheetDe(Item,2,　7001,1,1,1)/>, das Symbol der vermeintlichen Überlegenheit unserer Feinde, die ihnen wichtiger ist als ihr Leben! Du hast sie ihnen genommen und somit aller Welt ihren Hochmut vor Augen geführt."
55,"TEXT_BANAMA304_01245_YADOVVGAH_000_012","Es ist wirklich beeindruckend, was du wieder vollbracht hast. Möge deine Heldentat auf Jahr und Tag besungen werden!"
