0,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_TALK_ACTOR,"Bienvenue au centre d'accueil du merrrveilleux, fabuleux, ex­traor­di­nai­re, sensationnel Gold Saucer des Manderville ! Je me ferai un plaisir de vous renseigner sur les différentes attractions de notre éta­blis­se­ment. Demandez-moi tout ce que vous voulez !"
1,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_Q1_1,Sur quoi vous renseignez-vous ?
2,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_A1_1,Les courses de chocobos
3,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_A1_2,Triple Triade
4,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_A1_7,Choc des mascottes
5,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_A1_8,Le mahjong domien
6,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_A1_3,Le Cactpot
7,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_A1_4,Les mini-jeux
8,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_A1_5,Les JACTA (Jeux Aléatoires Créatifs de Type Amusant)
9,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_A1_6,Annuler
10,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_CRACE,Les frrrénétiques courses de chocobos sont une des activités les plus populaires de notre parc d'attractions ! Trouvez le nom parfait pour votre fier destrier et chevauchez-le pour obtenir la première place sur le podium !
11,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_CRACE_001,"Si vous avez envie de mettre le pied à l'étrier, rendez-vous sans plus attendre au square des chocobos. Dirigez-vous ensuite vers la réception pour vous inscrrrire sur le registre des par­ti­ci­pants et montrer à tout le monde l'étendue de vos talents de jockey !"
12,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_TRIPLETRIAD,Triple Triade est un jeu de cartes passionnant grâce auquel vous pourrez défier n'importe quel joueur à travers Éorzéa ! Sélectionnez cinq cartes parrrmi celles que vous possédez et faites travailler vos méninges pour remporter un maximum de duels !
13,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_TRIPLETRIAD_001,"Lorsque vous vous sentirez d'attaque pour une petite partie amicale ou un tournoi, rendez-vous au square des duellistes au sud-ouest de ce guichet. Vous y rencontrerez de nombreux passionnés prrrêts à se mesurer à vous, alors montrez-leur ce que vous savez faire !"
14,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_EMJ_000_000,Le mahjong domien est un jeu de réflexion et de hasard ex­trê­me­ment populaire dans les contrées orientales ! Formez des com­bi­nai­sons complexes avec les différentes familles de tuiles et montrez à vos adversaires qui est le plus grand stratège !
15,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_EMJ_000_001,"Des tables et des partenaires de jeu vous attendent au premier étage du Square des merveilles est, alors venez vite découvrir ce passe-temps passionnant !"
16,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_LOTTERY_000_000,"Cactpot est le charmant sobriquet donné au jeu de hasard qui fait le bonheur de tous les clients du Gold Saucer ! Il se divise en deux catégories : le Mini Cactpot pour les bourrrses modestes, et le Méga Cactpot pour les férus de gros lots !"
17,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_LOTTERY_000_001,"Pas besoin d'aller bien loin pour participer au Mini Cactpot, puisque tout se passe à ce même comptoir auprrrès de mon collègue juste derrière ! Quant au Méga Cactpot, il vous faudra aller à l'étage du square des spectacles."
18,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_LOTTERY_000_002,"Si la chance vous sourit, vous empocherez une quantité plus que rondelette de points du Gold Saucer, alors n'hésitez pas à parrrticiper le plus souvent possible !"
19,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_ARCADE,"Saviez-vous que de nombrrreux mini-jeux sont disséminés un peu partout dans le Gold Saucer ? Ils offrent la possibilité de remporter des points à ne plus savoir qu'en faire, alors n'oubliez pas de vous y essayer !"
20,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE,De nombreux spectacles et événements sont ré­gu­liè­re­ment organisés à l'intérieur du Gold Saucer. Prrromenez-vous sans retenue dans les allées colorées de notre éta­blis­se­ment et vos pas vous mèneront cer­tai­ne­ment à l'un d'entre eux !
21,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_SYSTEM_000,Des événements appelés JACTA (Jeux Aléatoires Créatifs de Type Amusant) peuvent se déclencher à certaines heures en divers endroits du Gold Saucer.
22,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_SYSTEM_001,"Durant un JACTA, un icone indiquant l'emplacement du PNJ lié à l'événement apparaît sur la carte. Parlez-lui pour y participer."
23,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_SYSTEM_002,"Si vous avez du mal à trouver l'endroit, vous pouvez aussi parler à la spécialiste de l'événementiel qui se fera une joie de vous guider jusqu'au JACTA."
24,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_Q2_1,Sur quoi vous renseignez-vous ?
25,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_A2_0,Les horaires des différents JACTA
26,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_A2_1,Mascotte en détresse
27,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_A2_2,"Attention, fragile"
28,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_A2_7,Haute voltige
29,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_A2_3,Sus à l'imp-osteur
30,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_A2_4,Voulez-vous danser ?
31,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_A2_5,Un sacré courant d'air
32,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_A2_8,As de l'air
33,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_A2_9,La coupe est pleine
34,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_A2_6,Retour
35,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_0_1,Les JACTA se déclenchent à heures fixes en diverrrs endroits du Gold Saucer.
36,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_0_SYSYEM_1,"À chaque heure pile (temps réel), un des trois jeux suivants peut démarrer : “Mascotte en détresse”, “Haute voltige” ou “As de l'air (îles Cieldalaes)”."
37,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_0_SYSYEM_2,"À 00 minutes (temps réel), il s'agit de : “La coupe est pleine”, “Un sacré courant d'air” ou “As de l'air (Gold Saucer)”."
38,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_0_SYSYEM_3,"Enfin, à 00 minutes (temps réel), un jeu parmi les trois suivants démarre : “Haute voltige”, “La coupe est pleine” ou “As de l'air (îles Cieldalaes)”."
39,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_1_1,"Cette attrrraction se déroule sur Coloso et au Mont Corel. Un petit poussin chocobo a la fâcheuse manie de vouloir se dégourdir les pattes un peu trop souvent, ce qui l'amène ré­gu­liè­re­ment à des hauteurs d'où il ne peut plus descendre..."
40,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_1_2,"Si jamais vous tombez sur une personne à l'air désespéré au square du rond-point ou au square des merveilles, écoutez donc ce qu'elle a à vous dire. Il est fort prrrobable qu'un poussin chocobo soit à l'origine de son tourment."
41,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_2_1,"La célèbre société de livraison Raptor Express doit nous livrrrer des vases d'une qualité ex­cep­tion­nelle, mais depuis qu'une bande de voleurs les a pris pour cible, ils se font sans arrêt dérober leurs cargaisons."
42,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_2_2,Ils ont récemment passé une annonce en vue de recruter des livreurs capables d'acheminer la marchandise sans se faire repérer par les brrrigands. Peut-être pourriez-vous leur proposer vos services ?
43,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_3_1,"C'est terrible, c'est affreux, c'est abominable ! Un imp plein de malice et de fourrrberie s'est faufilé on ne sait trop comment dans l'enceinte de l'éta­blis­se­ment ! Évidemment, nous avons fait appel à des chasseurs de monstres, vous pensez bien..."
44,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_3_2,Mais le maudit imp a eu l'odieuse idée de prendre l'apparence de l'un d'entre eux ! Collaborez avec ces chasseurs pour essayer de retrrrouver cette satanée créature en interrogeant tous ceux qui vous semblent louches !
45,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_4_1,"Savez-vous danser, aventurière ? Le Gold Saucer recherche justement des jeunes gens désireux de faire leurs prrremiers pas de danse pro­fes­sion­nelle dans la haute société uldienne."
46,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_4_2,Qui n'aurait pas envie de devenir la nouvelle étoile des soirées huppées ? Les danseurs ex­pé­ri­men­tés de passage au square des spectacles seront ravis de vous apprendre les rudiments de votrrre nouvelle discipline !
47,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_5_1,"Le Gold Saucer emploie chaque jour de très nombreuses personnes, parmi lesquelles une crrréature issue d'expériences conduites par la guilde des occultistes. Nous l'appelons maître Typhon."
48,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_5_2,"Sa respiration provoque des rafales d'air d'une puissance tellement effroyable que tout le bâtiment en trrremble. Si vous pensez être capable de vous faufiler entre elles, faites-en part à l'occultiste du square des spectacles !"
49,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_7_1,Ce jeu est un parcours athlétique qui vous demandera de millimétrer vos bonds et de rrréaliser toutes sortes de cabrioles pour atteindre l'arrivée située en hauteur et rafler des PGS.
50,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_7_2,"Mais je ne vous en dis pas plus, je vous laisse la surrrprise ! Rendez-vous au square du rond-point et parlez au pampa guia lorsque l'événement est en cours, si vous êtes prête à relever le défi."
51,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_8_1,"Vous sentez-vous l'âme d'un pilote intrépide ? Dans ce jeu, vous devez embarquer à bord d'une rrrutilante force aérienne et faire un carton sur les cibles pampa pour établir le meilleur score et remporter un joli pactole de PGS."
52,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_8_2,Allez donc essayer ! Il vous suffit de vous rrrendre au square du rond-point et de parler au pampa guia lorsque l'événement est en cours.
53,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_9_1,"Maître Yojimbo nous fait l'honneur de sa prrrésence au Gold Saucer pour défier nos clients bien-aimés ! Parviendrez-vous à éviter toutes ses attaques éclair ? Si vous voulez gagner une montagne de PGS, vous serez bien obligée !"
54,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_9_2,"Si cela vous intéresse, adressez-vous à son petit frère qui se trouve prrrès de la scène principale du square des spectacles."
55,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_LOVM,"Je suis sûr que vous aussi, vous affectionnez les mascottes et les col­lec­tion­nez avidement. Dans ce cas, réjouissez-vous, car vous allez pouvoir les faire s'affronter à celles d'autrrres personnes lors de batailles *titanesques* qui se déroulent au square des mascottes."
56,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_LOVM_001,"Pour remporter la victoire, vous allez devoir connaître les forces et les faiblesses de vos mignons petits compagnons sur le bout des doigts et faire preuve d'un sens de la strrratégie digne d'un officier supérieur de grande compagnie !"
57,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_1_3,（★未使用／削除予定★）
58,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_2_3,（★未使用／削除予定★）
59,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_3_3,（★未使用／削除予定★）
60,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_4_3,（★未使用／削除予定★）
61,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_GATE_5_3,（★未使用／削除予定★）
62,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_A1_9,（★未使用／削除予定★）
63,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_FGS_000_000,（★未使用／削除予定★）
64,TEXT_CMNGSCESTABLISHMENTGUIDANCE_00241_FGS_000_001,（★未使用／削除予定★）
