#,Name,Icon,AltIcon,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown10,Category,Unknown12,Unknown13,Unknown14,Unknown15
0,,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,0,-1,False,False,False
1,円形白無地フィールド,81000,0,0,1,2,3,0,0,999,256,256,255,255,255,255,255,1,-1,False,True,True
2,円形白タイルフィールド,81000,0,0,1,2,3,0,0,999,256,256,255,255,255,255,255,1,-1,False,True,True
3,円形グレー無地フィールド,81000,0,0,1,2,3,0,0,999,256,256,255,255,255,255,255,1,-1,False,True,True
4,Checkered Circle,240001,0,0,1,2,3,0,0,1,256,256,255,255,255,255,255,1,-1,True,False,False
5,四角形白無地フィールド,81000,0,0,1,2,3,0,0,999,256,256,255,255,255,255,255,1,-1,False,True,True
6,四角形白タイルフィールド,81000,0,0,1,2,3,0,0,999,256,256,255,255,255,255,255,1,-1,False,True,True
7,四角形グレー無地フィールド,81000,0,0,1,2,3,0,0,999,256,256,255,255,255,255,255,1,-1,False,True,True
8,Checkered Square,240002,0,0,1,2,3,0,0,2,256,256,255,255,255,255,255,1,-1,True,False,False
9,Circle AoE,240212,0,0,12,2,3,0,0,101,512,512,255,255,255,255,255,6,-1,True,False,False
10,Fan AoE,240212,0,0,12,2,3,6,0,102,512,512,255,255,255,255,255,6,-1,True,True,True
11,Line AoE,240303,0,0,4,5,2,3,0,103,128,128,255,255,255,255,255,6,10,True,False,False
12,Line,240305,0,0,2,3,11,0,0,999,256,6,255,255,6,255,255,4,10,True,False,False
13,Gaze,240201,0,0,1,2,3,0,0,105,128,128,255,255,255,255,255,6,-1,True,False,False
14,Stack,240202,0,0,1,2,3,0,0,106,128,128,255,255,255,255,255,6,-1,True,False,False
15,Line Stack,240204,0,0,1,2,3,8,0,107,128,128,255,255,255,255,255,6,-1,True,False,True
16,Proximity,240205,0,0,1,2,3,0,0,108,256,256,255,255,255,255,255,6,-1,True,False,False
17,Donut,240218,0,0,12,2,3,6,7,109,512,512,255,255,30,360,255,6,-1,True,True,True
18,Gladiator,230904,0,1,1,2,3,0,0,200,32,32,255,255,255,255,255,2,-1,True,False,False
19,Pugilist,230905,0,2,1,2,3,0,0,203,32,32,255,255,255,255,255,2,-1,True,False,False
20,Marauder,230906,0,3,1,2,3,0,0,201,32,32,255,255,255,255,255,2,-1,True,False,False
21,Lancer,230907,0,4,1,2,3,0,0,204,32,32,255,255,255,255,255,2,-1,True,False,False
22,Archer,230908,0,5,1,2,3,0,0,206,32,32,255,255,255,255,255,2,-1,True,False,False
23,Conjurer,230909,0,6,1,2,3,0,0,202,32,32,255,255,255,255,255,2,-1,True,False,False
24,Thaumaturge,230910,0,7,1,2,3,0,0,207,32,32,255,255,255,255,255,2,-1,True,False,False
25,Arcanist,230929,0,26,1,2,3,0,0,208,32,32,255,255,255,255,255,2,-1,True,False,False
26,Rogue,230932,0,29,1,2,3,0,0,205,32,32,255,255,255,255,255,2,-1,True,False,False
27,Paladin,230922,0,19,1,2,3,0,0,20,32,32,255,255,255,255,255,2,-1,True,False,False
28,Monk,230923,0,20,1,2,3,0,0,40,32,32,255,255,255,255,255,2,-1,True,False,False
29,Warrior,230924,0,21,1,2,3,0,0,21,32,32,255,255,255,255,255,2,-1,True,False,False
30,Dragoon,230925,0,22,1,2,3,0,0,41,32,32,255,255,255,255,255,2,-1,True,False,False
31,Bard,230926,0,23,1,2,3,0,0,50,32,32,255,255,255,255,255,2,-1,True,False,False
32,White Mage,230927,0,24,1,2,3,0,0,30,32,32,255,255,255,255,255,2,-1,True,False,False
33,Black Mage,230928,0,25,1,2,3,0,0,60,32,32,255,255,255,255,255,2,-1,True,False,False
34,Summoner,230930,0,27,1,2,3,0,0,61,32,32,255,255,255,255,255,2,-1,True,False,False
35,Scholar,230931,0,28,1,2,3,0,0,31,32,32,255,255,255,255,255,2,-1,True,False,False
36,Ninja,230933,0,30,1,2,3,0,0,42,32,32,255,255,255,255,255,2,-1,True,False,False
37,Machinist,230934,0,31,1,2,3,0,0,51,32,32,255,255,255,255,255,2,-1,True,False,False
38,Dark Knight,230935,0,32,1,2,3,0,0,22,32,32,255,255,255,255,255,2,-1,True,False,False
39,Astrologian,230936,0,33,1,2,3,0,0,32,32,32,255,255,255,255,255,2,-1,True,False,False
40,Samurai,230937,0,34,1,2,3,0,0,43,32,32,255,255,255,255,255,2,-1,True,False,False
41,Red Mage,230938,0,35,1,2,3,0,0,62,32,32,255,255,255,255,255,2,-1,True,False,False
42,Blue Mage,230939,0,36,1,2,3,0,0,70,32,32,255,255,255,255,255,2,-1,True,False,False
43,Gunbreaker,230940,0,37,1,2,3,0,0,23,32,32,255,255,255,255,255,2,-1,True,False,False
44,Dancer,230941,0,38,1,2,3,0,0,52,32,32,255,255,255,255,255,2,-1,True,False,False
45,Reaper,230942,0,39,1,2,3,0,0,44,32,32,255,255,255,255,255,2,-1,True,False,False
46,Sage,230943,0,40,1,2,3,0,0,33,32,32,255,255,255,255,255,2,-1,True,False,False
47,Tank,230901,0,0,1,2,3,0,0,1,32,32,255,255,255,255,255,2,-1,True,False,False
48,Tank 1,230946,0,0,1,2,3,0,0,2,32,32,255,255,255,255,255,2,-1,True,False,False
49,Tank 2,230947,0,0,1,2,3,0,0,3,32,32,255,255,255,255,255,2,-1,True,False,False
50,Healer,230902,0,0,1,2,3,0,0,4,32,32,255,255,255,255,255,2,-1,True,False,False
51,Healer 1,230948,0,0,1,2,3,0,0,5,32,32,255,255,255,255,255,2,-1,True,False,False
52,Healer 2,230949,0,0,1,2,3,0,0,6,32,32,255,255,255,255,255,2,-1,True,False,False
53,DPS,230903,0,0,1,2,3,0,0,9,32,32,255,255,255,255,255,2,-1,True,False,False
54,DPS 1,230950,230955,0,1,2,3,0,0,10,32,32,255,255,255,255,255,2,-1,True,False,False
55,DPS 2,230951,230956,0,1,2,3,0,0,11,32,32,255,255,255,255,255,2,-1,True,False,False
56,DPS 3,230952,230958,0,1,2,3,0,0,12,32,32,255,255,255,255,255,2,-1,True,False,False
57,DPS 4,230953,230959,0,1,2,3,0,0,13,32,32,255,255,255,255,255,2,-1,True,False,False
58,DPS5,230900,0,0,1,2,3,0,0,999,32,32,255,255,255,255,255,2,-1,False,False,False
59,DPS6,230900,0,0,1,2,3,0,0,999,32,32,255,255,255,255,255,2,-1,False,False,False
60,Small Enemy,240101,0,0,1,2,3,0,0,1,64,64,255,255,255,255,255,3,-1,True,False,True
61,エネミー小2,61707,0,0,1,2,3,0,0,999,64,64,255,255,255,255,255,3,-1,False,True,True
62,Medium Enemy,240102,0,0,1,2,3,0,0,3,64,64,255,255,255,255,255,3,-1,True,False,True
63,エネミー中2,61712,0,0,1,2,3,0,0,999,64,64,255,255,255,255,255,3,-1,False,True,True
64,Large Enemy,240103,0,0,1,2,3,0,0,5,64,64,255,255,255,255,255,3,-1,True,False,True
65,Target to Attack 1,61301,0,0,1,2,3,0,0,10,32,32,255,255,255,255,255,3,-1,True,False,False
66,Target to Attack 2,61302,0,0,1,2,3,0,0,11,32,32,255,255,255,255,255,3,-1,True,False,False
67,Target to Attack 3,61303,0,0,1,2,3,0,0,12,32,32,255,255,255,255,255,3,-1,True,False,False
68,Target to Attack 4,61304,0,0,1,2,3,0,0,13,32,32,255,255,255,255,255,3,-1,True,False,False
69,Target to Attack 5,61305,0,0,1,2,3,0,0,14,32,32,255,255,255,255,255,3,-1,True,False,False
70,Target to Bind 1,61311,0,0,1,2,3,0,0,18,32,32,255,255,255,255,255,3,-1,True,False,False
71,Target to Bind 2,61312,0,0,1,2,3,0,0,19,32,32,255,255,255,255,255,3,-1,True,False,False
72,Target to Bind 3,61313,0,0,1,2,3,0,0,20,32,32,255,255,255,255,255,3,-1,True,False,False
73,Target to Ignore 1,61321,0,0,1,2,3,0,0,21,32,32,255,255,255,255,255,3,-1,True,False,False
74,Target to Ignore 2,61322,0,0,1,2,3,0,0,22,32,32,255,255,255,255,255,3,-1,True,False,False
75,Square,61331,0,0,1,2,3,0,0,23,32,32,255,255,255,255,255,3,-1,True,False,False
76,Circle,61332,0,0,1,2,3,0,0,24,32,32,255,255,255,255,255,3,-1,True,False,False
77,Plus,61333,0,0,1,2,3,0,0,25,32,32,255,255,255,255,255,3,-1,True,False,False
78,Triangle,61334,0,0,1,2,3,0,0,26,32,32,255,255,255,255,255,3,-1,True,False,False
79,Waymark A,61341,0,0,1,2,3,0,0,27,48,48,255,255,255,255,255,3,-1,True,False,False
80,Waymark B,61342,0,0,1,2,3,0,0,28,48,48,255,255,255,255,255,3,-1,True,False,False
81,Waymark C,61343,0,0,1,2,3,0,0,29,48,48,255,255,255,255,255,3,-1,True,False,False
82,Waymark D,61347,0,0,1,2,3,0,0,30,48,48,255,255,255,255,255,3,-1,True,False,False
83,Waymark 1,61344,0,0,1,2,3,0,0,31,48,48,255,255,255,255,255,3,-1,True,False,False
84,Waymark 2,61345,0,0,1,2,3,0,0,32,48,48,255,255,255,255,255,3,-1,True,False,False
85,Waymark 3,61346,0,0,1,2,3,0,0,33,48,48,255,255,255,255,255,3,-1,True,False,False
86,Waymark 4,61348,0,0,1,2,3,0,0,34,48,48,255,255,255,255,255,3,-1,True,False,False
87,Circle,240026,0,0,1,2,3,0,0,2,48,48,255,255,255,255,255,4,-1,True,False,False
88,X,240027,0,0,1,2,3,0,0,3,48,48,255,255,255,255,255,4,-1,True,False,False
89,Triangle,240028,0,0,1,2,3,0,0,4,48,48,255,255,255,255,255,4,-1,True,False,True
90,Square,240029,0,0,1,2,3,0,0,5,48,48,255,255,255,255,255,4,-1,True,False,False
91,未使用,61334,0,0,1,2,3,0,0,6,128,128,255,255,255,255,255,4,-1,False,True,True
92,未使用,61332,0,0,1,2,3,0,0,7,128,128,255,255,255,255,255,4,-1,False,True,True
93,未使用,61331,0,0,1,2,3,0,0,8,128,128,255,255,255,255,255,4,-1,False,True,True
94,Up Arrow,240030,0,0,1,2,3,0,0,9,48,48,255,255,255,255,255,4,-1,True,False,True
95,未使用,230307,0,0,1,2,3,0,0,999,128,128,255,255,255,255,255,4,-1,False,True,True
96,未使用,230307,0,0,1,2,3,0,0,999,128,128,255,255,255,255,255,4,-1,False,True,True
97,未使用,230307,0,0,1,2,3,0,0,999,128,128,255,255,255,255,255,4,-1,False,True,True
98,未使用,230206,0,0,1,2,3,0,0,15,128,128,255,255,255,255,255,4,-1,False,True,True
99,未使用,230207,0,0,1,2,3,0,0,16,128,128,255,255,255,255,255,4,-1,False,True,True
100,Text,240301,0,0,0,0,0,0,0,1,0,0,255,255,255,255,255,4,0,True,False,False
101,Viper,230944,0,41,1,2,3,0,0,45,32,32,255,255,255,255,255,2,-1,True,False,False
102,Pictomancer,230945,0,42,1,2,3,0,0,63,32,32,255,255,255,255,255,2,-1,True,False,False
103,Rotate,240031,0,0,1,2,3,0,0,13,48,48,255,255,255,255,255,4,-1,True,True,True
104,図形：矢印右回り,230307,0,0,1,2,3,0,0,999,128,128,255,255,255,255,255,4,-1,False,True,True
105,Group,240106,0,0,1,2,3,0,0,0,32,32,255,255,255,255,255,5,-1,True,False,False
106,Stack (Multi-hit),240203,0,0,1,2,3,0,0,110,128,128,255,255,255,255,255,6,-1,True,False,False
107,Proximity (Player-targeted),240206,0,0,1,2,3,0,0,111,128,128,255,255,255,255,255,6,-1,True,False,True
108,Tankbuster (Single Target),240207,0,0,1,2,3,0,0,112,64,64,255,255,255,255,255,6,-1,True,False,False
109,Radial Knockback,240208,0,0,1,2,3,0,0,113,256,256,255,255,255,255,255,6,-1,True,False,False
