key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#,,MinLevel,BeastRankBonus,Icon{Reputation},Icon,MaxRank,Expansion,,CurrencyItem,DisplayOrder,Name,Adjective,Plural,PossessivePronoun,StartsWithVowel,Pronoun,Article,DEF,Name{Relation},
int32,bit&01,byte,BeastRankBonus,Image,Image,byte,ExVersion,uint32,Item,uint32,byte,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str
0,False,0,0,0,0,0,0,0,0,0,0,"",0,"",0,0,0,0,0,""
1,True,0,0,61901,65016,4,0,0,4496854,21076,1,"Amalj'aa",0,"",0,0,0,0,0,"Amalj'aa Relations"
2,True,0,0,61902,65017,4,0,0,4494851,21075,2,"sylphs",0,"",0,0,0,0,0,"Sylphic Relations"
3,True,0,0,61904,65019,4,0,0,4618734,21078,3,"kobolds",0,"",0,0,0,0,0,"Kobold Relations"
4,True,0,0,61905,65020,4,0,0,4618738,21077,4,"Sahagin",0,"",0,0,0,0,0,"Sahagin Relations"
5,False,50,0,61903,65018,7,0,0,4889077,21073,5,"Ixal",0,"",0,0,0,0,0,"Ixali Relations"
6,False,0,1,61906,65036,8,1,67921,6085422,21074,1,"Vanu Vanu",0,"",0,0,0,0,0,"Vanu Relations"
7,False,0,1,61907,65037,8,1,67921,6209461,21079,2,"Vath",0,"",0,0,0,0,0,"Vath Relations"
8,False,60,2,61908,65039,8,1,67921,6254017,21080,3,"moogles",0,"",0,0,0,0,0,"Moogle Relations"
9,False,0,3,61910,65048,8,2,68700,7091589,21081,1,"Kojin",0,"",0,0,0,0,0,"Kojin Relations"
10,False,0,3,61909,65047,8,2,68700,7186922,21935,2,"Ananta",0,"",0,0,0,0,0,"Ananta Relations"
11,False,70,4,61911,65063,8,2,68700,7380346,22525,3,"Namazu",0,"",0,0,0,0,0,"Namazu Relations"
12,False,0,5,61912,65072,8,3,0,8141642,28186,1,"pixies",0,"",0,0,0,0,0,"Pixie Relations"
13,False,80,6,61913,65076,8,3,0,8261555,28187,2,"Qitari",0,"",0,0,0,0,0,"Qitari Relations"
14,False,80,7,61914,65079,8,3,0,8368176,28188,3,"dwarves",0,"",0,0,0,0,0,"Dwarf Relations"
15,False,0,8,61915,65092,8,4,70324,9160152,36657,1,"Arkasodara",0,"",0,0,0,0,0,"Arkasodara Relations"
16,False,90,9,61916,65093,8,4,70324,9308276,37854,2,"Omicrons",0,"",0,0,0,0,0,"Omicron Relations"
17,False,90,10,61917,65101,8,4,70324,9527714,38952,3,"Loporrits",0,"",0,0,0,0,0,"Loporrit Relations"
18,False,0,11,61918,65113,8,5,0,10958050,44472,3,"Pelupelu",0,"",0,0,0,0,0,"Pelupelu Relations"
19,False,100,12,61919,65115,8,5,0,11400860,48084,2,"Mamool Ja",0,"",0,0,0,0,0,"Mamool Ja Relations"
20,False,100,13,61990,65131,8,5,0,11859412,46178,1,"Yok Huy",0,"",0,0,0,0,0,"Yok Huy Relations"
