#,Name,Icon,JournalCategory,Unknown0
0,,0,0,False
1,Seventh Umbral Era,61412,1,True
2,Seventh Astral Era,61412,2,True
3,Heavensward,61412,3,True
4,Dragonsong War,61412,4,True
5,Post-Dragonsong War,61412,5,True
6,Stormblood,61412,6,True
7,Post-Ala Mhigan Liberation,61412,7,True
8,Shadowbringers,61412,8,True
9,The Voyage Home,61412,9,True
10,Dark Reprise,61412,10,True
11,Endwalker,61412,11,True
12,Newfound Adventure,61412,12,True
13,Dawntrail,61412,13,True
14,The New Dawn,61412,14,True
15,Winter's Prelude,61412,15,True
16,Primal Quests,61411,16,True
17,Bahamut Quests,61411,17,True
18,Crystal Tower Quests,61411,18,True
19,Alexander Quests,61411,19,True
20,Heavensward Primal Quests,61411,20,True
21,Shadow of Mhach Quests,61411,21,True
22,Omega Quests,61411,22,True
23,Omega: Beyond the Rift,61411,22,True
24,Return to Ivalice,61411,23,True
25,The Four Lords,61411,24,True
26,Eden,61411,25,True
27,YoRHa: Dark Apocalypse,61411,26,True
28,Garlemald's Machinations,61411,27,True
29,Pandæmonium,61411,28,True
30,Pandæmonium: Epilogue,61411,28,True
31,Myths of the Realm,61411,29,True
32,The Arcadion,61411,30,True
33,Echoes of Vana'diel,61411,31,True
34,Main Quests,61411,32,True
35,Daily Quests,61411,32,True
36,Main Quests,61411,33,True
37,Daily Quests,61411,33,True
38,Main Quests,61411,34,True
39,Daily Quests,61411,34,True
40,Main Quests,61411,36,True
41,Daily Quests,61411,36,True
42,Main Quests,61411,37,True
43,Daily Quests,61411,37,True
44,Main Quests,61411,38,True
45,Daily Quests,61411,38,True
46,Main Quests,61411,39,True
47,Daily Quests,61411,39,True
48,Main Quests,61411,40,True
49,Daily Quests,61411,40,True
50,Main Quests,61411,41,True
51,Daily Quests,61411,41,True
52,Main Quests,61411,42,True
53,Daily Quests,61411,42,True
54,Main Quests,61411,43,True
55,Daily Quests,61411,43,True
56,Main Quests,61411,44,True
57,Daily Quests,61411,44,True
58,Main Quests,61411,45,True
59,Daily Quests,61411,45,True
60,Main Quests,61411,46,True
61,Daily Quests,61411,46,True
62,Main Quests,61411,47,True
63,Daily Quests,61411,47,True
64,Main Quests,61411,48,True
65,Daily Quests,61411,48,True
66,Main Quests,61411,49,True
67,Daily Quests,61411,49,True
68,Main Quests,61411,50,True
69,Daily Quests,61411,50,True
70,Main Quests,61411,51,True
71,Daily Quests,61411,51,True
