#,EventHighAddition,Data,SgbPath,PopType,Invisibility,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,EyeCollision,DirectorControl,Target,Unknown9,AddedIn53,Unknown10
2000000,0,0,0,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000001,0,0,1624,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000002,0,65538,1860,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000003,0,0,1624,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000004,0,0,1624,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000005,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2000006,0,0,1624,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000007,0,0,1624,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000008,0,65633,1625,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000009,0,65635,1625,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000010,0,69391,1843,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000011,0,0,1843,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000012,0,0,1843,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000013,0,0,1843,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000014,0,0,1843,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000015,0,0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2000016,0,65663,1625,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000017,0,65663,1625,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000018,0,65663,1625,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000019,0,0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2000020,0,65578,1856,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000021,0,65578,1858,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000022,0,65578,1856,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000023,0,65578,1858,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000024,0,65578,1856,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000025,0,65578,1858,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000026,0,65577,1844,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000027,0,65577,1844,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000028,0,65577,1844,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000029,0,65577,1844,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000030,0,65577,1844,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000031,0,65577,1844,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000032,0,720898,1624,3,0,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000033,0,0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2000034,0,0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2000035,0,0,11129,2,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2000036,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2000037,0,0,1767,1,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2000038,0,0,0,3,7,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2000039,0,983198,3203,1,0,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000040,0,0,1767,1,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2000041,0,0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2000042,0,0,3308,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000043,0,65696,1625,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000044,0,65696,1625,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000045,0,65696,1625,3,7,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000046,0,853583,1629,3,0,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000047,0,0,16745,2,7,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2000048,0,983702,0,1,0,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
2000049,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2000050,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2000051,0,0,17897,2,7,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False
