#,StageFull,Stage,IndexText2,IndexText,IndexNpc,Unknown3,Unknown4,Unknown12,Unknown13,Unknown5,Unknown14,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24
0,,,,,,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,"Preparation for Base Camp Alpha Expansion
**Complete stellar missions.**",Preparation for Base Camp Alpha Expansion,We are presently gathering materials to expand the Moongate Hub. Complete stellar missions to assist in our efforts!,The time is come! We are presently gathering materials to expand the Moongate Hub!,Searchingway,241001,0,0,0,158,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,False
2,"Groundwork for Base Camp Alpha Expansion
**Prepare for upcoming projects.**",Groundwork for Base Camp Alpha Expansion,Projects are currently being scheduled for the Moongate Hub's expansion. Stand by for upcoming opportunities!,Projects are currently being scheduled for the Moongate Hub's expansion. We hope you will join our efforts!,Searchingway,241001,0,0,1451,158,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,False
3,"Base Camp Alpha Expansion Underway
**Participate in ongoing projects.**",Base Camp Alpha Expansion Underway,We have commenced expansion of the Moongate Hub. Hop over and help us out!,The expansion of the Moongate Hub is now underway! Come and lend a paw!,Searchingway,241001,0,0,0,158,0,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,False
4,"Base Camp Beta Complete
**Explore at your leisure until the next project.**",Base Camp Beta Complete,"Thanks to the efforts of all, the Moongate Hub now boasts a few helpful upgrades. Feel free to explore while we prepare for future projects!",The Moongate Hub now boasts a few helpful upgrades. We thank you all for your cooperation!,Searchingway,241002,18,0,1406,158,0,1,4,6,0,2,3,0,0,0,0,0,0,0,0,0,False
5,"Preparation for Cosmoliner Alpha Construction
**Complete stellar missions.**",Preparation for Cosmoliner Alpha Construction,We are presently gathering materials for a Cosmoliner circuit. Complete stellar missions to assist in our efforts!,"Why travel on foot when we can build a Cosmoliner circuit here at the hub? To that end, we are presently gathering materials!",Searchingway,241003,0,0,0,158,0,1,5,0,0,2,3,0,0,0,0,0,0,0,0,0,False
6,"Groundwork for Cosmoliner Alpha Construction
**Prepare for upcoming projects.**",Groundwork for Cosmoliner Alpha Construction,Projects are currently being scheduled for the Cosmoliner's construction. Stand by for upcoming opportunities!,Projects are currently being scheduled for the Cosmoliner's construction. We hope you will join our efforts!,Searchingway,241003,0,0,1451,158,0,1,6,0,0,2,3,0,0,0,0,0,0,0,0,0,False
7,"Cosmoliner Alpha Construction Underway
**Participate in ongoing projects.**",Cosmoliner Alpha Construction Underway,We have commenced construction of the Cosmoliner. Hop over and help us out!,The construction of the Cosmoliner is now underway! Come and lend a paw!,Searchingway,241003,0,0,0,158,0,1,7,0,0,2,3,0,0,0,0,0,0,0,0,0,False
8,"Cosmoliner Central Radius Complete
**Explore at your leisure until the next project.**",Cosmoliner Central Radius Complete,"Thanks to the efforts of all, the Cosmoliner has been constructed. Feel free to explore while we prepare for future projects!","Now that the Cosmoliner is complete, sore feet will soon be a thing of the past. We thank you all for your cooperation!",Searchingway,241004,18,1,1405,158,0,2,8,6,0,2,3,0,0,0,0,0,0,0,0,0,False
9,"Preparation for Habitation Module & Cosmoport Construction
**Complete stellar missions.**",Preparation for Habitation Module & Cosmoport Construction,We are presently gathering materials for a habitation module and a cosmoport. Complete stellar missions to assist in our efforts!,"A proper hub needs a habitation module and a cosmoport for starships. To that end, we are presently gathering materials!",Searchingway,241005,0,0,0,158,0,2,9,0,0,2,3,0,0,0,0,0,0,0,0,0,False
