key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,str,str,str,str,str,byte,bit&01,uint16,byte,uint16,uint32,int32,uint32,uint32,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte
0,"","","","","",0,False,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Preparation for Base Camp Alpha Expansion
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Complete stellar missions.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Preparation for Base Camp Alpha Expansion","We are presently gathering materials to expand the Moongate Hub. Complete stellar missions to assist in our efforts!","The time is come! We are presently gathering materials to expand the Moongate Hub!","Searchingway",0,False,158,1,0,241001,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
2,"Groundwork for Base Camp Alpha Expansion
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Prepare for upcoming projects.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Groundwork for Base Camp Alpha Expansion","Projects are currently being scheduled for the Moongate Hub's expansion. Stand by for upcoming opportunities!","Projects are currently being scheduled for the Moongate Hub's expansion. We hope you will join our efforts!","Searchingway",0,False,158,2,0,241001,1451,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
3,"Base Camp Alpha Expansion Underway
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Participate in ongoing projects.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Base Camp Alpha Expansion Underway","We have commenced expansion of the Moongate Hub. Hop over and help us out!","The expansion of the Moongate Hub is now underway! Come and lend a paw!","Searchingway",0,False,158,3,0,241001,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
4,"Base Camp Beta Complete
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Explore at your leisure until the next project.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Base Camp Beta Complete","Thanks to the efforts of all, the Moongate Hub now boasts a few helpful upgrades. Feel free to explore while we prepare for future projects!","The Moongate Hub now boasts a few helpful upgrades. We thank you all for your cooperation!","Searchingway",1,False,158,4,0,241002,1406,18,0,6,0,2,3,0,0,0,0,0,0,0,0,0
5,"Preparation for Cosmoliner Alpha Construction
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Complete stellar missions.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Preparation for Cosmoliner Alpha Construction","We are presently gathering materials for a Cosmoliner circuit. Complete stellar missions to assist in our efforts!","Why travel on foot when we can build a Cosmoliner circuit here at the hub? To that end, we are presently gathering materials!","Searchingway",1,False,158,5,0,241003,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
6,"Groundwork for Cosmoliner Alpha Construction
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Prepare for upcoming projects.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Groundwork for Cosmoliner Alpha Construction","Projects are currently being scheduled for the Cosmoliner's construction. Stand by for upcoming opportunities!","Projects are currently being scheduled for the Cosmoliner's construction. We hope you will join our efforts!","Searchingway",1,False,158,6,0,241003,1451,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
7,"Cosmoliner Alpha Construction Underway
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Participate in ongoing projects.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Cosmoliner Alpha Construction Underway","We have commenced construction of the Cosmoliner. Hop over and help us out!","The construction of the Cosmoliner is now underway! Come and lend a paw!","Searchingway",1,False,158,7,0,241003,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
