#,JapaneseSingularDemonstrative,JapanesePluralDemonstrative,EnglishArticleSingularConsonant,EnglishArticleGenericConsonant,EnglishArticlePluralConsonant,EnglishArticleSingularVowel,EnglishArticleGenericVowel,EnglishArticlePluralVowel,GermanNominativeMasculine,GermanNominativeFeminine,GermanNominativeNeutral,GermanNominativePlural,GermanGenitiveMasculine,GermanGenitiveFeminine,GermanGenitiveNeutral,GermanGenitivePlural,GermanDativeMasculine,GermanDativeFeminine,GermanDativeNeutral,GermanDativePlural,GermanAccusativeMasculine,GermanAccusativeFeminine,GermanAccusativeNeutral,GermanAccusativePlural,FrenchArticleSingular,FrenchArticleSingularMasculine,FrenchArticlePluralMasculine,FrenchArticleSingularMasculineElided,FrenchArticlePluralMasculineElided,FrenchArticleSingularElided,FrenchArticlePluralElided,FrenchArticleSingularMasculineContracted,FrenchArticlePluralMasculineContracted,FrenchArticleSingularFeminine,FrenchArticlePluralFeminine,FrenchArticleSingularFeminineElided,FrenchArticlePluralFeminineElided,FrenchArticleSingularElidedAlt,FrenchArticlePluralElidedAlt,FrenchArticleSingularNeutral,FrenchArticlePluralNeutral
1,その,それらの,a ,,,an ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,あれらの,the ,the ,,the ,the ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,これらの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
