#,Name,Shop[0],Shop[1],Shop[2],Shop[3],Shop[4],Shop[5],Shop[6],Shop[7],Shop[8],Shop[9],Unknown0,Unknown1,Unknown2
3276800,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276801,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276802,Purchase Gordian Items (IL 190),1769579,1769605,1769580,0,0,0,0,0,0,0,0,0,False
3276803,Purchase Midan Items (IL 220),1769643,1769644,1769645,0,0,0,0,0,0,0,0,0,False
3276804,Aloalo Island Artifact Exchange,1770725,1770726,1770727,0,0,0,0,0,0,0,0,0,False
3276805,,1769676,1769677,1769678,1769679,593394,0,0,0,0,0,0,0,False
3276806,Purchase Alexandrian Items (IL 250),1769689,1769690,1769691,0,0,0,0,0,0,0,0,0,False
3276807,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276808,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276809,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276810,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276811,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276812,Improve Shire Gear (IL 260 → 270),1769734,1769735,1769736,0,0,0,0,0,0,0,0,0,True
3276813,,1769676,1769677,1769738,1769678,1769679,1769739,1769749,1769750,593394,0,0,0,False
3276814,,1769676,1769677,1769678,1769679,593394,0,0,0,0,0,0,0,False
3276815,Purchase Garo Gear (DoW I),262677,262678,262679,263137,262680,263135,262681,263139,0,0,0,0,False
3276816,Purchase Garo Gear (DoM),262685,262686,263136,262687,262688,262689,263140,0,0,0,0,0,False
3276817,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276818,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276819,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276820,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276821,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276822,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276823,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276824,,0,0,0,0,0,0,0,0,0,0,0,0,False
3276825,Purchase Disciple of War Gear,262700,262701,262702,262703,262704,0,0,0,0,0,0,0,False
3276826,Purchase Disciple of Magic Gear,262705,262706,262707,262708,262709,0,0,0,0,0,0,0,False
3276827,Purchase Disciple of the Hand/Land Gear,262710,262711,262712,262713,262714,0,0,0,0,0,0,0,False
3276828,Purchase Disciple of War Arms,262715,262716,262717,262718,262719,0,0,0,0,0,0,0,False
3276829,Purchase Disciple of Magic Arms,262720,262721,262722,262723,262724,0,0,0,0,0,0,0,False
3276830,Purchase Disciple of the Hand Tools,262725,262726,262727,262728,262729,0,0,0,0,0,0,0,False
3276831,Purchase Disciple of the Land Tools,262730,262731,262732,262733,262734,0,0,0,0,0,0,0,False
3276832,Purchase Disciple of War Gear,262703,262704,262737,262738,262739,262740,262741,262820,0,0,0,0,False
3276833,Purchase Disciple of Magic Gear,262708,262709,262743,262744,262745,262746,262747,262827,0,0,0,0,False
3276834,Purchase Disciple of the Hand/Land Gear,262713,262714,262749,0,0,0,0,0,0,0,0,0,False
3276835,Purchase Disciple of War Arms,262718,262719,262750,262751,262752,262753,262754,262835,0,0,0,0,False
3276836,Purchase Disciple of Magic Arms,262723,262724,262756,262757,262758,262759,262760,262842,0,0,0,0,False
