key,0,1
#,,
int32,str,str
0,"TEXT_VOICEMAN_03000_000010_GILGAMESH","To my side, Enkidu! The battle is joined!"
1,"TEXT_VOICEMAN_03000_000020_GILGAMESH","Owww! It hurts! It hurts!Enkidu! Your master wants for succor!"
2,"TEXT_VOICEMAN_03000_000030_GILGAMESH","Fancy some feathers...bird brain?"
3,"TEXT_VOICEMAN_03000_000040_GILGAMESH","This should cut you down to size..."
4,"TEXT_VOICEMAN_03000_000050_GILGAMESH","Fight on, Enkidu, my ever faithful─hm!?"
5,"TEXT_VOICEMAN_03000_000060_GILGAMESH","Enkidu! Are the bonds of our friendship so fragile!?"
6,"TEXT_VOICEMAN_03000_000070_GILGAMESH","Not the <Emphasis>strongest</Emphasis> of swords, but it should suffice."
7,"TEXT_VOICEMAN_03000_000080_GILGAMESH","Gilgamesh is in the mood...for dancing!"
8,"TEXT_VOICEMAN_03000_000090_GILGAMESH","Divide and conquer, Gilgamesh style!"
9,"TEXT_VOICEMAN_03000_000100_GILGAMESH","...And now for something truly <Emphasis>shocking</Emphasis>!"
10,"TEXT_VOICEMAN_03000_000110_GILGAMESH","What's the matter, friend? All tied up?"
11,"TEXT_VOICEMAN_03000_000120_GILGAMESH","Uh-oh! Someone just woke the dragon..."
12,"TEXT_VOICEMAN_03000_000130_GILGAMESH","You have some skill, I'll give you that...
But Gilgamesh has only just begun to fight!"
13,"TEXT_VOICEMAN_03000_000140_GILGAMESH","Most impressive!
Very well─I, too, shall fight with all my strength!"
14,"TEXT_VOICEMAN_03000_000150_GILGAMESH","No! The mighty Gilgamesh will not be defeated!"
15,"TEXT_VOICEMAN_03000_100010_GILGAMESH","At long last, we meet again on the battlefield!
I daresay Enkidu shall come to enjoy our tussles as much as I."
16,"TEXT_VOICEMAN_03000_100020_GILGAMESH","<Emphasis>You</Emphasis>, however, might not find this one so enjoyable.
...Unless you enjoy getting pounded senseless. Hah!"
17,"TEXT_VOICEMAN_03000_200010_GILGAMESH","<Emphasis>Me</Emphasis>? Run away? Hah! I-I was but seeking out a
more suitable spot to celebrate my inevitable victory!"
18,"TEXT_VOICEMAN_03000_200020_GILGAMESH","But enough exposition! Now we fight like men!
And ladies! And ladies who dress like men!"
19,"TEXT_VOICEMAN_03000_200030_GILGAMESH","For Gilgamesh...it is transmogrifying time!"
20,"TEXT_VOICEMAN_03000_200040_GILGAMESH","The mightiest warrior ever to grace Eorzea stands before you─
by which I mean <Emphasis>I</Emphasis>, Gilgamesh! Prepare yourself!"
21,"TEXT_VOICEMAN_03000_300010_GILGAMESH","To think that my full complement of arms would avail me naught..."
22,"TEXT_VOICEMAN_03000_300020_GILGAMESH","No more high jinks from Gilgamesh. You have my word."
23,"TEXT_VOICEMAN_03000_300030_GILGAMESH","The Treaty-Blade, too, I shall return.
...Just as soon as I remember where I hid it."
24,"TEXT_VOICEMAN_03000_300040_GILGAMESH","Anyway, I yield to your unparalleled puissance!
Spare my insignificant life, I beg of you!"
25,"TEXT_VOICEMAN_03000_400010_GILGAMESH","...NOT! Ha, I lied...again! Like a rug! Oh, I kill me!"
26,"TEXT_VOICEMAN_03000_400020_GILGAMESH","You can take that fusty old blade for all I care! I thirst for <Emphasis>true</Emphasis>
power, and naught save the strongest of swords will suffice!"
27,"TEXT_VOICEMAN_03000_400030_GILGAMESH","Warrior of Light─you have proven a worthy opponent.
But I warn you─treasure every moment with your weapon."
28,"TEXT_VOICEMAN_03000_400040_GILGAMESH","For as sure as day follows night, the hour will come when
I claim it as mine own! Till we meet again!"
