key,0,1
#,,
int32,str,str
0,"TEXT_BANNAM602_03124_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊ルール： レベルアジャスト受注クラス・ジョブ制限<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
※本クエストは受注時のクラスでのみ進行します。

光風院セイゲツは、冒険者に披露してほしいことがあるようだ。"
1,"TEXT_BANNAM602_03124_SEQ_01",""
2,"TEXT_BANNAM602_03124_SEQ_02",""
3,"TEXT_BANNAM602_03124_SEQ_03",""
4,"TEXT_BANNAM602_03124_SEQ_04",""
5,"TEXT_BANNAM602_03124_SEQ_05",""
6,"TEXT_BANNAM602_03124_SEQ_06",""
7,"TEXT_BANNAM602_03124_SEQ_07",""
8,"TEXT_BANNAM602_03124_SEQ_08",""
9,"TEXT_BANNAM602_03124_SEQ_09",""
10,"TEXT_BANNAM602_03124_SEQ_10",""
11,"TEXT_BANNAM602_03124_SEQ_11",""
12,"TEXT_BANNAM602_03124_SEQ_12",""
13,"TEXT_BANNAM602_03124_SEQ_13",""
14,"TEXT_BANNAM602_03124_SEQ_14",""
15,"TEXT_BANNAM602_03124_SEQ_15",""
16,"TEXT_BANNAM602_03124_SEQ_16",""
17,"TEXT_BANNAM602_03124_SEQ_17",""
18,"TEXT_BANNAM602_03124_SEQ_18",""
19,"TEXT_BANNAM602_03124_SEQ_19",""
20,"TEXT_BANNAM602_03124_SEQ_20",""
21,"TEXT_BANNAM602_03124_SEQ_21",""
22,"TEXT_BANNAM602_03124_SEQ_22",""
23,"TEXT_BANNAM602_03124_SEQ_23",""
24,"TEXT_BANNAM602_03124_TODO_00","ドーロ・イローのギョビと話し、弓で的を撃つ"
25,"TEXT_BANNAM602_03124_TODO_01","ドーロ・イローのギョビと再度話す"
26,"TEXT_BANNAM602_03124_TODO_02","光風院セイゲツに報告"
27,"TEXT_BANNAM602_03124_TODO_03",""
28,"TEXT_BANNAM602_03124_TODO_04",""
29,"TEXT_BANNAM602_03124_TODO_05",""
30,"TEXT_BANNAM602_03124_TODO_06",""
31,"TEXT_BANNAM602_03124_TODO_07",""
32,"TEXT_BANNAM602_03124_TODO_08",""
33,"TEXT_BANNAM602_03124_TODO_09",""
34,"TEXT_BANNAM602_03124_TODO_10",""
