key,0,1
#,,
int32,str,str
0,"TEXT_BANNAM403_03111_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊ルール： レベルアジャスト受注クラス・ジョブ制限<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
※本クエストは受注時のクラスでのみ進行します。

ドーロ・イローの光風院セイゲツは、冒険者に意見を聞きたいことがあるようだ。"
1,"TEXT_BANNAM403_03111_SEQ_01","オンサル・ハカイルの接待ナマズオと話す"
2,"TEXT_BANNAM403_03111_SEQ_02","オンサル・ハカイルの接待ナマズオと話した
光風院セイゲツに依頼された品を納品"
3,"TEXT_BANNAM403_03111_SEQ_03",""
4,"TEXT_BANNAM403_03111_SEQ_04",""
5,"TEXT_BANNAM403_03111_SEQ_05",""
6,"TEXT_BANNAM403_03111_SEQ_06",""
7,"TEXT_BANNAM403_03111_SEQ_07",""
8,"TEXT_BANNAM403_03111_SEQ_08",""
9,"TEXT_BANNAM403_03111_SEQ_09",""
10,"TEXT_BANNAM403_03111_SEQ_10",""
11,"TEXT_BANNAM403_03111_SEQ_11",""
12,"TEXT_BANNAM403_03111_SEQ_12",""
13,"TEXT_BANNAM403_03111_SEQ_13",""
14,"TEXT_BANNAM403_03111_SEQ_14",""
15,"TEXT_BANNAM403_03111_SEQ_15",""
16,"TEXT_BANNAM403_03111_SEQ_16",""
17,"TEXT_BANNAM403_03111_SEQ_17",""
18,"TEXT_BANNAM403_03111_SEQ_18",""
19,"TEXT_BANNAM403_03111_SEQ_19",""
20,"TEXT_BANNAM403_03111_SEQ_20",""
21,"TEXT_BANNAM403_03111_SEQ_21",""
22,"TEXT_BANNAM403_03111_SEQ_22",""
23,"TEXT_BANNAM403_03111_SEQ_23",""
24,"TEXT_BANNAM403_03111_TODO_00","オンサル・ハカイルの接待ナマズオと話す"
