#,Name,NameShort,NameFemale,Description,NameEnglish,Action[0],Action[1],Action[2],Action[3],Action[4],LevelMax,JobIndex,LevelUnlock[0],LevelUnlock[1],LevelUnlock[2],LevelUnlock[3],LevelUnlock[4]
0,サポートすっぴん,Ph. Freelancer,,"ある冒険者の出発点にして終着点の記憶。
探索に便利なサポートアクションを修得する。",Phantom Freelancer,41650,41651,46606,49102,0,24,24,5,10,15,20,0
1,サポートナイト,Ph. Knight,,"ある騎士の忠誠心と名誉の記憶。
味方の被害を減らすサポートアクションを修得する。",Phantom Knight,41588,41589,41590,41591,0,6,1,1,2,3,6,0
2,サポートバーサーカー,Ph. Berserker,,"ある狂戦士の蛮勇と熱狂の記憶。
ハイリスクハイリターンなサポートアクションを修得する。",Phantom Berserker,41592,41594,0,0,0,3,7,1,2,0,0,0
3,サポートモンク,Ph. Monk,,"ある僧侶の修行と瞑想の記憶。
攻撃に長けたサポートアクションを修得する。",Phantom Monk,41595,41596,41597,41598,0,6,2,1,2,3,5,0
4,サポート狩人,Ph. Ranger,,"ある狩人の誇りと慈愛の記憶。
動物たちの力を借りるサポートアクションを修得する。",Phantom Ranger,41599,41600,41601,41602,0,6,8,1,2,4,6,0
5,サポート侍,Ph. Samurai,,"ある侍の武士道と鍛錬の記憶。
一撃必殺のサポートアクションを修得する。",Phantom Samurai,41603,41604,41605,41606,0,5,6,1,2,3,4,0
6,サポート吟遊詩人,Ph. Bard,,"ある吟遊詩人の詩想と熱唱の記憶。
多彩な歌のサポートアクションを修得する。",Phantom Bard,41608,41609,41607,41610,0,4,18,1,2,3,4,0
7,サポート風水士,Ph. Geomancer,,"ある風水士の自然と理気の記憶。
天候で効果が変わるサポートアクションを修得する。",Phantom Geomancer,41611,41612,41619,41620,0,5,17,1,2,3,4,0
8,サポート時魔道士,Ph. Time Mage,,"ある時魔道士の法則と定理の記憶。
時間を操る時魔法のサポートアクションを修得する。",Phantom Time Mage,41621,41623,41624,41622,41625,5,12,1,2,3,4,5
9,サポート砲撃士,Ph. Cannoneer,,"ある砲撃士の弾道学と戦術の記憶。
様々な効果の弾を放つサポートアクションを修得する。",Phantom Cannoneer,41626,41627,41628,41629,41630,6,22,1,2,3,4,6
10,サポート薬師,Ph. Chemist,,"ある薬師の調合と薬効の記憶。
高効果の薬品を用いたサポートアクションを修得する。",Phantom Chemist,41631,41633,41634,41635,0,4,16,1,2,3,4,0
11,サポート予言士,Ph. Oracle,,"ある予言士の霊感と啓示の記憶。
時間差で効果が現れるサポートアクションを修得する。",Phantom Oracle,41636,41641,41642,41643,41644,5,21,1,2,3,4,5
12,サポートシーフ,Ph. Thief,,"ある盗賊の義侠心と特技の記憶。
特殊な探索術を含むサポートアクションを修得する。",Phantom Thief,41646,41645,41647,41648,41649,6,3,1,2,3,4,5
13,サポート魔法剣士,Ph. Mystic Knight,,"ある魔法剣士の研鑽と術技の記憶。
武器に魔法を宿らせるサポートアクションを修得する。",Phantom Mystic Knight,46591,46590,46592,46593,0,4,9,1,2,3,4,0
14,サポート剣闘士,Ph. Gladiator,,"ある剣闘士の戦いと不撓心の記憶。
攻防兼ね備えた戦技のサポートアクションを修得する。",Phantom Gladiator,46594,46595,46596,46597,0,4,23,1,2,3,4,0
15,サポート踊り子,Ph. Dancer,,"ある踊り子の誇りと高揚の記憶。
多彩な効果を生む踊りのサポートアクションを修得する。",Phantom Dancer,46598,46603,46604,46605,0,4,19,1,2,3,4,0
16,サポート忍者,Ph. Ninja,,"ある忍者の暗躍と忍耐の記憶。
あらゆる場面で役立つ忍術のサポートアクションを修得する。",Phantom Ninja,49062,49063,49064,49065,49066,6,5,1,2,3,4,6
17,サポート白魔道士,Ph. White Mage,,"ある白魔道士の献身と治癒の記憶。
癒やしの力を生む白魔法のサポートアクションを修得する。",Phantom White Mage,49067,49068,49069,49070,49071,5,10,1,2,3,4,5
18,サポート黒魔道士,Ph. Black Mage,,"ある黒魔道士の研究と検証の記憶。
破壊の力を生む黒魔法のサポートアクションを修得する。",Phantom Black Mage,49072,49073,49074,49075,49076,5,11,1,2,3,4,5
19,サポート竜騎士,Ph. Dragoon,,"ある竜騎士の修験と遍歴の記憶。
身軽に跳躍し敵を貫くサポートアクションを修得する。",Phantom Dragoon,49077,49078,49079,0,0,4,4,1,2,3,0,0
20,サポート召喚士,Ph. Summoner,,"ある召喚士の研究と実践の記憶。
攻防に活躍する幻獣を喚び出すサポートアクションを修得する。",Phantom Summoner,49080,49081,49082,49083,49084,5,13,1,2,3,4,5
21,サポート青魔道士,Ph. Blue Mage,,"ある呪い師の見聞と偏執の記憶。
魔物の力を呪いとして用いるサポートアクションを修得する。",Phantom Blue Mage,49085,49086,49087,49088,49090,3,14,1,1,1,2,3
22,サポート赤魔道士,Ph. Red Mage,,"ある赤魔道士の放浪と機知の記憶。
白黒の魔法を器用に扱うサポートアクションを修得する。",Phantom Red Mage,49092,49093,49094,49095,49096,6,15,1,2,3,4,5
23,サポートネクロマンサー,Ph. Necromancer,,"ある死霊使いの冒涜と執念の記憶。
死を超えて戦うサポートアクションを修得する。",Phantom Necromancer,49097,49098,49099,49100,49101,5,20,1,2,3,4,5
