#,Name,Text,Image
0,,,0
1,,,0
2,,,0
3,,,0
4,,,0
5,,,0
6,,,0
7,,,0
8,,,0
9,,,0
10,,,0
11,目的地まで「運搬」しよう！,"持ち上げた荷物を、制限時間内に指定された場所まで運びましょう！

運搬中は「運搬」のステータスが付与されます。
そのステータスの効果時間が、運搬終了までの制限時間です。

攻撃を受けると制限時間が減ってしまうため、
なるべく敵を避けて目的地を目指しましょう。

なお、運搬中は、使用できるアクションが制限されます。",86902
12,「運搬」が解除されてしまったら……,"制限時間が0になった場合や、
エリア移動などで「運搬」のステータスが解除された場合、
運搬は失敗となってしまいます。

その際は、「運搬」の開始地点から、再挑戦することができます。",86903
13,「透明」状態で行動しよう！,"透明になると、一部の対象やモンスターから、存在を認識されにくくなります。
その状態で、こっそり目的を達成しましょう！

進行中は「透明」のステータスが付与されます。
そのステータスの効果時間が、透明終了までの制限時間です。

なお、透明になっている間は、使用できるアクションが制限されます。",86904
14,「透明」が解除されてしまったら……,"制限時間が0になった場合や、
エリア移動などで「透明」のステータスが解除された場合、
対象に見つかるようになり、クエストを進められません。

制限時間が切れてしまう前に、
「透明」の開始地点に戻り、効果を延長してもらいましょう。

ステータスが解除されてしまった際も、
開始地点で、再度「透明」になることができます。",86905
15,仲間を「同行」させて探索しよう！,"クエストの進行中、一時的に仲間を連れ歩くことがあります。
その状態を「同行」と呼びます。

一緒に探索を進め、同行者が近くにいる状態で、
目的を達成しましょう！",86906
16,仲間を「同行」させて探索しよう！,"同じエリア内であれば、テレポや都市内転送網を利用しても、
同行者がはぐれることはありません。

マウントに騎乗したり、水上を泳いだりしても「同行」は継続されますが、
同行者が一時的に非表示となります。",86906
17,同行者と話してみよう！,"同行者には、いつでも話しかけることができます。

また、目的地までの経路付近に、
特殊な会話を聞くことができる「トークスポット」が存在する場合があります。
「トークスポット」に入った状態で同行者に話しかけると、
関連する話題が追加されています。

「トークスポット」の位置は、地図にも掲載されているので、
見かけた際は寄り道を楽しみましょう！",86907
18,「同行」が解除されてしまったら……,"同行者に話しかけ「同行状態を解除する」を選んだ場合や、
エリア移動をした場合、「同行」は中断されます。

開始地点に戻っている同行者に話しかけることで、
「同行」を再開することができます。",86908
19,「先導」についていこう！,"仲間が目的地まで「先導」してくれます。
離れすぎないように、あとを追いかけましょう！

仲間と大きく距離が離れると、「先導」は中断されます。

その場合、開始地点に戻っている仲間に話しかけることで、
「先導」を再開することができます。",86909
20,気づかれずに「尾行」しよう！,"対象に気づかれないよう、背後から「尾行」しましょう！

尾行中、対象の視界に入ったり、近づきすぎたりすると、
見つかって失敗となります。
また、対象から離れすぎた場合も失敗となります。

その際は、「尾行」の開始地点から、再挑戦することができます。",86910
21,「尾行」を成功させるには……,"対象の周囲に、画像のようなマークが出ていたら要注意！
対象が振り返った場合、見つかってしまうことを示しています。

すぐに身を隠せる場所まで移動しましょう。",86911
22,「尾行」を成功させるには……,"対象に近づきすぎないことも大切です。

画像のような、円形の範囲には入らないよう、
一定の距離を保ちながら「尾行」しましょう！",86912
23,「変身」状態で行動しよう！,"通常とは異なる姿に「変身」し、目的を達成しましょう！

変身中は「変身」のステータスが付与されます。
そのステータスの効果時間が、変身終了までの制限時間です。

なお、変身中は、使用できるアクションが制限されます。",86913
24,「変身」が解除されてしまったら……,"制限時間が0になった場合や、
有効範囲の外に出て「変身」のステータスが解除された場合、
クエストを進められません。

制限時間が切れてしまう前に、
「変身」の開始地点に戻り、効果を延長してもらいましょう。

ステータスが解除されてしまった際も、
開始地点で、再度「変身」することができます。",86914
25,「衣替」状態で行動しよう！,"クエストの進行中、一時的に装備の見た目が変わることがあります。
その状態を「衣替」と呼びます。

進行中は「衣替」のステータスが付与されます。
そのステータスの効果時間が、衣替終了までの制限時間です。",86915
26,「衣替」が解除されてしまったら……,"制限時間が0になった場合や、
有効範囲の外に出て「衣替」のステータスが解除された場合、
クエストを進められません。

制限時間が切れてしまう前に、
「衣替」の開始地点に戻り、効果を延長してもらいましょう。

ステータスが解除されてしまった際も、
開始地点で、再度「衣替」をすることができます。",86916
