#,Name,Description,UnlockLink,Image,Unknown4,Unknown5,Unknown6
0,,,0,0,0,0,0
1,ケテンラム・ブラウフィストシン,リムサ・ロミンサ出身の探検家。第六星暦1497年、10代の若さで探検隊を率いた彼は、西回りでひんがしの国を目指すべく出航。大航海の末、当初の目論見とは異なるもののトラル大陸に辿り着いた。その後、内陸部を探検した彼は、マムークを訪い当時の連王と謁見。若きグルージャジャと親交を深め、ともに数々の冒険に身を投じる。その探求心は老いてなお健在であり、死の三角海域の探査を計画、主導することとなった,521,70615,0,3,2
2,蜃気楼の町,三日月島の東端にひっそりと存在する小さな町。石造りの建造物は古びてはいるものの崩壊には至っておらず、この場所が何者かの管理下にあることを窺わせる。その一方で住人の姿はなく、生活の痕跡も見られないなど謎が多い。なお、近海には島から離れようとしたと思しき船が何隻も不自然な形で沈没しており、「見たが最後、引き返すこともできない」という船乗りたちの噂話に現実味を与えている,507,70601,11606900,2,1
3,アーカイブ,蜃気楼の町に置かれていた奇妙な石棺から現れた、異形の存在。その姿は伝説の魔物「トンベリ」に似ているが、理性があり友好的な態度を示す。なお、「もの知りじいさん」を自称してはいるものの、長き眠りから覚めたばかりで呆けているのか、はたまた何らかの封印が施されているのか、今はその知識をうまく開示できないらしい。三日月島の探査に臨まんとする冒険者やケテンラムに対し自ら協力を申し出たことで、行動を共にすることとなった,522,70616,0,3,2
4,アイリス,フェアリー型の使い魔。アーカイブが目覚めた直後に現れ、彼の知識に封印が施されていること、それゆえに彼は冒険者が見て知った事物についてしか語れないことを告げた。自らの使命について尋ねられても「知らない」と答えるなど彼女自身にも不明な点が多いが、アーカイブによれば、アイリスからは三日月島全域を覆う魔法結界と同じエーテルを感じられたという。どうやら彼女の召喚主は、島を治める存在である可能性が高いようだ,523,70617,0,3,2
5,探査隊のベースキャンプ,探査隊が三日月島南部における活動拠点として設営したベースキャンプ。その周辺は関所の跡らしく、円塔や門に加えて簡易的な壁も造られており、魔物が侵入する危険は少ない。また、エーテライトの役目を果たす魔道通路が遺されていたことも、探査隊にとって好都合であった。建築様式は蜃気楼の町のそれと似るが、いつ何者が築いたのかは判明していない。かつては、ここにも多くの島民が行き交っていたのだろうか,508,70602,11606902,2,1
6,サポートジョブ,三日月島に遺されていた結晶片、通称「ソウルシャード」から継承可能な古の戦闘技術や魔法体系のこと。島全体に張られた魔法結界と連動しているらしく、その外側にこれらの知識を持ち出すことはできない。逆に言えば島内であれば、この結晶片から引き出した古の戦士や魔道士たちの記憶を一時的に継承し、彼らの技や魔法を操ることができる。アーカイブの勧めで、島内探査の助けとして活用することとなった,536,70630,0,5,4
7,円蓋の城塞,大小さまざまな石を組み上げて建造された巨大な城塞。三日月島にて確認された多くの遺構と同様に住人の姿はなく、その端々に長い年月を経たのであろう痕跡が見て取れる。ひし形の格子模様を好んで用いる装飾や特徴的な円蓋など、その建築様式は黒衣森にて発見された魔法都市「アムダプール」の遺跡と共通点が多い。また、これらの建物を守るように徘徊する使い魔に石像型のものが多い点も、アムダプール文明の特徴と一致している,509,70603,11606904,2,1
8,コイントートス,大型の陸亀を素体にしたと思しき使い魔。魔法によって人語を解するだけの知恵を与えられているのか、出会った者に対して取引を強要する。しかも、この亀が売りつけようとするのが呪いが込められた品なのだから厄介極まりない。島の主がなぜこのような使い魔を創造したのかという意図は不明だが、少なくとも「呪い」に関連しているという点においては、かつてギラバニアで栄えたスカラ文明との関連性を指摘することができるだろう,530,70624,0,4,3
9,蜃気楼の浜,三日月島の南部から内湾を臨む浜。よく晴れた日には、遠方にゆらゆらと蜃気楼のように二又の塔が見られることもあるという。浜辺に残存する遺跡には蜃気楼の町で見られたのと同じ逆円錐型の構造が確認できるが、これは第五星暦時代にバイルブランド島に存在した海洋都市「ニーム」の建築様式と符合する。ただし、蜃気楼の町が実用本位な造りであるのに対し、こちらは円形の広場を中心とした宗教施設を思わせる構造となっている,510,70604,11606906,2,1
