#,DevelopmentLogText,DevelopmentLogName,DevelopmentLogDescription
0,,,
1,[第1報],コスモエクスプローラー計画の始まり,"わたくしめ、レポーティングウェイが筆を執り、このコスモエクスプローラー計画が辿りゆく探索の軌跡を記すことになりました。
以後、どうぞお付き合いの程を。

さて、サーチングウェイ主任が図らった壮大な計画が遂に始動いたしました！
月から外宇宙への港となるべく設置された「ムーンゲート基地」には、まだほんのわずかな機器類を持ち込んだのみです。
月面、そしてやがては広大な異星の大地を駆るかもしれぬ重機類が待機するハンガーや、計画にご協力くださる皆様に向けた備品の取り扱い店といった機能を、まずは仮設ながら備えたというところですね。

むむ、しかしこの焦がれの入江には、稀に小隕石群も降り注ぐ様子……。
星外活動での使用も想定した頑丈な布地を用いているとはいえ、仮設テントのままではどうにも心許ありません！
ここはアーテリスからのご協力者の皆様のお力を借り、ぐんぐんと月面基地の整備を進めていきたいところです！"
2,[第2報],ムーンゲート基地の充実,"アーテリスから続々と協力者の方々が到着しております！
ラヴィリンソスにて方舟計画に携わっていた研究者や、シャーレアン魔法大学で最新の宇宙論に挑む教授陣、それに名うてのグリーナーや冒険者、職人たちなど、その顔ぶれは多彩！　彼らの尽力によって、ムーンゲート基地の基本施設も充実してきました！

仮設のテントも、今や立派な強化金属製の屋根に変化！　これで貴重な物資も落下物から守られるというもの。安心して今後の計画に邁進できますね。

皆様のおかげで、コスモエクスプローラー計画のすべり出しは順調そのものです。まずはこのムーンゲート基地周辺を足がかりに、焦がれの入江各方面へと探索を進めていきましょう。"
3,[第3報],コスモライナーの初開通,"我々レポリットが永く暮らしてきた月面を、今さらこうして「探索」するというのも、もしかしたら奇妙に聞こえるかもしれませんね。
ですが、この焦がれの入江での活動は外宇宙探査の出発地点を整備するという目的以外にも、異星進出後の演習も兼ねているのです。

このたび完成した「コスモライナー」も、異星での運用を想定した移動設備となるそうです。
異星では地脈が安定しているとは限りませんから、転移魔法に頼らない高速移動手段が必要であろうとの判断とのこと。
まずは焦がれの入江内の全域のカバーを目指し、コスモライナーを安定的に運用していければと思います。"
4,[第4報],居住モジュール・コスモポートの竣工,"アーテリスからお越しいただいた協力者の皆様に提供する「居住モジュール」と、宇宙船発着場である「コスモポート」が竣工しました！
どちらもまだ基礎的な機能が備わったのみですが、これからますます拡大していく計画なんですよ。

居住モジュールの建設にあたっては、楽園都市「スマイルトン」での失敗を活かしておりますから、生命の危険なく概ね快適に過ごすことができるはず！

それにコスモポートの設計には、最新のエーテル学の研究成果が活かされているんですよ。なんと宇宙船を確実に、宇宙空間での希薄なエーテルの流れ……いわゆる「宙脈」に導くという機能が備わっているのです。
まだ基部が完成しただけですが、異星への旅が一歩近づいたわけですね！"
5,[第5報],ローダーハンガーの改良,"異星における探索と各種作業を効率的に進めるため、我々レポリットとヒトの研究者が共同開発した秘密メカ……それが新型ローダーです！

すでにメカオペレーションで活躍しているローダーですが、これまでテントの下に保管されていたため、粉塵や落下物の影響で不具合が生じることもあったのだとか。
しかし、コンテナ型のハンガーが完成したことで環境の影響を受けることもなくなりました。
より高度な整備も可能になったと聞いていますから、稼働効率も改善されていくことでしょう！"
6,[第6報],北西エリアへのコスモライナー延伸,"焦がれの入江北西の「キャラバシュ・コーヴ」エリアへ、コスモライナーが延伸しました！

加えて、中継地点には遠方エリアにおける探索の拠点となるよう、作業人員の休憩施設やローダーのエネルギー補給所としての各種設備も併設してあります。
コスモライナーで各エリアへと立ち寄った際は、各拠点のそうした機能にも注目してみてくださいね！"
7,[第7報],南東エリアへのコスモライナー延伸,"焦がれの入江南東の「ウェディングウェイの式園」エリアへ、コスモライナーが延伸しました！

このエリアは土壌改良の試験場となっており、植物の育ちにくい月の地質に対して栄養剤を投与しているのだとか。
この計画の責任者はウェディングウェイというレポリットで、シャーレアンからいらした植物学者とともに、様々な植物や菌類の繁殖や交雑を試しているようですよ。噂では、嘆きの海で風変わりな菌類を愛でているラヴィングウェイも出入りをしているとか……菌類ばかりが目立つのはそのせいでしょうか？"
8,[第8報],ピアッシングウェイ・トンネルの開通,"南西部クレーターであるグリーミングマウンテンを貫く、「ピアッシングウェイ・トンネル」が開通しました！

グリーミングマウンテンは非常に硬いクリスタル層と柔らかな岩盤が入り混じっているため、この度のトンネル工事は、我々の技術力を確かめる非常によい機会となりました。
そこでシャーレアンの研究者と共同で、新たなシールド工法を開発。無事に開通にこぎつけたのです。
今回の工事の経験は、必ずや異星探索時にも活きることでしょう！"
9,[第9報],トンネル奥エリアへのコスモライナー延伸,"焦がれの入江南西の「ピアッシングウェイ・トンネル」奥のエリアへ、コスモライナーが延伸しました！

グリーミングマウンテン内周では、特殊な鉱物資源の採掘が期待できるほか、過去に墜落した古代アラグ文明の遺物も確認されているとのこと。これらを有効活用することで、コスモエクスプローラー計画のさらなる進展に繋げられることでしょう。"
10,[第10報],ムーンゲート基地のさらなる充実,"なんということでしょう、月面に新たな街の姿が見えてきたかのようです。ムーンゲート基地のさらなる設備充実が、皆様のおかげで完了しました！

さて今回の拡張では、分散配置されていた各施設をより効率的に連動させるため、通路と隔壁、配管類の整備を行っています。
また住環境の向上のほか、備品の供給所も改装していますので、ぜひ協力者の皆様も訪れてみてください。

とはいえ未だ課題が残っていることもまた事実、この基地の拡張はまだまだ続きますよ！"
11,[第11報],インフラ関連設備の竣工,"皆様のご協力により、新たな発雷設備と給水施設が完成しました！

特に莫大な雷力を生み出す「エネルギゼーション・ステーション」の存在は、宇宙船の運用に必須となるものだけに、コスモエクスプローラー計画にとっては重要な意味を持ちます。
加えて、魔泉から汲み上げた水をセントラルクリスタルの力を用いて浄水する「ハイドロフィケーション・ステーション」が稼働できたことで、飲用水の確保が容易となったことも見逃せません。
まさに生命線が確保されたわけですね！"
12,[第12報],ローダーハンガー・コスモポートの完成,"ついにローダーハンガーとコスモポートが完成しました！

それぞれの施設にはエネルギゼーション・ステーションから地下送雷線が接続され、ローダーや宇宙船へのエネルギー供給体制も完璧なものとなっています。
一方で、ステーション側に不具合が生じたときのために、ローダーハンガーとコスモポートにも小型の補助発雷設備が設けられており、有事の際のバックアップとして機能する設計にもなっているのだとか。
常に最悪の事態を想定するのは大切なことですよね！"
13,[第13報],ネイディア・リフトの開通,"焦がれの入江北東部の地裂下に広がる空間へと降りる、「ネイディア・リフト」が開通しました！

この空間はドローンによる調査によって発見されたもので、異星探査のモデルケースとして経路を確保し、資源採掘を行うことになりました。
トンネル工事で得た知見を最大限に活用し、大型の重機も搭載可能な昇降機を設置できたことは、関係者にとって大きな自信となったはず。

なお、このルナ・ネイディアの一帯こそが、焦がれの入江で最後に踏み込むエリアとなります。
引き続き、探索計画に邁進していきましょう！"
14,[第14報],月底へのコスモライナー延伸,"焦がれの入江北東の「ルナ・ネイディア」エリアへ、コスモライナーが延伸しました！
これにて、コスモライナーが焦がれの入江全域を巡るようになりましたよ！

工事は難航しましたが、菌類が集う小洞窟や魔泉の滝へと簡単に移動できるようになったことは大きな収穫と言えるでしょう。
こうした経験は異星の探索において必ず活きると確信しています。今後とも、力を合わせていきましょうね！"
15,[第15報],ルナホップ・ポリス竣工,"ムーンゲート基地の中央に……なんということでしょう、まるで月面にもうひとつの月が浮かんだような、まぁるいドームが誕生しました！

その名も、「ルナホップ・ポリス」！
月面から跳ね、さらに輝く星々へと辿り着かんとする我々の集う新しい都市……そんな意味合いが込められた名とのことですよ。

設計にあたっては、ドーム状の屋根で覆うことでセントラルクリスタルへの隕石の直撃リスクを低減すると同時に、皆様が落ち着ける場所となるよう工夫が凝らされているのだとか。
相変わらず研究員の方や我々レポリットが駆け回るなかではありますが、広場のような心地でくつろいでいただけたらと思います。
月面での探索は、この入江の中央施設の完成をもって完了となります。
たくさんのご協力、まことにありがとうございました！"
16,[第16報],月から、まだ見ぬ星々へ焦がれて,"全施設が完成し、コスモポートには我々の新たな宇宙船が準備万全の状態で待機しています！

これまでの日々はわたくしたちにとっても無我夢中でありました。
しかしサーチングウェイ主任やヒトの皆様が、ふと頭上に黒々と広がる空を見上げ、その星々の輝きを瞳に宿したとき……その美しさをひとたび眺めれば、わたくしが日誌にやたら書き連ねたような苦労の日々は過去のものになってしまうのです。

さぁ、異星へと飛び立ち、新たなる探索が始まる日々はこれからです！
また軌跡の続きを記せることを、わたくしも楽しみにしていますよ！"
17,[第1報],いざ、惑星パエンナ探索計画,"引き続き、わたくしレポーティングウェイが筆を執り、惑星パエンナでの歩みを記録してまいりたいと思います。
読者の皆様、今回も何卒よろしくお願いいたしますね！

さて、我々の宇宙船ギャラクティックウェイ号はついに月から旅立ち、宙脈跳躍を経て「惑星パエンナ」へと進出しました。
最初の目的地としてこの星が選ばれたのは、豊富なケイ素系資源の埋蔵が確認できたことと、独自の環境が我々のワクワクな探索意欲を刺激したゆえにほかなりません！

先遣隊の活躍により、焦がれの入江で設営演習を行った設備類を展開し、「グラスブロワーズ基地」として運用を開始しました。
さらなる資材の追加搬入が必要であるため、まだ限られた機能のみとなりますが、ここから協力者の皆様とお力を合わせ、基地の充実と探索を進めてまいりたいと考えています！"
18,[第2報],グラスブロワーズ基地の充実,"ギャラクティックウェイ号をフル活用することで、月からの物資搬入は順調に進んでおります！
皆様のご協力もあって、グラスブロワーズ基地の設備面での充実化も進んでいますよ。

本基地における最大の特徴は、ガラスの雨や塵が降り注ぐ惑星パエンナの環境下で設営を進めるため、巨大な岩窟内が選ばれたという点ですね。
しかしながら、岩の屋根に覆われたスペースは有限であるため、今後の施設の配置に関しては計画的に進める必要があります！
幸い、技術者の方々がプランニングに熱を上げているようですから、きっと素晴らしい基地となってゆくことでしょう。"
19,[第3報],コスモライナーの展開,"この惑星パエンナでも、コスモライナーの敷設が始まりました！
そもそもコスモライナーは、安定した地脈や風脈の流れが不安視される異星環境においての運用を前提として開発されてきたもの。
いよいよ、本番環境でのお披露目というわけです！

特にその完成を望んでいるのは、計画機構に属する研究者や技術者の方々……。
協力者としてご参加いただいている冒険者の方々と異なり、彼らは総じて足腰には自信がないタイプですからね。
誰もを確実かつ迅速に目的地へ送り届けることのできるコスモライナーは、探索計画の効率的な進行に欠かせないというわけなんです！
まずは基地周辺から整備を進め、この一帯の探索に役立てていきましょう。"
20,[第4報],居住モジュールの竣工,"惑星パエンナにおける「居住モジュール」が竣工しました！
焦がれの入江での展開と比較して、公共の空間を広めに確保するなど、今回は居住性や快適性を意識して設計されているんですよ。

というのも、この探索計画の元となった方舟計画では、アーテリス市民の長期に亘る星外生活が念頭に置かれていましたから……できるだけ皆様がリラックスして過ごすことができるようにと、様々な工夫が採り入れられているんです。

今回ここで生活することになる研究者や技術者の方々は、寝場所さえ確保できれば良いとよくおっしゃいますので、プロジェクトマネージャーのムムッコさんと相談のうえ、方舟計画のものと比べればコンパクトにまとめさせていただいているんですけどね！"
21,[第5報],インフラ関連設備の竣工,"惑星パエンナの環境に適応させた、発雷所と給水所が完成しました！

この星の水源の大半は、水中のケイ素の割合が大変高く、必ずしも生活用水として適しているわけではありません。
そこで、「ハイドロフィケーション・ステーション」の稼働による浄水は欠かせないというわけですね！
雷力を賄う「エネルギゼーション・ステーション」も、引き続き探索計画全体のエネルギーを支えています。
さぁ、両施設の稼働開始により、この星での探索をますます加速させていきましょう！"
22,[第6報],ローダーハンガーの機能強化,"各種ローダーは、ここ惑星パエンナでも大活躍しています。
それは嬉しいことではありますが、逆に考えれば、たった1台だとしても事故で失われれば計画への悪影響が避けられないということ！

ゆえにローダーハンガーは、各方面への出入りが容易でありながら天井や岩壁にも守られたトンネル口に設置されることとなったのです。
今回コンテナ型に改良できたことで、ますます安全性も高まり、安定的な稼働に繋げることができるでしょう！"
