#,Name,Icon,JournalCategory,Unknown0
0,,0,0,False
1,新生エオルゼア,61412,1,True
2,第七星暦ストーリー,61412,2,True
3,蒼天のイシュガルド,61412,3,True
4,竜詩戦争 完結編,61412,4,True
5,竜詩戦争 戦後編,61412,5,True
6,紅蓮のリベレーター,61412,6,True
7,解放戦争 戦後編,61412,7,True
8,漆黒のヴィランズ,61412,8,True
9,暁の帰還編,61412,9,True
10,終末の序曲編,61412,10,True
11,暁月のフィナーレ,61412,11,True
12,新たなる冒険編,61412,12,True
13,黄金のレガシー,61412,13,True
14,黄金のレガシー 完結編,61412,14,True
15,ウィンタラーの策動編,61412,15,True
16,蛮神の脅威,61411,16,True
17,バハムート,61411,17,True
18,クリスタルタワー,61411,18,True
19,アレキサンダー,61411,19,True
20,古の神々,61411,20,True
21,シャドウ・オブ・マハ,61411,21,True
22,次元の狭間オメガ,61411,22,True
23,次元の狭間オメガ 番外編,61411,22,True
24,リターン・トゥ・イヴァリース,61411,23,True
25,四聖獣奇譚,61411,24,True
26,エデン,61411,25,True
27,YoRHa: Dark Apocalypse,61411,26,True
28,ウェポンシリーズ,61411,27,True
29,パンデモニウム,61411,28,True
30,パンデモニウム 番外編,61411,28,True
31,ミソロジー・オブ・エオルゼア,61411,29,True
32,アルカディア,61411,30,True
33,エコーズ オブ ヴァナ・ディール,61411,31,True
34,ストーリークエスト,61411,32,True
35,デイリークエスト,61411,32,True
36,ストーリークエスト,61411,33,True
37,デイリークエスト,61411,33,True
38,ストーリークエスト,61411,34,True
39,デイリークエスト,61411,34,True
40,ストーリークエスト,61411,36,True
41,デイリークエスト,61411,36,True
42,ストーリークエスト,61411,37,True
43,デイリークエスト,61411,37,True
44,ストーリークエスト,61411,38,True
45,デイリークエスト,61411,38,True
46,ストーリークエスト,61411,39,True
47,デイリークエスト,61411,39,True
48,ストーリークエスト,61411,40,True
49,デイリークエスト,61411,40,True
50,ストーリークエスト,61411,41,True
51,デイリークエスト,61411,41,True
52,ストーリークエスト,61411,42,True
53,デイリークエスト,61411,42,True
54,ストーリークエスト,61411,43,True
55,デイリークエスト,61411,43,True
56,ストーリークエスト,61411,44,True
57,デイリークエスト,61411,44,True
58,ストーリークエスト,61411,45,True
59,デイリークエスト,61411,45,True
60,ストーリークエスト,61411,46,True
61,デイリークエスト,61411,46,True
62,ストーリークエスト,61411,47,True
63,デイリークエスト,61411,47,True
64,ストーリークエスト,61411,48,True
65,デイリークエスト,61411,48,True
66,ストーリークエスト,61411,49,True
67,デイリークエスト,61411,49,True
68,ストーリークエスト,61411,50,True
69,デイリークエスト,61411,50,True
70,ストーリークエスト,61411,51,True
71,デイリークエスト,61411,51,True
72,ストーリークエスト,61411,52,True
73,デイリークエスト,61411,52,True
74,友好部族エクストラストーリー,61411,53,True
75,友好部族エクストラストーリー 蒼天編,61411,53,True
76,友好部族エクストラストーリー 紅蓮編,61411,53,True
77,友好部族エクストラストーリー 暁月編,61411,53,True
78,竜詩戦争 番外編,61411,54,True
79,暁の帰還 番外編,61411,54,True
80,新たなる冒険 番外編,61411,54,True
