#,StartupText,RunningText,Unknown0
0,,,0
1,"ムーンゲート基地にて、共同施工作業の着工が予定されています。
ご協力者の皆様の参加を募集中です！","ムーンゲート基地にて、共同施工作業「第一次基地拡張計画」発生中！
ご協力者の皆様の参加を募集中です！",1978
2,"ムーンゲート基地にて、共同施工作業の着工が予定されています。
ご協力者の皆様の参加を募集中です！","ムーンゲート基地にて、共同施工作業「第一次コスモライナー敷設支援」発生中！
ご協力者の皆様の参加を募集中です！",1979
3,"ムーンゲート基地南東にて、共同施工作業の着工が予定されています。
ご協力者の皆様の参加を募集中です！","ムーンゲート基地南東にて、共同施工作業「居住モジュール設置支援」発生中！
ご協力者の皆様の参加を募集中です！",1980
4,"ムーンゲート基地北西にて、共同施工作業の着工が予定されています。
ご協力者の皆様の参加を募集中です！","ムーンゲート基地北西にて、共同施工作業「第一次コスモポート整備支援」発生中！
ご協力者の皆様の参加を募集中です！",1981
5,"ムーンゲート基地北東にて、共同施工作業の着工が予定されています。
ご協力者の皆様の参加を募集中です！","ムーンゲート基地北東にて、共同施工作業「第一次ハンガー拡張計画」発生中！
ご協力者の皆様の参加を募集中です！",1982
6,"焦がれの入江北西部にて、建設中施設の完成が近づいています。
完成予定時刻には、該当地域が立入禁止になりますのでご注意ください。",,0
7,"焦がれの入江南東部にて、建設中施設の完成が近づいています。
完成予定時刻には、該当地域が立入禁止になりますのでご注意ください。",,0
8,"焦がれの入江南部にて、共同施工作業の着工が予定されています。
ご協力者の皆様の参加を募集中です！","焦がれの入江南部にて、共同施工作業「第一次トンネル掘削工事」発生中！
ご協力者の皆様の参加を募集中です！",1983
9,"焦がれの入江南部にて、共同施工作業の着工が予定されています。
ご協力者の皆様の参加を募集中です！","焦がれの入江南部にて、共同施工作業「第二次トンネル掘削工事」発生中！
ご協力者の皆様の参加を募集中です！",1984
10,"焦がれの入江南西部にて、トンネル奥の建設中施設の完成が近づいています。
完成予定時刻には、該当地域が立入禁止になりますのでご注意ください。",,0
11,"ムーンゲート基地にて、共同施工作業の着工が予定されています。
ご協力者の皆様の参加を募集中です！","ムーンゲート基地にて、共同施工作業「第二次基地拡張計画」発生中！
ご協力者の皆様の参加を募集中です！",1985
12,"ムーンゲート基地南西にて、共同施工作業の着工が予定されています。
ご協力者の皆様の参加を募集中です！","ムーンゲート基地南西にて、共同施工作業「エネルギー設備拡充支援」発生中！
ご協力者の皆様の参加を募集中です！",1986
13,"ムーンゲート基地西にて、共同施工作業の着工が予定されています。
ご協力者の皆様の参加を募集中です！","ムーンゲート基地西にて、共同施工作業「給水設備拡充支援」発生中！
ご協力者の皆様の参加を募集中です！",1987
14,"ムーンゲート基地北東にて、共同施工作業の着工が予定されています。
ご協力者の皆様の参加を募集中です！","ムーンゲート基地北東にて、共同施工作業「第二次ハンガー拡張計画」発生中！
ご協力者の皆様の参加を募集中です！",1988
15,"ムーンゲート基地北西にて、共同施工作業の着工が予定されています。
ご協力者の皆様の参加を募集中です！","ムーンゲート基地北西にて、共同施工作業「第二次コスモポート整備作業」発生中！
ご協力者の皆様の参加を募集中です！",1989
16,"焦がれの入江北東部にて、共同施工作業の着工が予定されています。
ご協力者の皆様の参加を募集中です！","焦がれの入江北東部にて、共同施工作業「第一次リフト用地整備」発生中！
ご協力者の皆様の参加を募集中です！",1990
17,"焦がれの入江北東部にて、共同施工作業の着工が予定されています。
ご協力者の皆様の参加を募集中です！","焦がれの入江北東部にて、共同施工作業「第二次リフト用地整備」発生中！
ご協力者の皆様の参加を募集中です！",1991
18,"焦がれの入江北東部にて、地底部の建設中施設の完成が近づいています。
完成予定時刻には、該当地域が立入禁止になりますのでご注意ください。",,0
19,"ムーンゲート基地にて、共同施工作業の着工が予定されています。
ご協力者の皆様の参加を募集中です！","ムーンゲート基地にて、共同施工作業「基地総合設備拡充工事」発生中！
ご協力者の皆様の参加を募集中です！",1992
20,"グラスブロワーズ基地にて、共同施工作業の着工を予定しています。
ご協力いただける方は、ぜひお集まりください！","共同施工作業「第一次基地拡張計画」実施中！
ご協力いただける方は、ぜひお集まりください！",2008
21,"グラスブロワーズ岩窟にて、共同施工作業の着工を予定しています。
ご協力いただける方は、ぜひお集まりください！","共同施工作業「第一次コスモライナー敷設支援」実施中！
ご協力いただける方は、ぜひお集まりください！",2009
22,"グラスブロワーズ基地北東部にて、共同施工作業の着工を予定しています。
ご協力いただける方は、ぜひお集まりください！","共同施工作業「居住モジュール設置支援」実施中！
ご協力いただける方は、ぜひお集まりください！",2010
23,"グラスブロワーズ基地南東部にて、共同施工作業の着工を予定しています。
ご協力いただける方は、ぜひお集まりください！","共同施工作業「エネルギー設備建設支援」実施中！
ご協力いただける方は、ぜひお集まりください！",2011
24,"グラスブロワーズ基地南東部にて、共同施工作業の着工を予定しています。
ご協力いただける方は、ぜひお集まりください！","共同施工作業「給水設備建設支援」実施中！
ご協力いただける方は、ぜひお集まりください！",2012
25,"グラスブロワーズ基地北西部にて、共同施工作業の着工を予定しています。
ご協力いただける方は、ぜひお集まりください！","共同施工作業「第一次ハンガー拡張計画」実施中！
ご協力いただける方は、ぜひお集まりください！",2013
26,"平野部にて、コスモライナー施設の完成が近づいています。
完成予定時刻には、該当地域が立入禁止になりますのでご注意ください。",,0
27,"ミルフィオリの丘南東にて、共同施工作業の着工を予定しています。
ご協力いただける方は、ぜひお集まりください！","共同施工作業「第一次降下クレーン建設工事」実施中！
ご協力いただける方は、ぜひお集まりください！",2014
28,"カプセル・カズム北東にて、共同施工作業の着工を予定しています。
ご協力いただける方は、ぜひお集まりください！","共同施工作業「第二次降下クレーン建設工事」実施中！
ご協力いただける方は、ぜひお集まりください！",2015
29,"カプセル・カズム底部にて、コスモライナー施設の完成が近づいています。
完成予定時刻には、該当地域が立入禁止になりますのでご注意ください。",,0
