0,TEXT_KINGMA119_04878_SEQ_00,Wuk Lamat est impatiente de commencer l'épreuve suivante.
1,TEXT_KINGMA119_04878_SEQ_01,
2,TEXT_KINGMA119_04878_SEQ_02,
3,TEXT_KINGMA119_04878_SEQ_03,
4,TEXT_KINGMA119_04878_SEQ_04,
5,TEXT_KINGMA119_04878_SEQ_05,
6,TEXT_KINGMA119_04878_SEQ_06,
7,TEXT_KINGMA119_04878_SEQ_07,
8,TEXT_KINGMA119_04878_SEQ_08,
9,TEXT_KINGMA119_04878_SEQ_09,
10,TEXT_KINGMA119_04878_SEQ_10,
11,TEXT_KINGMA119_04878_SEQ_11,
12,TEXT_KINGMA119_04878_SEQ_12,
13,TEXT_KINGMA119_04878_SEQ_13,
14,TEXT_KINGMA119_04878_SEQ_14,
15,TEXT_KINGMA119_04878_SEQ_15,
16,TEXT_KINGMA119_04878_SEQ_16,
17,TEXT_KINGMA119_04878_SEQ_17,
18,TEXT_KINGMA119_04878_SEQ_18,
19,TEXT_KINGMA119_04878_SEQ_19,
20,TEXT_KINGMA119_04878_SEQ_20,
21,TEXT_KINGMA119_04878_SEQ_21,
22,TEXT_KINGMA119_04878_SEQ_22,
23,TEXT_KINGMA119_04878_SEQ_23,
24,TEXT_KINGMA119_04878_TODO_00,Parler à Wuk Lamat afin qu'elle vous accompagne
25,TEXT_KINGMA119_04878_TODO_01,"Accompagnée par Wuk Lamat, parler à Ropli"
26,TEXT_KINGMA119_04878_TODO_02,Chercher Fonjeantaine
27,TEXT_KINGMA119_04878_TODO_03,Parler à Wuk Lamat
28,TEXT_KINGMA119_04878_TODO_04,
29,TEXT_KINGMA119_04878_TODO_05,
30,TEXT_KINGMA119_04878_TODO_06,
31,TEXT_KINGMA119_04878_TODO_07,
32,TEXT_KINGMA119_04878_TODO_08,
33,TEXT_KINGMA119_04878_TODO_09,
34,TEXT_KINGMA119_04878_TODO_10,
35,TEXT_KINGMA119_04878_TODO_11,
36,TEXT_KINGMA119_04878_TODO_12,
37,TEXT_KINGMA119_04878_TODO_13,
38,TEXT_KINGMA119_04878_TODO_14,
39,TEXT_KINGMA119_04878_TODO_15,
40,TEXT_KINGMA119_04878_TODO_16,
41,TEXT_KINGMA119_04878_TODO_17,
42,TEXT_KINGMA119_04878_TODO_18,
43,TEXT_KINGMA119_04878_TODO_19,
44,TEXT_KINGMA119_04878_TODO_20,
45,TEXT_KINGMA119_04878_TODO_21,
46,TEXT_KINGMA119_04878_TODO_22,
47,TEXT_KINGMA119_04878_TODO_23,
48,TEXT_KINGMA119_04878_ALPHINAUD_000_001,"Bien sûr, je suis conscient que nous ne sommes pas là pour faire du tourisme, mais j'ai hâte de découvrir les autres peuples turaliens."
