0,"TEXT_BANAMA110_01231_SEQ_00","Fibubb Gah wishes to entrust you with a new task."
1,"TEXT_BANAMA110_01231_SEQ_01","Fibubb Gah has bid you strike out at the unholy altars of the Brotherhood's hated kin. Locate and destroy the flaming beacons in the west of Zahar'ak."
2,"TEXT_BANAMA110_01231_SEQ_02","You have destroyed the flaming beacons. Return to the Ring of Ash and report to Fibubb Gah."
3,"TEXT_BANAMA110_01231_SEQ_03","Fibubb Gah praises your worthy display of courage. Though the warrior exults at the blow you have struck for the Brotherhood, he warns that the fallen Amalj'aa will not be so easily dissuaded from their mad pursuit for power."
4,"TEXT_BANAMA110_01231_SEQ_04","dummy"
5,"TEXT_BANAMA110_01231_SEQ_05","dummy"
6,"TEXT_BANAMA110_01231_SEQ_06","dummy"
7,"TEXT_BANAMA110_01231_SEQ_07","dummy"
8,"TEXT_BANAMA110_01231_SEQ_08","dummy"
9,"TEXT_BANAMA110_01231_SEQ_09","dummy"
10,"TEXT_BANAMA110_01231_SEQ_10","dummy"
11,"TEXT_BANAMA110_01231_SEQ_11","dummy"
12,"TEXT_BANAMA110_01231_SEQ_12","dummy"
13,"TEXT_BANAMA110_01231_SEQ_13","dummy"
14,"TEXT_BANAMA110_01231_SEQ_14","dummy"
15,"TEXT_BANAMA110_01231_SEQ_15","dummy"
16,"TEXT_BANAMA110_01231_SEQ_16","dummy"
17,"TEXT_BANAMA110_01231_SEQ_17","dummy"
18,"TEXT_BANAMA110_01231_SEQ_18","dummy"
19,"TEXT_BANAMA110_01231_SEQ_19","dummy"
20,"TEXT_BANAMA110_01231_SEQ_20","dummy"
21,"TEXT_BANAMA110_01231_SEQ_21","dummy"
22,"TEXT_BANAMA110_01231_SEQ_22","dummy"
23,"TEXT_BANAMA110_01231_SEQ_23","dummy"
24,"TEXT_BANAMA110_01231_TODO_00","Destroy flaming beacons around Zanr'ak."
25,"TEXT_BANAMA110_01231_TODO_01","Report to Fibubb Gah."
26,"TEXT_BANAMA110_01231_TODO_02","dummy"
27,"TEXT_BANAMA110_01231_TODO_03","dummy"
28,"TEXT_BANAMA110_01231_TODO_04","dummy"
29,"TEXT_BANAMA110_01231_TODO_05","dummy"
30,"TEXT_BANAMA110_01231_TODO_06","dummy"
31,"TEXT_BANAMA110_01231_TODO_07","dummy"
32,"TEXT_BANAMA110_01231_TODO_08","dummy"
33,"TEXT_BANAMA110_01231_TODO_09","dummy"
34,"TEXT_BANAMA110_01231_TODO_10","dummy"
35,"TEXT_BANAMA110_01231_TODO_11","dummy"
36,"TEXT_BANAMA110_01231_TODO_12","dummy"
37,"TEXT_BANAMA110_01231_TODO_13","dummy"
38,"TEXT_BANAMA110_01231_TODO_14","dummy"
39,"TEXT_BANAMA110_01231_TODO_15","dummy"
40,"TEXT_BANAMA110_01231_TODO_16","dummy"
41,"TEXT_BANAMA110_01231_TODO_17","dummy"
42,"TEXT_BANAMA110_01231_TODO_18","dummy"
43,"TEXT_BANAMA110_01231_TODO_19","dummy"
44,"TEXT_BANAMA110_01231_TODO_20","dummy"
45,"TEXT_BANAMA110_01231_TODO_21","dummy"
46,"TEXT_BANAMA110_01231_TODO_22","dummy"
47,"TEXT_BANAMA110_01231_TODO_23","dummy"
48,"TEXT_BANAMA110_01231_FIBUBBGAH_000_001","Be they ten thousand strong, the mewling whelps of Zahar'ak could not stand before us without the invigorating strength of their deity's flames."
49,"TEXT_BANAMA110_01231_FIBUBBGAH_000_002","They carefully capture the Lord of the Inferno's searing exhalations, and harness them for their unholy rites."
50,"TEXT_BANAMA110_01231_FIBUBBGAH_000_003","The god-touched fires are then ensconced within towering altars, which radiate Ifrit's blessings upon all within reach."
51,"TEXT_BANAMA110_01231_FIBUBBGAH_000_004","These flaming beacons must be destroyed! The Brotherhood of Ash will take from our vile kin every symbol of their undeserved strength!"
52,"TEXT_BANAMA110_01231_FIBUBBGAH_000_005","(deleted)"
53,"TEXT_BANAMA110_01231_FIBUBBGAH_000_006","I entrust this task to you, honored ally. But be forewarned: the sentinels that guard these beacons stand closest to the source of their power, and will prove to be most fierce adversaries."
54,"TEXT_BANAMA110_01231_FIBUBBGAH_000_011","Destroy these flaming beacons, honored ally! The symbols of our honorless kin's madness cannot be suffered to exist!"
55,"TEXT_BANAMA110_01231_FIBUBBGAH_000_012","A worthy display of courage, honored ally. May our enemies know that even their precious beacons be not safe from our wrath!"
56,"TEXT_BANAMA110_01231_FIBUBBGAH_000_013","...But lust for power is not so easily dampened. Until our war is won, I fear we will need to break these infernal altars again and again..."
