0,"TEXT_GAIUSA007_00713_SEQ_00","Piralnaut ben\xc3\xb6tigt f\xc3\xa4hige Freiwillige, die an der Grenze von Gridania patrouillieren."
1,"TEXT_GAIUSA007_00713_SEQ_01","Die Garnison an Josselins Wachturm ist aufgrund zahlreicher Zwischenf\xc3\xa4lle derzeit unterbesetzt und Piralnaut bittet dich, anstelle der Verwundeten in der Gegend zu patrouillieren. Es gibt drei strategisch wichtige Positionen auf der zu kontrollierenden Strecke, die mit der Flagge der Morgenviper markiert sind. Begib dich nacheinander an die drei Orte und halte f\xc3\xbcr eine Weile die Stellung."
2,"TEXT_GAIUSA007_00713_SEQ_02","Du hast deine Patrouille wohlbehalten beendet. Erstatte Piralnaut Bericht."
3,"TEXT_GAIUSA007_00713_SEQ_03","Deine Begegnung mit den Monstern beunruhigt Piralnaut. Er zeigt sich \xc3\xa4u\xc3\x9ferst besorgt \xc3\xbcber ihre pl\xc3\xb6tzliche Zunahme."
4,"TEXT_GAIUSA007_00713_SEQ_04",
5,"TEXT_GAIUSA007_00713_SEQ_05",
6,"TEXT_GAIUSA007_00713_SEQ_06",
7,"TEXT_GAIUSA007_00713_SEQ_07",
8,"TEXT_GAIUSA007_00713_SEQ_08",
9,"TEXT_GAIUSA007_00713_SEQ_09",
10,"TEXT_GAIUSA007_00713_SEQ_10",
11,"TEXT_GAIUSA007_00713_SEQ_11",
12,"TEXT_GAIUSA007_00713_SEQ_12",
13,"TEXT_GAIUSA007_00713_SEQ_13",
14,"TEXT_GAIUSA007_00713_SEQ_14",
15,"TEXT_GAIUSA007_00713_SEQ_15",
16,"TEXT_GAIUSA007_00713_SEQ_16",
17,"TEXT_GAIUSA007_00713_SEQ_17",
18,"TEXT_GAIUSA007_00713_SEQ_18",
19,"TEXT_GAIUSA007_00713_SEQ_19",
20,"TEXT_GAIUSA007_00713_SEQ_20",
21,"TEXT_GAIUSA007_00713_SEQ_21",
22,"TEXT_GAIUSA007_00713_SEQ_22",
23,"TEXT_GAIUSA007_00713_SEQ_23",
24,"TEXT_GAIUSA007_00713_TODO_00","Bei den Flaggen der Morgenviper Wache halten"
25,"TEXT_GAIUSA007_00713_TODO_01","Piralnaut Bericht erstatten"
26,"TEXT_GAIUSA007_00713_TODO_02",
27,"TEXT_GAIUSA007_00713_TODO_03",
28,"TEXT_GAIUSA007_00713_TODO_04",
29,"TEXT_GAIUSA007_00713_TODO_05",
30,"TEXT_GAIUSA007_00713_TODO_06",
31,"TEXT_GAIUSA007_00713_TODO_07",
32,"TEXT_GAIUSA007_00713_TODO_08",
33,"TEXT_GAIUSA007_00713_TODO_09",
34,"TEXT_GAIUSA007_00713_TODO_10",
35,"TEXT_GAIUSA007_00713_TODO_11",
36,"TEXT_GAIUSA007_00713_TODO_12",
37,"TEXT_GAIUSA007_00713_TODO_13",
38,"TEXT_GAIUSA007_00713_TODO_14",
39,"TEXT_GAIUSA007_00713_TODO_15",
40,"TEXT_GAIUSA007_00713_TODO_16",
41,"TEXT_GAIUSA007_00713_TODO_17",
42,"TEXT_GAIUSA007_00713_TODO_18",
43,"TEXT_GAIUSA007_00713_TODO_19",
44,"TEXT_GAIUSA007_00713_TODO_20",
45,"TEXT_GAIUSA007_00713_TODO_21",
46,"TEXT_GAIUSA007_00713_TODO_22",
47,"TEXT_GAIUSA007_00713_TODO_23",
48,"TEXT_GAIUSA007_00713_PIRALNAUT_000_000","Du siehst aus, als w\xc3\xa4rst du aus hartem Holz geschnitzt, \x02\x08\x1d\xe9\x05\xff\rAbenteurerin\xff\x0bAbenteurer\x03. M\xc3\xb6chtest du deinen Beitrag leisten, um den Frieden zu bewahren? Wir patrouillieren Tag und Nacht in der Gegend, aber viele von uns wurden in einem vor kurzem stattgefundenen Scharm\xc3\xbctzel verwundet, weshalb wir nun unterbesetzt sind."
49,"TEXT_GAIUSA007_00713_PIRALNAUT_000_002","Ich w\xc3\xa4re dir sehr dankbar, wenn du f\xc3\xbcr die Verwundeten in die Bresche springen w\xc3\xbcrdest. Also, es gibt drei strategische Positionen auf deiner Route, die jeweils mit einer Flagge der Morgenviper markiert sind. Du musst lediglich diese drei Orte ablaufen und eine Weile dort die Stellung halten. Ein Kinderspiel, oder?"
50,"TEXT_GAIUSA007_00713_SYSTEM_000_000","Gegner erscheinen bei den Flaggen"
51,"TEXT_GAIUSA007_00713_SYSTEM_000_001","Gegner erscheinen bei den Flaggen"
52,"TEXT_GAIUSA007_00713_SYSTEM_000_002","Gegner erscheinen bei den Flaggen"
53,"TEXT_GAIUSA007_00713_PIRALNAUT_000_010","Es freut mich, dich gesund und munter wiederzusehen. Irgendwas zu berichten?\x02\x10\x01\x03... Du bist auf zahlreiche Monster gesto\xc3\x9fen? Das ist ungew\xc3\xb6hnlich. Wir hatten in dieser Gegend sonst nie Probleme mit wilden Tieren."
54,"TEXT_GAIUSA007_00713_PIRALNAUT_000_011","Hm ... offenbar hat ihre Anzahl deutlich zugenommen. Wir werden das im Auge behalten m\xc3\xbcssen. Wie auch immer, vielen Dank f\xc3\xbcr deine Hilfe, \x02\x08\x1d\xe9\x05\xff\x0cmeine Liebe\xff\x0cmein Freund\x03."
55,"TEXT_GAIUSA007_00713_POP_MESSAGE_000","Du sp\xc3\xbcrst eine feindliche Pr\xc3\xa4senz!"
