key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSC012_00949_SEQ_00","Ourdilic is seeking aid for a rescue attempt."
1,"TEXT_GAIUSC012_00949_SEQ_01","One of the researchers at Snowcloak has not yet returned from collecting ice samples, and he has a reputation for attracting ice sprites. Ourdilic bids you find the hapless man, and if necessary, rescue him from attackers."
2,"TEXT_GAIUSC012_00949_SEQ_02","Ourdilic proves to be impressively correct in her surmise, for you come across the whey-faced researcher cringing from the ice sprite. Now that you have slain the sprite and extricated yourself from the researcher's fawning attentions, you must make your report to Ourdilic."
3,"TEXT_GAIUSC012_00949_SEQ_03","Ourdilic has a spot of good news for you as well; she has nipped in the bud the researcher's hopes for a <If(PlayerParameter(4))>romance<Else/>bromance</If>. A happy ending for everyone─except the ice sprite, of course."
4,"TEXT_GAIUSC012_00949_SEQ_04",""
5,"TEXT_GAIUSC012_00949_SEQ_05",""
6,"TEXT_GAIUSC012_00949_SEQ_06",""
7,"TEXT_GAIUSC012_00949_SEQ_07",""
8,"TEXT_GAIUSC012_00949_SEQ_08",""
9,"TEXT_GAIUSC012_00949_SEQ_09",""
10,"TEXT_GAIUSC012_00949_SEQ_10",""
11,"TEXT_GAIUSC012_00949_SEQ_11",""
12,"TEXT_GAIUSC012_00949_SEQ_12",""
13,"TEXT_GAIUSC012_00949_SEQ_13",""
14,"TEXT_GAIUSC012_00949_SEQ_14",""
15,"TEXT_GAIUSC012_00949_SEQ_15",""
16,"TEXT_GAIUSC012_00949_SEQ_16",""
17,"TEXT_GAIUSC012_00949_SEQ_17",""
18,"TEXT_GAIUSC012_00949_SEQ_18",""
19,"TEXT_GAIUSC012_00949_SEQ_19",""
20,"TEXT_GAIUSC012_00949_SEQ_20",""
21,"TEXT_GAIUSC012_00949_SEQ_21",""
22,"TEXT_GAIUSC012_00949_SEQ_22",""
23,"TEXT_GAIUSC012_00949_SEQ_23",""
24,"TEXT_GAIUSC012_00949_TODO_00","Rescue the researcher."
25,"TEXT_GAIUSC012_00949_TODO_01","Report to Ourdilic."
26,"TEXT_GAIUSC012_00949_TODO_02",""
27,"TEXT_GAIUSC012_00949_TODO_03",""
28,"TEXT_GAIUSC012_00949_TODO_04",""
29,"TEXT_GAIUSC012_00949_TODO_05",""
30,"TEXT_GAIUSC012_00949_TODO_06",""
31,"TEXT_GAIUSC012_00949_TODO_07",""
32,"TEXT_GAIUSC012_00949_TODO_08",""
33,"TEXT_GAIUSC012_00949_TODO_09",""
34,"TEXT_GAIUSC012_00949_TODO_10",""
35,"TEXT_GAIUSC012_00949_TODO_11",""
36,"TEXT_GAIUSC012_00949_TODO_12",""
37,"TEXT_GAIUSC012_00949_TODO_13",""
38,"TEXT_GAIUSC012_00949_TODO_14",""
39,"TEXT_GAIUSC012_00949_TODO_15",""
40,"TEXT_GAIUSC012_00949_TODO_16",""
41,"TEXT_GAIUSC012_00949_TODO_17",""
42,"TEXT_GAIUSC012_00949_TODO_18",""
43,"TEXT_GAIUSC012_00949_TODO_19",""
44,"TEXT_GAIUSC012_00949_TODO_20",""
45,"TEXT_GAIUSC012_00949_TODO_21",""
46,"TEXT_GAIUSC012_00949_TODO_22",""
47,"TEXT_GAIUSC012_00949_TODO_23",""
48,"TEXT_GAIUSC012_00949_OURDILIC_000_000","Never has the course of research run smooth at Snowcloak. We are bedeviled by ice sprites, for one."
49,"TEXT_GAIUSC012_00949_OURDILIC_000_001","I suspect the sprites are to blame for our latest problem─a researcher on a sample-drilling duty is late returning to camp."
50,"TEXT_GAIUSC012_00949_OURDILIC_000_002","The sprites delight in tormenting some more than others, and, well, he's just one of those fellows. Will you rush to his rescue?"
51,"TEXT_GAIUSC012_00949_NPCA_000_010","You <Emphasis>saved</Emphasis> me! <If(PlayerParameter(4))>I think I'm in love with you!<Else/>You're my best friend!</If> Let us return to the camp together─oh, you have something dangerous to do first? Um, all right. I'll just...see you later!"
52,"TEXT_GAIUSC012_00949_NPCB_000_020",""
53,"TEXT_GAIUSC012_00949_OURDILIC_000_030","Welcome back, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>. I just spoke with that whey-face. I made certain he understands you are a busy <If(PlayerParameter(4))>woman<Else/>man</If>, also."
54,"TEXT_GAIUSC012_00949_OURDILIC_000_031","Thanks to you, we too can busy ourselves with our mission! There will still be much hardship, but with your help, we <Emphasis>shall</Emphasis> find a way through the ice wall!"
55,"TEXT_GAIUSC012_00949_POP_MESSAGE_000","You sense a sudden chill in the air!"
56,"TEXT_GAIUSC012_00949_ACCESS_MESSAGE","The sprite still lives!"
