0,TEXT_KINGLA501_04996_SEQ_00,Donuhanu est inquiet pour l'avenir de sa boutique.
1,TEXT_KINGLA501_04996_SEQ_01,"Vous avez fait con­nais­san­ce avec Donuhanu, le truculent pro­prié­taire de la poissonnerie du bazar aux Mille Perles. Alors que vous discutiez du futur de sa boutique, vous avez été interrompus par un Mamool Ja qui semblait avoir besoin de votre aide. Rendez-vous sur les quais à proximité et parlez au pêcheur amical."
2,TEXT_KINGLA501_04996_SEQ_02,"Vous avez rencontré un jeune Whalaqee à la recherche de poissons bien particuliers pour parfaire le sort qui l'aidera à passer une série d'épreuves. Donuhanu a répondu favorablement à cette étrange requête, ravi de pouvoir servir un client aux goûts similaires aux siens. Retournez au bazar aux Mille Perles et demandez à votre ami hanu hanu ce qu'il a en tête."
3,TEXT_KINGLA501_04996_SEQ_03,"Enthousiaste à l'idée d'aider Pashenine, Donuhanu vous a demandé quelques instants afin de réfléchir au type de poisson qui répondra aux attentes du jeune homme. Préparez votre canne et vos meilleurs appâts, car nul doute que vos talents de pêcheuse seront bientôt requis !"
4,TEXT_KINGLA501_04996_SEQ_04,
5,TEXT_KINGLA501_04996_SEQ_05,
6,TEXT_KINGLA501_04996_SEQ_06,
7,TEXT_KINGLA501_04996_SEQ_07,
8,TEXT_KINGLA501_04996_SEQ_08,
9,TEXT_KINGLA501_04996_SEQ_09,
10,TEXT_KINGLA501_04996_SEQ_10,
11,TEXT_KINGLA501_04996_SEQ_11,
12,TEXT_KINGLA501_04996_SEQ_12,
13,TEXT_KINGLA501_04996_SEQ_13,
14,TEXT_KINGLA501_04996_SEQ_14,
15,TEXT_KINGLA501_04996_SEQ_15,
16,TEXT_KINGLA501_04996_SEQ_16,
17,TEXT_KINGLA501_04996_SEQ_17,
18,TEXT_KINGLA501_04996_SEQ_18,
19,TEXT_KINGLA501_04996_SEQ_19,
20,TEXT_KINGLA501_04996_SEQ_20,
21,TEXT_KINGLA501_04996_SEQ_21,
22,TEXT_KINGLA501_04996_SEQ_22,
23,TEXT_KINGLA501_04996_SEQ_23,
24,TEXT_KINGLA501_04996_TODO_00,Parler au pêcheur amical
25,TEXT_KINGLA501_04996_TODO_01,Parler à Donuhanu
26,TEXT_KINGLA501_04996_TODO_02,
27,TEXT_KINGLA501_04996_TODO_03,
28,TEXT_KINGLA501_04996_TODO_04,
29,TEXT_KINGLA501_04996_TODO_05,
30,TEXT_KINGLA501_04996_TODO_06,
31,TEXT_KINGLA501_04996_TODO_07,
32,TEXT_KINGLA501_04996_TODO_08,
33,TEXT_KINGLA501_04996_TODO_09,
34,TEXT_KINGLA501_04996_TODO_10,
35,TEXT_KINGLA501_04996_TODO_11,
36,TEXT_KINGLA501_04996_TODO_12,
37,TEXT_KINGLA501_04996_TODO_13,
38,TEXT_KINGLA501_04996_TODO_14,
39,TEXT_KINGLA501_04996_TODO_15,
40,TEXT_KINGLA501_04996_TODO_16,
41,TEXT_KINGLA501_04996_TODO_17,
42,TEXT_KINGLA501_04996_TODO_18,
43,TEXT_KINGLA501_04996_TODO_19,
44,TEXT_KINGLA501_04996_TODO_20,
45,TEXT_KINGLA501_04996_TODO_21,
46,TEXT_KINGLA501_04996_TODO_22,
47,TEXT_KINGLA501_04996_TODO_23,
48,TEXT_KINGLA501_04996_DONUHANU_000_000,"Hou ! Tu es la pêcheuse que Ropli a dégotée, si je ne m'abuse..."
49,TEXT_KINGLA501_04996_DONUHANU_100_000,"Dis, ça te botterait de me succéder à la tête des Poissons pétulants ?"
50,TEXT_KINGLA501_04996_DONUHANU_000_001,"Grahahaha ! C'est juste une blague, enfin ! Ah là là, les jeunes ont perdu le sens de l'humour..."
51,TEXT_KINGLA501_04996_DONUHANU_000_002,"J'étais en train de réfléchir au futur de la boutique, et quand je t'ai vue arriver avec tes yeux de merlan frit, j'ai pas pu m'empêcher."
52,TEXT_KINGLA501_04996_DONUHANU_000_003,"Vois-tu, chez moi, on fait pas dans la sardine ou le cabillaud. Non, sur mes étals, je mets un point d'honneur à ne proposer..."
53,TEXT_KINGLA501_04996_DONUHANU_000_004,"... que les spécimens ichtyologiques les plus pittoresques, les plus puissants, les plus piquants ou encore les plus précieux !"
