key,0,1
#,,
int32,str,str
0,"TEXT_AKTKMA115_04371_SEQ_00","Estinien semble en pleine réflexion."
1,"TEXT_AKTKMA115_04371_SEQ_01",""
2,"TEXT_AKTKMA115_04371_SEQ_02",""
3,"TEXT_AKTKMA115_04371_SEQ_03",""
4,"TEXT_AKTKMA115_04371_SEQ_04",""
5,"TEXT_AKTKMA115_04371_SEQ_05",""
6,"TEXT_AKTKMA115_04371_SEQ_06",""
7,"TEXT_AKTKMA115_04371_SEQ_07",""
8,"TEXT_AKTKMA115_04371_SEQ_08",""
9,"TEXT_AKTKMA115_04371_SEQ_09",""
10,"TEXT_AKTKMA115_04371_SEQ_10",""
11,"TEXT_AKTKMA115_04371_SEQ_11",""
12,"TEXT_AKTKMA115_04371_SEQ_12",""
13,"TEXT_AKTKMA115_04371_SEQ_13",""
14,"TEXT_AKTKMA115_04371_SEQ_14",""
15,"TEXT_AKTKMA115_04371_SEQ_15",""
16,"TEXT_AKTKMA115_04371_SEQ_16",""
17,"TEXT_AKTKMA115_04371_SEQ_17",""
18,"TEXT_AKTKMA115_04371_SEQ_18",""
19,"TEXT_AKTKMA115_04371_SEQ_19",""
20,"TEXT_AKTKMA115_04371_SEQ_20",""
21,"TEXT_AKTKMA115_04371_SEQ_21",""
22,"TEXT_AKTKMA115_04371_SEQ_22",""
23,"TEXT_AKTKMA115_04371_SEQ_23",""
24,"TEXT_AKTKMA115_04371_TODO_00","Observer les environs à l'endroit indiqué"
25,"TEXT_AKTKMA115_04371_TODO_01","Observer les environs à l'endroit indiqué suivant"
26,"TEXT_AKTKMA115_04371_TODO_02","Retrouver Matsya"
27,"TEXT_AKTKMA115_04371_TODO_03","Secourir Matsya"
28,"TEXT_AKTKMA115_04371_TODO_04","Parler à Matsya, à Akyaali"
29,"TEXT_AKTKMA115_04371_TODO_05","Recueillir des in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions à Akyaali"
30,"TEXT_AKTKMA115_04371_TODO_06","Parler à Matsya"
31,"TEXT_AKTKMA115_04371_TODO_07",""
32,"TEXT_AKTKMA115_04371_TODO_08",""
33,"TEXT_AKTKMA115_04371_TODO_09",""
34,"TEXT_AKTKMA115_04371_TODO_10",""
35,"TEXT_AKTKMA115_04371_TODO_11",""
