key,0,1
#,,
int32,str,str
0,"TEXT_BANDWA109_03910_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> Schwierigkeitsanpassung (Job/Klasse darf nicht gewechselt werden)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Regitt will noch mehr Fässer aufmachen."
1,"TEXT_BANDWA109_03910_SEQ_01","Rede mit Shigitt."
2,"TEXT_BANDWA109_03910_SEQ_02","Bring die gewünschten Waren nach Ostalls Befehl zum Fassbauerzwerg."
3,"TEXT_BANDWA109_03910_SEQ_03","Erstatte Regitt Bericht."
4,"TEXT_BANDWA109_03910_SEQ_04",""
5,"TEXT_BANDWA109_03910_SEQ_05",""
6,"TEXT_BANDWA109_03910_SEQ_06",""
7,"TEXT_BANDWA109_03910_SEQ_07",""
8,"TEXT_BANDWA109_03910_SEQ_08",""
9,"TEXT_BANDWA109_03910_SEQ_09",""
10,"TEXT_BANDWA109_03910_SEQ_10",""
11,"TEXT_BANDWA109_03910_SEQ_11",""
12,"TEXT_BANDWA109_03910_SEQ_12",""
13,"TEXT_BANDWA109_03910_SEQ_13",""
14,"TEXT_BANDWA109_03910_SEQ_14",""
15,"TEXT_BANDWA109_03910_SEQ_15",""
16,"TEXT_BANDWA109_03910_SEQ_16",""
17,"TEXT_BANDWA109_03910_SEQ_17",""
18,"TEXT_BANDWA109_03910_SEQ_18",""
19,"TEXT_BANDWA109_03910_SEQ_19",""
20,"TEXT_BANDWA109_03910_SEQ_20",""
21,"TEXT_BANDWA109_03910_SEQ_21",""
22,"TEXT_BANDWA109_03910_SEQ_22",""
23,"TEXT_BANDWA109_03910_SEQ_23",""
24,"TEXT_BANDWA109_03910_TODO_00","Mit Shigitt reden"
