key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZB003_03381_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> Schwierigkeitsanpassung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Die Versorgungsoffizierin der Jobb-Feste scheint bis zum Hals in den Wieder<SoftHyphen/>aufbauarbeiten von Holminster zu stecken."
1,"TEXT_LUCKZB003_03381_SEQ_01",""
2,"TEXT_LUCKZB003_03381_SEQ_02",""
3,"TEXT_LUCKZB003_03381_SEQ_03",""
4,"TEXT_LUCKZB003_03381_SEQ_04",""
5,"TEXT_LUCKZB003_03381_SEQ_05",""
6,"TEXT_LUCKZB003_03381_SEQ_06",""
7,"TEXT_LUCKZB003_03381_SEQ_07",""
8,"TEXT_LUCKZB003_03381_SEQ_08",""
9,"TEXT_LUCKZB003_03381_SEQ_09",""
10,"TEXT_LUCKZB003_03381_SEQ_10",""
11,"TEXT_LUCKZB003_03381_SEQ_11",""
12,"TEXT_LUCKZB003_03381_SEQ_12",""
13,"TEXT_LUCKZB003_03381_SEQ_13",""
14,"TEXT_LUCKZB003_03381_SEQ_14",""
15,"TEXT_LUCKZB003_03381_SEQ_15",""
16,"TEXT_LUCKZB003_03381_SEQ_16",""
17,"TEXT_LUCKZB003_03381_SEQ_17",""
18,"TEXT_LUCKZB003_03381_SEQ_18",""
19,"TEXT_LUCKZB003_03381_SEQ_19",""
20,"TEXT_LUCKZB003_03381_SEQ_20",""
21,"TEXT_LUCKZB003_03381_SEQ_21",""
22,"TEXT_LUCKZB003_03381_SEQ_22",""
23,"TEXT_LUCKZB003_03381_SEQ_23",""
24,"TEXT_LUCKZB003_03381_TODO_00","Mit der Versorgungsoffizierin sprechen"
25,"TEXT_LUCKZB003_03381_TODO_01","Die vorhandenen Ressourcen um den Nördlichen Sammelpunkt überprüfen"
26,"TEXT_LUCKZB003_03381_TODO_02","Der Versorgungsoffizierin <SheetDe(EventItem,2,2002854,1,4,1)/> geben"
27,"TEXT_LUCKZB003_03381_TODO_03","Mit der Versorgungsoffizierin sprechen"
28,"TEXT_LUCKZB003_03381_TODO_04",""
29,"TEXT_LUCKZB003_03381_TODO_05",""
30,"TEXT_LUCKZB003_03381_TODO_06",""
31,"TEXT_LUCKZB003_03381_TODO_07",""
