#,Name,Description
0,,
74,Engage,Synthèse (matériau principal obtenu via les expéditions en aéronef)
75,Defender of the Realm,"Haut fait ""Mélomane mécanique III"""
76,On Windy Meadows,Chasse aux trésors
77,Whisper of the Land,Chasse aux trésors
78,Twilight over Thanalan,Chasse aux trésors
79,Dragonsong,Récompense de l'épopée
80,All Saints' Wake,Récompense d'événement saisonnier
81,Up at Dawn,Récompense d'événement saisonnier
82,Starlight Celebration,Récompense d'événement saisonnier
83,Heavensturn,Récompense d'événement saisonnier
84,The Seventh Sun,"Haut fait ""Mélomane mécanique V"""
85,Smoulder,Échange au camp de la Ligue des cendres
86,Coming Home,Échange à Ok' Gundu Nakki
87,Nobility Sleeps,En vente à Ishgard
88,Night in the Brume,En vente à Ishgard
89,Behind Closed Doors,"En vente à Gridania, Ul'dah et Limsa Lominsa"
90,Reflections,Échange (notamment au Mor Dhona)
91,Close to the Heavens,Synthèse (matériau principal obtenu sur une cible d'élite de L'Écume des cieux d'Abalathia)
92,Unspoken,Chasse aux trésors
93,Where the Heart Is,En vente aux quartiers résidentiels
94,Homestead,En vente à Idyllée
95,Calamity Unbound,Chasse aux trésors
96,Battle Theme 1.x,Échange au Gold Saucer
97,Blackbosom,Palais des morts
98,Fog of Phantom,Échange au Moulin de la Carrière (seulement après avoir conquis le 150e sous-sol du Palais des morts)
99,Blasphemous Experiment,Échange au Moulin de la Carrière (seulement après avoir conquis le 100e sous-sol du Palais des morts)
100,Notice of Death,Échange au Moulin de la Carrière (seulement après avoir conquis le 200e sous-sol du Palais des morts)
101,Slumber Eternal,Sohm Al
102,Silver Tears,Le Gardien du lac
103,Grounded,Récompense de l'épopée
104,Footsteps in the Snow,"Synthèse (matériau principal obtenu dans le défi ""L'Amphithéâtre d'Akh Afah (extrême)"")
* Meilleures chances d'obtention au niveau d'objet minimum"
105,Oblivion,"Synthèse (matériau principal obtenu dans le défi ""L'Amphithéâtre d'Akh Afah (extrême)"")
* Meilleures chances d'obtention au niveau d'objet minimum"
106,Thunder Rolls,"Synthèse (matériau principal obtenu dans le défi ""L'Arbre du jugement (extrême)"")
* Meilleures chances d'obtention au niveau d'objet minimum"
107,Equilibrium,"Synthèse (matériau principal obtenu dans le défi ""Unité de contention P1P6 (extrême)"")
* Meilleures chances d'obtention au niveau d'objet minimum"
108,"Sins of the Father, Sins of the Son",Récompense de quête
109,Locus,Récompense de quête
110,Metal,Récompense de quête
111,Metal - Brute Justice Mode,Récompense de quête
112,Exponential Entropy,Récompense de quête
113,Rise,Récompense de quête
114,Borderless (Duality),Code promotionnel
115,Unbending Steel (Duality),Code promotionnel
116,The Kiss,Récompense d'événement saisonnier
117,Flibbertigibbet,Échange au Refuge
118,Piece of Mind,Échange à Loth ast Vath
119,Frontiers Within,Échange (notamment au Mor Dhona)
120,Fleeting Rays,En vente au Viaduc
121,Saltswept,En vente à Port-aux-Ales
122,Thicker than a Knife's Blade,Échange au Chevalier oublié
123,Jewel,Échange à Azurée et coffre verrouillé du Diadème
124,He who Continues the Attack,Récompense de quête
125,Imperial Will,Récompense de l'épopée
126,Steel Reason,Récompense de l'épopée
127,Canticle,En vente aux quartiers résidentiels
128,Forever Lost,Récompense de l'épopée
129,Breaking Boundaries,Chasse aux trésors
130,Hallowed Halls,La Voûte
131,Quicksand,Récompense de quête
132,Another Brick,Récompense de l'épopée
133,The Corpse Hall,"Synthèse (matériau principal obtenu dans le défi ""La Fontaine d'Urth"")
* Meilleures chances d'obtention au niveau d'objet minimum"
134,Limitless Blue,"Synthèse (matériau principal obtenu dans le défi ""L'Immensité bleue (extrême)"")
* Meilleures chances d'obtention au niveau d'objet minimum"
135,Woe that Is Madness,"Synthèse (matériau principal obtenu dans le défi ""L'Immensité bleue (extrême)"")
* Meilleures chances d'obtention au niveau d'objet minimum"
136,The Hand that Gives the Rose,"Synthèse (matériau principal obtenu dans le défi ""Thok ast Thok (extrême)"")
* Meilleures chances d'obtention au niveau d'objet minimum"
137,Unbending Steel,"Synthèse (matériau principal obtenu dans le défi ""Thok ast Thok (extrême)"")
* Meilleures chances d'obtention au niveau d'objet minimum"
138,Infinity,"Synthèse (matériau principal obtenu dans le défi ""Unité de contention Z1P9 (extrême)"")
* Meilleures chances d'obtention au niveau d'objet minimum"
139,Tempest,Échange au Gold Saucer
140,Spiral,Échange au Gold Saucer
141,Moebius,Échange (notamment à Idyllée)
142,Aetherosphere,Échange (notamment à Idyllée)
143,Six Fulms Under,Échange (notamment à Idyllée)
144,Teardrops in the Rain,Échange (notamment à Idyllée)
145,A Thousand Faces,Échange (notamment à Idyllée)
146,Promises,Récompense de quête
147,Shadow of the Body,Récompense de quête
148,Hyper Rainbow Z,Récompense d'événement saisonnier
149,Answers - Reprise,Récompense d'événement saisonnier
150,Stormblood,Récompense d'événement saisonnier
151,Vagues calmes,En vente aux quartiers résidentiels
152,Gazouillement délicat,En vente aux quartiers résidentiels
153,Bruissement de la pluie,En vente aux quartiers résidentiels
154,Chant des cigales,En vente aux quartiers résidentiels
155,Poison Ivy,L'Arboretum Sainte-Mocianne
156,Bibliophobia,La Grande bibliothèque de Gubal (brutal)
157,Revelation,"Synthèse (matériau principal obtenu dans le défi ""La Crique aux tributs (extrême)"")
* Meilleures chances d'obtention au niveau d'objet minimum"
158,Beauty's Wicked Wiles,"Synthèse (matériau principal obtenu dans le défi ""Émanation (extrême)"")
* Meilleures chances d'obtention au niveau d'objet minimum"
159,Skylords,Synthèse (matériau principal obtenu sur une cible d'élite de L'Écume des cieux de Dravania)
160,The Silent Regard of Stars,Synthèse (matériau principal obtenu sur une cible d'élite de l'Arrière-pays dravanien)
161,Beyond the Wall,"ALÉA dans Les Marges de Gyr Abania ""Défi : mauvaise graine"""
162,Liquid Flame,"ALÉA dans la Mer de Rubis ""Défi : amocher les daimyo"""
163,Drowning in the Horizon,Échange à L'Étendue de Rhalgr et à Kugane
164,The Edge,En vente à Port-aux-Vins
165,Navigator's Glory - The Theme of Limsa Lominsa,Chasse aux trésors
166,Born of the Boughs - The Theme of Gridania,Chasse aux trésors
167,The Twin Faces of Fate - The Theme of Ul'dah,Chasse aux trésors
168,Bruits d'insectes,En vente aux quartiers résidentiels
169,Feu de camp,En vente aux quartiers résidentiels
170,Cuisine du matin,En vente aux quartiers résidentiels
171,Birds of Prey,Échange à l'Antre des loups
172,The Measure of His Reach,Récompense de l'épopée
173,The Measure of Our Reach,Récompense de l'épopée
174,Impact,Échange (notamment à L'Étendue de Rhalgr)
175,Crimson Sunrise,Chasse aux trésors
176,On High,Échange (notamment à L'Étendue de Rhalgr)
177,Songs of Salt and Suffering,Échange (notamment à L'Étendue de Rhalgr)
178,A Father's Pride,Chasse aux trésors
179,Indomitable,Échange à Tamamizu
180,The Open Box,Le Palais aux Marées violettes
181,Most Unworthy,La Force de Bardam
182,Deception,Le Château de Kugane
183,Far From Home,La Cité engloutie de Skalla
184,The Worm's Head,"Synthèse (matériau principal obtenu dans un défi du ménestrel errant dans Stormblood)
* Meilleures chances d'obtention au niveau d'objet minimum"
185,The Worm's Tail,"Synthèse (matériau principal obtenu dans un défi du ménestrel errant dans Stormblood)
* Meilleures chances d'obtention au niveau d'objet minimum"
186,Trisection,La Cité royale de Rabanastre
187,Precipitous Combat,La Cité royale de Rabanastre
188,Ultima's Transformation,La Cité royale de Rabanastre
189,Protagonist's Theme,Récompense de quête
190,Background Story,Récompense de quête
191,Ultima (Orchestral Version),Code promotionnel
192,Heroes (Orchestral Version),Code promotionnel
193,Starlit Gateway,Récompense d'événement saisonnier
194,Chant du ruisseau,En vente aux quartiers résidentiels
195,Rue animée,En vente aux quartiers résidentiels
196,Cloche de temple,En vente aux quartiers résidentiels
197,Cloche de chapelle,En vente aux quartiers résidentiels
198,Cyan's Theme,Récompense de quête
199,Iroha,Récompense de quête
200,Daring Dalliances,Échange au Gold Saucer
201,Prelude - Long March Home,"Haut fait ""Mélomane mécanique VI"""
202,Rival Wings,Échange à l'Antre des loups
203,Crimson Sunset,Chasse aux trésors
204,Westward Tide,Échange (notamment à L'Étendue de Rhalgr)
205,A Mother's Pride,Chasse aux trésors
206,He Rises Above,Échange (notamment à L'Étendue de Rhalgr)
207,Keepers of the Lock,Échange à Castellum Velodyna
208,Wicked Winds Whisper,Coffre verrouillé d'Eurêka Anemos
209,No Quarter,Coffre verrouillé d'Eurêka Anemos
210,Down Where Daemons Dwell,Le Couvercle des enfers
211,Unbreakable (Duality),Le Continuum fractal (brutal)
212,Their Deadly Mission,Le Temple du Poing
213,Liberty or Death,Ala Mhigo
214,Triumph,Échange au Gold Saucer
215,Answer on High,"Synthèse (matériau principal obtenu dans le défi ""La Clairière de Jade (extrême)"")
* Meilleures chances d'obtention au niveau d'objet minimum"
216,Amatsu Kaze,"Synthèse (matériau principal obtenu dans le défi ""La Clairière de Jade (extrême)"")
* Meilleures chances d'obtention au niveau d'objet minimum"
217,Revenge Twofold,Échange au Gold Saucer
218,Shattered,La Tour de Cristal - Tour de Syrcus
219,Fragments of Forever,En vente aux quartiers résidentiels
220,Siren Song,Récompense d'événement saisonnier
221,Tintement de carillon à vent,En vente aux quartiers résidentiels
222,Ambiance sous-marine,Synthèse (matériau principal obtenu via les expéditions en sous-marin)
223,Victory or Death,En vente au quartier enclavé
224,Far East of Eorzea,Échange à L'Entorse
225,Parting Ways,Pilier des Cieux
226,Revolutions,Récompense d'événement saisonnier
227,The Ancient City,Les Vestiges de la cité d'Amdapor (brutal)
228,Gates of the Moon,Le Château de Doma
229,"Earth, Wind, and Water",Le Compas de l'Hirondelle
230,Black and White,Synthèse (matériau principal obtenu sur une cible d'élite des Hautes terres du Coerthas occidental)
231,Seven Hundred Seventy-Seven Whiskers,Échange à Dhoro Iloh
232,World Map,Récompense de quête
233,A Chapel,Récompense de quête
234,The Mystery of Giruvegan,Le Phare de Ridorana
235,Apoplexy,Le Phare de Ridorana
236,Flash of Steel,Le Phare de Ridorana
237,Cornerstone of the New World - Astera,Échange à Kugane
238,Savage of the Ancient Forest,Échange à Kugane
239,Proof of a Hero - Monster Hunter: World Version,Chasse au Rathalos (extrême)
240,Nightbloom,"Synthèse (matériau principal obtenu dans un défi du ménestrel errant dans Stormblood)
* Meilleures chances d'obtention au niveau d'objet minimum"
241,Wayward Daughter,"Synthèse (matériau principal obtenu dans un défi du ménestrel errant dans Stormblood)
* Meilleures chances d'obtention au niveau d'objet minimum"
242,Rise of the White Raven (Orchestral Version),Achat sur la boutique en ligne ou obtention en tant qu'objet bonus
243,Revenge Twofold (Orchestral Version),Achat sur la boutique en ligne ou obtention en tant qu'objet bonus
244,Oblivion (Orchestral Version),Achat sur la boutique en ligne ou obtention en tant qu'objet bonus
245,"Starlight, Starbright",Récompense d'événement saisonnier
246,Cradle,En vente dans le quartier enclavé de Doma
247,Upon the Rocks,Le Phare de Sirius (brutal) et le Kupo de la fortune d'Azurée
248,Tricksome,Le Palais du Vagabond (brutal) et le Kupo de la fortune d'Azurée
249,Beneath Bloodied Banners,Halatali (brutal)
250,From Mud,L'Arboretum Sainte-Mocianne (brutal)
251,A Land Long Dead,L'Escarre
252,Sunrise,"Synthèse (matériau principal obtenu dans le défi ""Le Nid des Lamentations (extrême)"")
* Meilleures chances d'obtention au niveau d'objet minimum"
253,Omega Squared,Deltastice v1.0 à v3.0
254,Decisions (Omega),Deltastice v4.0
255,"Final, Not Final",Échange (notamment à L'Étendue de Rhalgr)
256,A Battle Decisively,Sigmastice v1.0 à v3.0
257,Dancing Mad - Movement I,Sigmastice v4.0
258,Dancing Mad - Movement II,Sigmastice v4.0
259,Dancing Mad - Movement III,Sigmastice v4.0
260,Dancing Mad - Movement IV,Échange (notamment à L'Étendue de Rhalgr)
261,Battle,Alphastice v1.0
262,Primogenitor,Alphastice v2.0
263,eScape,Alphastice v3.0
264,Heartless,Alphastice v4.0
265,Deltascape,Récompense de quête
266,A Dream in Flight,Récompense de quête
267,Ending,Récompense de quête
268,From the Dragon's Wake,"Synthèse (matériau principal obtenu dans le défi ""L'Îlot des Amertumes (extrême)"")
* Meilleures chances d'obtention au niveau d'objet minimum"
269,A Pall Most Murderous,Les Ténèbres de Ghimlyt
270,Game Theory,Échange au Gold Saucer
271,Doman Distractions,"Haut fait ""Tuiles essentielles I"""
272,Serenity (Orchestral Version),Achat sur la boutique en ligne ou obtention en tant qu'objet bonus
273,Calamity Unbound (Orchestral Version),Achat sur la boutique en ligne ou obtention en tant qu'objet bonus
274,Ominous Prognisticks (Orchestral Version),Achat sur la boutique en ligne ou obtention en tant qu'objet bonus
275,From the Heavens,Échange (notamment à L'Étendue de Rhalgr)
276,Rise of Heroes (Chiptune Version),Échange au Gold Saucer
277,Wayward Daughter (Chiptune Version),Code promotionnel
278,The Worm's Tail (Chiptune Version),Code promotionnel
279,Rise (The Primals),Code promotionnel
280,Oblivion (GUNN Vocals),Code promotionnel
281,Painted Foothills (Orchestral Version),Achat sur la boutique en ligne ou obtention en tant qu'objet bonus
282,Moebius (Orchestral Version),Achat sur la boutique en ligne ou obtention en tant qu'objet bonus
283,Afterglow,Échange (notamment à L'Étendue de Rhalgr)
284,Hope Forgotten,Échange (notamment à L'Étendue de Rhalgr)
285,The Stone Remembers,Échange (notamment à L'Étendue de Rhalgr)
286,Old Wounds,Échange (notamment à L'Étendue de Rhalgr)
287,Harmony,Échange (notamment à L'Étendue de Rhalgr)
288,Gates of Paradise - The Garden of Ru'Hmet,Coffre verrouillé d'Eurêka Hydatos
289,Onslaught,Coffre rouillé verrouillé d'Eurêka Hydatos
290,Turmoil,L'Arsenal de Baldesion d'Eurêka Hydatos
291,Beyond Redemption,Échange à Vieille Gridania
292,Staff Credits,Récompense de quête
293,Alma's Theme,Récompense de quête
294,Under the Stars,Le Monastère d'Orbonne
295,Pressure (No. 1),Le Monastère d'Orbonne
296,Antipyretic,Le Monastère d'Orbonne
297,A Man Consumed,Le Monastère d'Orbonne
298,Ultima's Perfection,Le Monastère d'Orbonne
299,Hammerhead,"Échange à la gare de Roncenoire, à Gridania, à Ul'dah et à Limsa Lominsa"
300,Valse di Fantastica,"Échange à la gare de Roncenoire, à Gridania, à Ul'dah et à Limsa Lominsa"
301,Relax and Reflect,"Échange à la gare de Roncenoire, à Gridania, à Ul'dah et à Limsa Lominsa"
302,Veiled in Black,"Échange à la gare de Roncenoire, à Gridania, à Ul'dah et à Limsa Lominsa"
303,Apocalypsis Noctis,"Échange à la gare de Roncenoire, à Gridania, à Ul'dah et à Limsa Lominsa"
304,A Quick Pit Stop,"Échange à la gare de Roncenoire, à Gridania, à Ul'dah et à Limsa Lominsa"
305,The Worm's Tail (Journeys Version),Code promotionnel
306,eScape (Journeys Version),Code promotionnel
307,The Source,Échange à Grand-Lac
308,A World Divided,Échange à Kholusia
309,Sands of Amber,Échange en Amh Araeng
310,Fierce and Free,Échange en Il Mheg
311,Civilizations,Échange à Rak'tika
312,Full Fathom Five,Échange quelque part en Norvrandt
313,What Angel Wakes Me,"Synthèse (matériau principal obtenu dans le défi ""La Valse du Monarque (extrême)"")
* Meilleures chances d'obtention au niveau d'objet minimum"
314,Insanity,"Synthèse (matériau principal obtenu dans le défi ""La Couronne de l'Immaculé (extrême)"")
* Meilleures chances d'obtention au niveau d'objet minimum"
315,Shadowbringers,Récompense de quête
316,Tomorrow and Tomorrow,Récompense de quête
317,To Fire and Sword,Holminster
318,Figments,Dohn Mheg
319,Unwound,L'Enchevêtrement des Qitari
320,Deep Down,Le Puits de Malikah
321,In the Belly of the Beast,Mont Gulg
322,Mortal Instants,Amaurote
323,Shadows Withal,Akadaemia Anydre
324,A Long Fall,La Macle de Syrcus
325,Alienus,Castrum Abania
326,Fury,Le Bivouac de Brayflox (brutal)
327,Force Your Way,L'Éveil d'Éden - Résurrection ou Descente
328,Landslide,L'Éveil d'Éden - Inhumation
329,Rencounter,Échange à Cristarium et à Eulmore
330,Insatiable,Chasse aux trésors
331,The Dark Which Illuminates the World,Échange à Cristarium
332,Indulgence,Échange à Eulmore
333,Blinding Indigo,L'Éveil d'Éden - Déluge
334,Knowledge Never Sleeps,Échange à Cristarium
335,Masquerade,Échange à Eulmore
336,"Unchanging, Everchanging",Échange à Grand-Lac
337,The Quick Way,Échange à Kholusia
338,Sands of Blood,Échange en Amh Araeng
339,The Faerie Ring,Échange en Il Mheg
340,A Hopeless Race,Échange à Rak'tika
341,Neath Dark Waters,Échange à La Tempête
342,Pain in Pleasure,Récompense de quête
343,Invincible,"Synthèse (matériau principal obtenu dans un défi du ménestrel itinérant dans Shadowbringers)
* Meilleures chances d'obtention au niveau d'objet minimum"
344,The Grand Cosmos,Le Cosmos Coruscant
345,The Garden's Gates,Échange en Il Mheg
346,A Fierce Air Forceth,Échange à l'Antre des loups
347,A Fine Air Forbiddeth,Échange à l'Antre des loups
348,Starlight de Chocobo,Récompense d'événement saisonnier
349,Safety in Numbers,Échange à Azurée
350,Significance (Nothing),Récompense de quête
351,City Ruins (Rays of Light),La réplique de l'usine désaffectée
352,The Sound of the End,La tour de la Contingence
353,Voice of no Return (Guitar),Récompense de quête
354,Alien Manifestation,La réplique de l'usine désaffectée
355,Song of the Ancients (Atonement),La réplique de l'usine désaffectée
356,Bipolar Nightmare,La réplique de l'usine désaffectée
357,Weight of the World (Prelude Version),La réplique de l'usine désaffectée
358,Tsukuyomi's Pain (Orchestral Version),Code promotionnel
359,The Worm's Tail (Orchestral Version),Code promotionnel
360,Nail of the Heavens,Échange à Ul'dah
361,Imperium,Échange à Ul'dah
362,Blue Fields,Récompense de quête
363,Twice Stricken,Les Accords d'Éden - Fulmination
364,Primal Angel,Les Accords d'Éden - Fureur
365,Return to Oblivion,Les Accords d'Éden - Éclat
366,Ultima (The Primals),"Synthèse (matériau principal obtenu dans le défi ""Les Nuées de Brandons (extrême)"")
* Meilleures chances d'obtention au niveau d'objet minimum"
367,,
368,The Maiden's Lament,Le Manoir des Haukke
369,The Darkhold,La Forteresse de Dzemael
370,Floundering in the Depths,Anamnesis Anydre
371,Hopl's Dropple,Échange au plateau de Hopl
372,Crumbling Lies (Front),Récompense de quête
373,Vamo' alla Flamenco,Échange au Gold Saucer
374,Paradise Found,Échange à Azurée
375,Fealty,Échange à Azurée
376,Stone and Steel,Échange à Azurée
377,The Mendicant's Relish,Échange à Azurée
378,Bedlam's Brink,Échange à La Tempête
379,A Reason to Live,Échange en Il Mheg
380,No Greater Sorrow,Échange à Eulmore
381,On Our Fates Alight,Chasse aux trésors
382,Order Yet Undeciphered,Échange à Azurée
383,Watts's Anvil,Échange au Garage Watts
384,,
385,Eternal Wind - Shadowbringers,"Synthèse (matériau principal obtenu dans un défi du ménestrel itinérant dans Shadowbringers)
* Meilleures chances d'obtention au niveau d'objet minimum"
386,To the Edge,"Synthèse (matériau principal obtenu dans un défi du ménestrel itinérant dans Shadowbringers)
* Meilleures chances d'obtention au niveau d'objet minimum"
387,Wind on the Plains,Coffre verrouillé du Front sud de Bozja
388,Blood on the Wind,Échange contre des cristaux bozjiens
389,Discord: Imperial (Zodiac Age Version),Échange contre des cristaux bozjiens
390,Into the Fortress (Zodiac Age Version),Castrum Lacus Litore sur le Front sud de Bozja
391,Battle with an Esper (Zodiac Age Version),Castrum Lacus Litore sur le Front sud de Bozja
392,Life and Death (Zodiac Age Version),Castrum Lacus Litore sur le Front sud de Bozja
393,Where All Roads Lead,La Traversée de Norvrandt
394,Hard to Miss,Expéditions en sous-marin
395,A Tonberry's Tears,Le Palais du Vagabond
396,Abomination,Le Gouffre hurlant
397,Freefall,Échange à Azurée
398,The Heavens' Ward,Échange à Azurée
399,Broken Heart,Récompense de quête
400,Amusement Park,Récompense de quête
401,Fortress of Lies,La base militaire des Pantins
402,Grandma (Destruction),La base militaire des Pantins
403,End of the Unknown,La base militaire des Pantins
404,Torn from the Heavens／The Dark Colossus Destroys All (Medley Version),La base militaire des Pantins
405,Neath Dark Waters (Scions & Sinners),Code promotionnel
406,A Long Fall (Scions & Sinners: Band),Code promotionnel
407,A New Hope (Piano Collections),Achat sur la boutique en ligne ou obtention en tant qu'objet bonus
408,Wailers And Waterwheels (Piano Collections),Achat sur la boutique en ligne ou obtention en tant qu'objet bonus
409,I Am the Sea (Piano Collections),Achat sur la boutique en ligne ou obtention en tant qu'objet bonus
410,New Foundations,Récompense de quête
411,The Black Wolf Stalks Again,"Synthèse (matériau principal obtenu dans le défi ""Castrum Marinum (extrême)"")
* Meilleures chances d'obtention au niveau d'objet minimum"
412,Gogo's Theme,Échange à Ul'dah
413,The Sochen Cave Palace (Zodiac Age Version),Delubrum Reginae
414,Giving Chase (Zodiac Age Version),Delubrum Reginae
415,The Queen Awakens,Delubrum Reginae
416,Freshly Glazed Porxie,L'Atelier abandonné de Matoya
417,Don't Be Afraid,La Promesse d'Éden - Litanie
418,The Legendary Beast,La Promesse d'Éden - Anamorphose
419,Promises to Keep,La Promesse d'Éden - Éternité
420,The Extreme,La Promesse d'Éden - Éternité (sadique)
421,Nemesis,Expéditions en sous-marin
422,Everywhere and Nowhere,Le Jardin secret du Lyhe Ghiah
423,Tomorrow and Tomorrow - Reprise,Chasse aux trésors
424,Dangerous Words,Chasse aux trésors
425,Unmatching Pieces,Le Jardin secret du Lyhe Ghiah
426,The Ludus,Halatali
427,Faith in Her Fury,Le Kupo de la fortune d'Azurée
428,Hearthward,Échange à Azurée
429,Painted Skies,Le Kupo de la fortune d'Azurée
430,A Fine Death,Échange au Gold Saucer
431,Below,Les Mines de Clochecuivre
432,Dancing Calcabrina,L'Antitour
433,Ominous Prognisticks (Piano Collections),Achat sur la boutique en ligne ou obtention en tant qu'objet bonus
