#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
0,Accomplir une mission cosmique.,1,0,50,0,1
1,Accomplir trois missions cosmiques différentes.,3,0,75,1,1
2,Obtenir un rang or lors d'une mission cosmique.,1,0,75,2,1
3,Accomplir une mission critique.,1,0,50,3,1
4,Accomplir une intervention mécanique.,1,0,100,4,1
5,Faire tourner une fois la Roue de la fortune cosmique.,1,0,50,5,1
6,Accomplir 10 missions cosmiques sur la lune.,10,1,300,6,2
7,Accomplir 50 missions cosmiques sur la lune.,50,1,450,7,2
8,Accomplir 100 missions cosmiques sur la lune.,100,1,900,8,2
9,Accomplir 500 missions cosmiques sur la lune.,500,1,1500,9,2
10,Accomplir 10 missions cosmiques différentes sur la lune.,10,1,300,10,2
11,Accomplir 50 missions cosmiques différentes sur la lune.,50,1,900,11,2
12,Accomplir 100 missions cosmiques différentes sur la lune.,100,1,2400,12,2
13,Obtenir un rang or pour 10 missions cosmiques différentes sur la lune.,10,1,300,13,2
14,Obtenir un rang or pour 50 missions cosmiques différentes sur la lune.,50,1,900,14,2
15,Obtenir un rang or pour 100 missions cosmiques différentes sur la lune.,100,1,2400,15,2
16,Accomplir une mission critique sur la lune.,1,2,500,16,2
17,Accomplir 10 missions critiques sur la lune.,10,2,1000,17,2
18,Accomplir 30 missions critiques sur la lune.,30,2,3000,18,2
19,Accomplir une intervention mécanique sur la lune en pilotant une machine.,1,1,1500,22,2
20,Accomplir 5 interventions mécaniques sur la lune en pilotant une machine.,5,1,3000,23,2
21,Accomplir 10 interventions mécaniques sur la lune en pilotant une machine.,10,1,4500,24,2
22,Accomplir 5 interventions mécaniques sur la lune en tant qu'assistant.,5,1,300,25,2
23,Accomplir 20 interventions mécaniques sur la lune en tant qu'assistant.,20,1,900,26,2
24,Accomplir 50 interventions mécaniques sur la lune en tant qu'assistant.,50,1,2100,27,2
25,Accomplir 3 missions de menuisier de classe D différentes sur la lune.,3,3,50,28,2
26,Accomplir 4 missions de menuisier de classe C différentes sur la lune.,4,3,100,29,2
27,Obtenir un rang or pour 3 missions de menuisier de classe B différentes sur la lune.,3,3,200,30,2
28,Accomplir 3 missions de forgeron de classe D différentes sur la lune.,3,7,50,31,2
29,Accomplir 4 missions de forgeron de classe C différentes sur la lune.,4,7,100,32,2
30,Obtenir un rang or pour 3 missions de forgeron de classe B différentes sur la lune.,3,7,200,33,2
31,Accomplir 3 missions d'armurier de classe D différentes sur la lune.,3,11,50,34,2
