#,Name,Text,Image
0,,,0
1,,,0
2,,,0
3,,,0
4,,,0
5,,,0
6,,,0
7,,,0
8,,,0
9,,,0
10,,,0
11,Transportez un objet jusqu'à l'endroit indiqué !,"Certaines quêtes nécessitent de transporter un objet jusqu'à un endroit particulier.
Une fois votre charge prise, vous bénéficiez de l'effet **Charge** pendant un temps imparti.

Ce temps restant diminuera si vous recevez des coups, alors faites en sorte d'éviter les attaques. En outre, les actions utilisables sont limitées pendant la durée du transport.",86902
12,Si vous perdez votre charge...,"Une fois le temps imparti écoulé, ou si vous quittez la zone actuelle, vous perdrez l'effet **Charge**. Vous devrez alors reprendre le transport au point de départ.",86903
13,Accomplissez votre objectif en restant invisible !,"Lorsque vous êtes invisible, certains monstres ne peuvent plus détecter votre présence. Profitez de cette occasion pour accomplir votre objectif, ni vu ni connu !
Une fois invisible, vous bénéficiez de l'effet **Transparence** pendant un temps imparti.

Attention, les actions utilisables sont limitées pendant la durée de l'effet.",86904
14,Si vous redevenez visible...,"Une fois le temps imparti écoulé, ou si vous quittez la zone actuelle, vous perdrez l'effet **Transparence** et ne pourrez plus accomplir votre objectif.
En retournant à votre point de départ, vous pouvez soit prolonger la durée de l'effet, soit redevenir invisible si nécessaire.",86905
15,Partez enquêter en bonne compagnie !,"Lors de certaines quêtes, vous êtes amenée à vous déplacer en compagnie d'autres personnages.
Pour atteindre votre objectif, vous devez faire en sorte de ne pas trop vous éloigner.",86906
16,Partez enquêter en bonne compagnie !,"Tant que vous restez dans la même zone, vous pouvez utiliser la téléportation ou le réseau de transport urbain éthéré sans perdre vos compagnons de vue.
Lorsque vous grimpez sur une monture ou que vous piquez une tête, vous restez accompagnée, mais les personnages risquent de ne plus être affichés par moment.",86906
17,Prenez le temps de discuter avec vos amis !,"Vous pouvez choisir de discuter avec les personnages qui vous ac­com­pa­gnent à tout moment.

Il existe également des aires de con­ver­sa­tion spéciale en chemin vers votre objectif qui vous permettent de récolter des in­for­ma­tions po­ten­tiel­le­ment inédites tout en profitant de votre promenade !
Ces aires sont indiquées sur votre carte, alors n'hésitez pas à y faire une petite halte !",86907
18,Si vous n'êtes plus accompagnée...,"Vos compagnons cesseront de vous accompagner si vous changez de zone ou si vous leur parlez pour vous séparer d'eux.
Le cas échéant, reparlez-leur au point de départ pour qu'ils vous ac­com­pa­gnent à nouveau.",86908
19,Suivez le guide !,"Dans certaines quêtes, vous devez suivre un personnage sans le perdre de vue jusqu'à votre prochain objectif.

Si vous vous retrouvez trop éloignée, vous serez séparés et vous devrez reparler à ce personnage au point de départ pour reprendre votre chemin.",86909
20,Observez sans vous faire repérer !,"Certaines quêtes nécessitent de la discrétion afin d'accomplir votre objectif !

Vous allez devoir suivre votre cible sans vous faire remarquer. Restez suf­fi­sam­ment en retrait pour ne pas la perdre de vue tout en évitant d'entrer dans son champ de vision.
Si votre filature se solde par un échec, vous pouvez retourner au point de départ et réessayer.",86910
21,Conseils pour réussir une filature,"Faites par­ti­cu­liè­rement attention lorsque vous apercevez une marque autour de votre cible, comme celle présentée ci-dessus. Si l'objet de votre filature se retourne, vous serez im­mé­dia­te­ment repérée.
Essayez de rester discrète en vous cachant derrière un obstacle.",86911
22,Conseils pour réussir une filature,"De plus, vous devez éviter de trop vous rapprocher de votre cible et d'entrer dans la zone illustrée ci-dessus.
Pensez à bien garder vos distances !",86912
23,Transformez-vous pour accomplir votre objectif !,"Certaines quêtes nécessitent de changer d'apparence pour accomplir votre objectif. 
Une fois métamorphosée, vous bénéficiez de l'effet **Transformation** pendant un temps imparti.

Attention, les actions utilisables sont limitées pendant la durée de l'effet.",86913
24,Si vous retrouvez votre forme d'origine...,"Une fois le temps imparti écoulé, ou si vous quittez la zone actuelle, vous perdrez l'effet **Transformation** et ne pourrez plus accomplir votre objectif.
En retournant à votre point de départ, vous pouvez soit prolonger la durée de l'effet, soit demander à vous transformer de nouveau si nécessaire.",86914
25,Déguisez-vous pour accomplir votre objectif !,"Certaines quêtes nécessitent de changer de tenue pour accomplir votre objectif. 
Une fois votre nouveau costume enfilé, vous bénéficiez de l'effet **Déguisement** pendant un temps imparti.",86915
26,Si vous perdez votre déguisement...,"Une fois le temps imparti écoulé, ou si vous quittez la zone actuelle, vous perdrez l'effet **Déguisement** et ne pourrez plus accomplir votre objectif.
En retournant à votre point de départ, vous pouvez soit prolonger la durée de l'effet, soit demander à vous changer de nouveau si nécessaire.",86916
27,Escortez un personnage jusqu'à l'endroit indiqué !,"Lors de certaines quêtes, vous êtes amenée à escorter d'autres personnages.
Pour atteindre votre objectif, vous devez faire en sorte de ne pas trop vous éloigner, tout en vous défendant contre les attaques ennemies.
Lorsqu'un personnage qui vous accompagne vous perd de vue ou qu'il encaisse une attaque, il arrête de se déplacer.
Essayez donc de vous débarrasser au plus vite des ennemis afin de pouvoir emmener votre cible jusqu'à bon port.",86917
28,Si vous n'êtes plus accompagnée...,"Votre mission se soldera par un échec si les PV du personnage que vous escortez tombent à 0, si vous vous retrouvez trop éloignée, ou encore si vous quittez la zone.
Le cas échéant, vous pouvez retourner au point de départ et réessayer.",86918
