#,Description,Alias,ShortAlias,Command,ShortCommand,Unknown0,Param,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
0,,,,,,0,0,0,0,0,0,0
1,"/visionnage, /visio, /record
Ouvre la fenêtre de visionnage de mission.",/visionnage,/visio,/record,,0,32,1,0,0,0,0
2,"/appelenregistrement, /appelenreg, /recordready
Utilisation : /appelenregistrement [sous-commande]
Lance un appel d'enregistrement (ou un appel de préparation à partir de la seconde fois), puis un compte à rebours si tous les équipiers ont répondu ""Oui"".
>> Sous-commande :
""[nombre de secondes entre 5 et 30]"" Définit la durée du compte à rebours.
* Si aucune sous-commande n'est spécifiée, ouvre la fenêtre de l'appel d'enregistrement.",/appelenregistrement,/appelenreg,/recordready,,0,0,2,1,0,0,0
3,"/fenêtreéquipejcj, /féjcj, /pvpteamcmd
Ouvre la fenêtre Équipe JcJ.",/fenêtreéquipejcj,/féjcj,/pvpteamcmd,,0,0,1,0,0,0,0
4,"/sacochechocobo, /schoc, /chocobobag, /saddlebag
Ouvre la sacoche chocobo.",/sacochechocobo,/schoc,/saddlebag,,0,0,1,0,0,0,0
5,"/magiadroite, /magiaright
Fait pivoter le plateau Magia dans le sens des aiguilles d'une montre.
",/magiadroite,,/magiaright,,0,0,1,0,0,0,0
6,"/magiagauche, /magialeft
Fait pivoter le plateau Magia dans le sens inverse des aiguilles d'une montre.
",/magiagauche,,/magialeft,,0,0,1,0,0,0,0
7,"/lsimcom, /cwlinkshellcmd
Ouvre le menu de la linkshell inter-Monde.",/lsimcom,,/cwlinkshellcmd,/cwlcmd,0,0,1,0,0,0,0
8,"'/expressionfigée, /exfig, /quickchat, /qchat
Affiche une expression figée.
* Uniquement dans Crystalline Conflict.
Utilisation : /expressionfigée Attaque
Affiche l'expression figée Attaque.
/exfig Attaque : cible <t>
Affiche l'expression figée Attaque : cible en ajoutant le nom de l'ennemi ciblé.",/expressionfigée,/exfig,/quickchat,/qchat,0,1021,3,1,17,0,0
9,"/grimoiremagiebleue, /gmagiebleue, /bluespellbook
Utilisation : /grimoiremagiebleue [sous-commande]
Permet de modifier les actions actives de magie bleue.
>> Sous-commandes :
set ""Nom d'action de magie bleue"" on    Ajoute le sort de magie bleue au set actif.
set ""Nom d'action de magie bleue"" off    Retire le sort de magie bleue du set actif.
preset ""Numéro du set sauvegardé"" (1 à 5)   Charge le set spécifié par le numéro.
clear    Retire toutes les actions du set actif.
* Si aucune sous-commande n'est spécifiée, ouvre le grimoire de magie bleue.

>> Exemples :
/grimoiremagiebleue set Tir d'eau
  Ajoute l'action de magie bleue ""Tir d'eau"" au set actif.
/bluespellbook preset 2
  Charge le set d'actions de magie bleue numéro 2 dans le set actif.",/grimoiremagiebleue,/gmagiebleue,/bluespellbook,,0,36,4,3,2,18,2
10,"/magiaoffensif, /magiaattack
Utilisation : /magiaoffensif [argument de ciblage]
Configure le plateau Magia de façon à renforcer l'élément ayant l'avantage sur celui de la cible désignée.
>> Exemple :
/magiaoffensif <t>
  Configure le plateau Magia de façon à renforcer l'élément ayant l'avantage sur celui de la cible actuelle.",/magiaoffensif,,/magiaattack,,0,0,2,1,2,0,0
11,"/magiadéfensif, /magiadefense
Utilisation : /magiadéfensif [argument de ciblage]
Configure le plateau Magia de façon à renforcer l'élément de la cible désignée.
>> Exemple :
/magiadéfensif <t>
  Configure le plateau Magia de façon à renforcer l'élément de la cible actuelle.",/magiadéfensif,,/magiadefense,,0,0,2,1,2,0,0
12,"/magiaauto
Utilisation : /magiaauto [sous-commande]
Active la configuration automatique du plateau Magia en fonction de la cible sé­lec­tion­née, et selon le mode choisi.
>> Sous-commande :
attaque (attack)   Active le mode offensif.
défense (defense)   Active le mode défensif.
off   Désactive la configuration automatique du plateau Magia.
* Si aucune sous-commande n'est spécifiée, les différents modes sont activés à tour de rôle.
>> Exemple :
/magiaauto attaque
  Active la configuration automatique du plateau Magia en mode offensif.",/magiaauto,,/magiaauto,,0,0,2,1,2,0,0
13,"/linkshellim1, /lsim1, /cwlinkshell1
Utilisation : /linkshellim1 [message]
Affiche un message visible par tous les membres de la linkshell inter-Monde numéro 1, où qu'ils se trouvent.
""LSIM 1"" devient le mode de discussion par défaut si /linkshellim1 est utilisé sans message.

>> Exemples :
/linkshellim1 Bonjour !
  Envoie le message ""Bonjour !"" à tous les membres de la linkshell inter-Monde numéro 1.
/lsim1 
  ""LSIM 1"" devient le mode de discussion par défaut.",/linkshellim1,/lsim1,/cwlinkshell1,/cwl1,0,1021,1,0,0,0,0
14,"/linkshellim2, /lsim2, /cwlinkshell2
Utilisation : /linkshellim2 [message]
Affiche un message visible par tous les membres de la linkshell inter-Monde numéro 2, où qu'ils se trouvent.
""LSIM 2"" devient le mode de discussion par défaut si /linkshellim2 est utilisé sans message.

>> Exemples :
/linkshellim2 Bonjour !
  Envoie le message ""Bonjour !"" à tous les membres de la linkshell inter-Monde numéro 2.
/lsim2 
  ""LSIM 2"" devient le mode de discussion par défaut.",/linkshellim2,/lsim2,/cwlinkshell2,/cwl2,0,1021,1,0,0,0,0
15,"/linkshellim3, /lsim3, /cwlinkshell3
Utilisation : /linkshellim3 [message]
Affiche un message visible par tous les membres de la linkshell inter-Monde numéro 3, où qu'ils se trouvent.
""LSIM 3"" devient le mode de discussion par défaut si /linkshellim3 est utilisé sans message.

>> Exemples :
/linkshellim3 Bonjour !
  Envoie le message ""Bonjour !"" à tous les membres de la linkshell inter-Monde numéro 3.
/lsim3 
  ""LSIM 3"" devient le mode de discussion par défaut.",/linkshellim3,/lsim3,/cwlinkshell3,/cwl3,0,1021,1,0,0,0,0
16,"/linkshellim4, /lsim4, /cwlinkshell4
Utilisation : /linkshellim4 [message]
Affiche un message visible par tous les membres de la linkshell inter-Monde numéro 4, où qu'ils se trouvent.
""LSIM 4"" devient le mode de discussion par défaut si /linkshellim4 est utilisé sans message.

>> Exemples :
/linkshellim4 Bonjour !
  Envoie le message ""Bonjour !"" à tous les membres de la linkshell inter-Monde numéro 4.
/lsim4 
  ""LSIM 4"" devient le mode de discussion par défaut.",/linkshellim4,/lsim4,/cwlinkshell4,/cwl4,0,1021,1,0,0,0,0
17,"/linkshellim5, /lsim5, /cwlinkshell5
Utilisation : /linkshellim5 [message]
Affiche un message visible par tous les membres de la linkshell inter-Monde numéro 5, où qu'ils se trouvent.
""LSIM 5"" devient le mode de discussion par défaut si /linkshellim5 est utilisé sans message.

>> Exemples :
/linkshellim5 Bonjour !
  Envoie le message ""Bonjour !"" à tous les membres de la linkshell inter-Monde numéro 5.
/lsim5 
  ""LSIM 5"" devient le mode de discussion par défaut.",/linkshellim5,/lsim5,/cwlinkshell5,/cwl5,0,1021,1,0,0,0,0
18,"/linkshellim6, /lsim6, /cwlinkshell6
Utilisation : /linkshellim6 [message]
Affiche un message visible par tous les membres de la linkshell inter-Monde numéro 6, où qu'ils se trouvent.
""LSIM 6"" devient le mode de discussion par défaut si /linkshellim6 est utilisé sans message.

>> Exemples :
/linkshellim6 Bonjour !
  Envoie le message ""Bonjour !"" à tous les membres de la linkshell inter-Monde numéro 6.
/lsim6 
  ""LSIM 6"" devient le mode de discussion par défaut.",/linkshellim6,/lsim6,/cwlinkshell6,/cwl6,0,1021,1,0,0,0,0
