#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21
0,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
1,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
2,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
3,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
4,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
5,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
6,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
7,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
8,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
9,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
10,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
11,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
12,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
13,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
14,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
15,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
16,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
17,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
18,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
19,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
20,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
21,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
22,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
23,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
24,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
25,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
26,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
27,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
28,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
29,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
30,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
31,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
32,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
33,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
34,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
35,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
36,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
37,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
38,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
39,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
40,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
41,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
42,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
43,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
44,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
45,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
46,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
47,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
48,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
49,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
50,,,,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
