#,Name,Description,UnlockLink,Image,Unknown4,Unknown5,Unknown6
0,,,0,0,0,0,0
1,Ketenramm Blaufystsyn,"Cet explorateur chevronné a commencé sa carrière en l'an 1497 de la 6e ère astrale. Le jeune adolescent qu'il était avait embarqué pour un voyage vers l'ouest, dans l'espoir de rallier Hingashi. Cependant, les mers capricieuses avaient d'autres projets pour lui, car son bateau a fini par échouer sur les rivages du Tural. Malgré son infortune, il s'est mis en tête d'explorer l'intérieur des terres de ce continent inconnu. Ses pas l'ont alors mené jusqu'à Mamook, où il a fait la connaissance de Gulool Ja Ja, le futur premier aurarque du Tuliyollal. Leur amitié a grandi au fil de leurs aventures, tout comme la soif de découverte de Ketenramm. Ainsi, malgré son grand âge, il a pris la tête d'une nouvelle expédition, dont le but est cette fois-ci d'élucider les mystères du tristement célèbre Triangle de la mort.",521,70615,0,3,2
2,Ville fantôme,"Une cité modeste, érigée sur le versant est de l'île de Lunule. Bien que ses édifices en pierre soient dans un état de délabrement avancé, leur persistance au fil des siècles témoigne de la qualité de leur construction. La ville ne présente pourtant aucune trace d'activité récente, ce qui indique qu'elle garde encore jalousement ses secrets. De nombreux navires ont fait naufrage près des côtes en tentant de s'éloigner de l'île, alimentant la légende selon laquelle apercevoir la ville fantôme signifie qu'il est déjà trop tard pour échapper à son emprise.",507,70601,11606900,2,1
3,Archive,"Archive est un personnage étrange, découvert dans un sarcophage de la ville fantôme. Malgré sa ressemblance frappante avec un tomberry, il se distingue de ces créatures légendaires par sa faculté de parole et son désir d'enrichir ses connaissances. Bien qu'il se présente comme un vieil érudit, sa mémoire semble embrumée par ses longues années de torpeur, ou peut-être scellée par un obscur sort de magie. En attendant de retrouver la mémoire, Archive a décidé de vous prêter main-forte dans l'exploration de l'île de Lunule.",522,70616,0,3,2
4,Iris,"Un énigmatique familier, invoqué sous l'apparence d'une délicate fée. Selon elle, les connaissances d'Archive auraient été scellées, et se limiteront désormais à ce que vous aurez vu et appris sur l'île. Lorsqu'on l'interroge sur son origine ou sa fonction, elle déclare ne rien savoir et garde le silence. Toutefois, le tomberry érudit a remarqué que l'éther qui la constitue présente des similitudes avec celui qui entoure l'île de Lunule, ce qui suggère que son maître exerce une influence significative sur ces terres.",523,70617,0,3,2
5,Camp de base,"Le quartier général des membres de l'expédition sur l'île de Lunule méridionale. Cette position stratégique a été sélectionnée en raison de la présence de tours, d'arches et de remparts délabrés, qui offrent une protection efficace contre toute créature trop curieuse. Le style architectural de ces structures ressemble à celui de la ville fantôme, mais il vous est impossible de définir l'époque de sa construction ou l'identité de ses bâtisseurs. Vous pensez qu'un grand nombre d'habitants ont côtoyé ces murs, mais leur devenir reste entouré de mystère. Son éthérite ancienne est également un atout qui vous sera utile lors de votre exploration de l'île.",508,70602,11606902,2,1
6,Jobs de soutien,"Peu après vos premiers pas sur Lunule, vous découvrez de petits cristaux en forme de croissant renfermant d'anciennes techniques de combat et autres sorts oubliés. D'après Archive, ces ""éclats d'âme"" perdent tout effet en dehors de la barrière magique qui enveloppe l'île. En revanche, lorsque vous vous en équipez sur Lunule, vous devenez spécialiste d'une discipline à même de complémenter votre job habituel, ce qui vous sera sans nul doute d'une grande aide pour surmonter les périlleuses épreuves qui vous attendent au cours de l'exploration.",536,70630,0,5,4
7,Forteresse perdue,"Une énorme citadelle, composée de blocs de pierre de dimensions variées. Tout comme les autres ruines découvertes sur l'île de Lunule, elle semble abandonnée et montre des signes évidents du passage du temps. Son style architectural particulier, qui combine des motifs à damiers et des dômes, ressemble beaucoup à celui des vestiges de l'ancienne cité d'Amdapor, découverts dans la forêt de Sombrelinceul. Les statues de créatures, disposées comme s'il s'agissait de gardiens des lieux, sont également des réminiscences de cette civilisation oubliée.",509,70603,11606904,2,1
8,Tortue à pièces,"Un familier s'apparentant à une énorme tortue terrestre. La magie l'a rendue capable de comprendre le langage humain, une faculté dont elle se sert... pour commercer de façon agressive avec les aventuriers de passage. Son comportement est d'autant plus dommageable que les fétiches qu'elle vend sont porteurs de malédictions diverses. Nul ne sait dans quel but le maître de l'île a donné vie à cette curieuse créature, mais l'on peut malgré tout supposer, au regard de son goût pour les objets maudits, qu'elle est liée à la civilisation de Skalla, l'ancienne grande cité-État de Gyr Abania.",530,70624,0,4,3
9,Versant des Visions,"Une vaste plage qui s'enfonce profondément dans les terres de l'île de Lunule méridionale. Par temps clair, on dit qu'il est possible d'y apercevoir deux tours à l'horizon, semblables à un mirage. Les vestiges qui émergent du sable présentent les mêmes structures coniques inversées que celles de la ville fantôme. Ces éléments sont typiques du style architectural de la cité-État de Nym, qui existait sur l'île de Vylbrand durant la 5e ère astrale. Cependant, contrairement à la ville fantôme qui semble purement utilitaire, le versant des Visions possède plusieurs places circulaires en son sein, ce qui laisse croire que ces bâtiments remplissaient une fonction religieuse.",510,70604,11606906,2,1
10,Petalodus de Nym,"À Nym, l'ancienne cité maritime, une légende parlait d'un étrange requin doté de bras et de jambes. Un naturaliste avait cependant eu tôt fait de discréditer ce mythe, arguant que les fameux membres n'étaient rien de plus que des nageoires particulièrement longues et lestes. ""Les requins quadrupèdes, ça n'existe pas !"", avait-il maintenu mordicus tout au long de sa carrière... Jusqu'au jour où, ne lui déplaise, les petalodi furent effectivement observés. Au passage, on disait aussi que ces créatures ne dévoraient jamais ceux qu'elles appréciaient – une affirmation à prendre avec des pincettes, puisqu'aucun homme, aussi sympathique soit-il, n'a jamais revendiqué son amitié avec un squale.",529,70623,0,4,3
11,Pots persistants,"Des pots magiques qui passent leur temps à réclamer des élixirs à tout va. Les chercheurs en histoire naturelle s'accordent en général à ranger ce genre d'entités dans la catégorie des objets enchantés. Toutefois, leur mode de vie reste indéterminé, ce qui alimente nombre de théories, notamment celle qui les voit comme des créatures du néant cousines des imps. Les hypothèses vont également bon train concernant la raison qui les pousse à vouloir des élixirs : certains disent que c'est pour subsister, là où d'autres les accusent de prendre un malin plaisir à harceler leurs interlocuteurs avec une demande aussi inopinée qu'absurde. Saurons-nous un jour toute la vérité à ce sujet ? Rien n'est moins sûr...",531,70625,0,4,3
