#,Name,Unknown0,Description,Unknown1,Unknown2,StartsWithVowel,Unknown3,Unknown4,Unknown5
0,0,0,,0,0,0,1,0,0
1,dodo,dodos,"D'abord introduits depuis l'île de Mazlaya pour leurs œufs par des Qiqirns, ces gros oiseaux incapables de voler sont désormais élevés par les Éorzéens pour leur délicieuse chair. Attention toutefois, un dodo crachera une substance soporifique s'il se sent menacé !",0,0,0,1,0,0
2,tomberry,tomberrys,"On sait peu de choses sur ces créatures qui hantent les ruines de Nym, une cité qui a connu son apogée à la 5e ère astrale, mais leurs vêtements et leurs outils laissent supposer qu'elles sont intelligentes. De vieilles tablettes de pierre indiqueraient que les tomberrys sont porteurs d'une terrible maladie.",0,0,0,1,0,0
3,pampa,pampas,"S'étant adaptés pour survivre à leur habitat aride et dangereux, ces cactus ambulants ont la faculté de conserver de l'humidité dans leur organisme et peuvent se défendre d'éventuels prédateurs en lançant une multitude d'épines douloureuses.",0,0,0,1,0,0
4,spriggan,spriggans,"Ces créatures que l'on rencontre dans les grottes et les carrières d'Éorzéa semblent toujours avoir des pierres précieuses sur elles, si bien que les mineurs pensent qu'elles portent chance. Si le Codex des pierres les classifie comme arcanas, c'est parce que les spriggans ne seraient que le vaisseau de la volonté de la terre.",0,0,0,1,0,0
5,pudding,puddings,"Ces êtres gélatineux proviennent de l'agglomération de résidus issus du néant. Bien que capables d'imiter des voix humaines pour attirer des proies, ils ne semblent pas être par­ti­cu­liè­rement in­tel­li­gents et se placent au dixième rang parmi les douze que compte la Hiérarchie du néant.",0,0,0,1,0,0
6,bombo,bombos,"Appartenant au onzième rang de la Hiérarchie du néant, ces êtres composés de gaz et de feu ont besoin des huiles et graisses des végétaux, des animaux ou même des humains, afin de maintenir leur combustion. Les grenados sont une variété plus explosive et plus prépondérante.",0,0,0,1,0,0
7,mandragore,mandragores,"Les mys­té­rieu­ses mandragores ont été observées pour la première fois après la 7e ère ombrale, mais nul ne sait si elles existaient avant le Fléau. Des études préliminaires suggèrent que ces créatures végétales seraient douées d'in­tel­li­gence et posséderaient une forme avancée de communication non verbale.",0,0,0,1,1,0
8,coblyn,coblyns,"Ces créatures d'apparence étonnante se déplacent sur leurs tentacules en quête de minerai. Selon les érudits gridaniens, il s'agirait d'animaux fusionnant la roche pour se créer une carapace. Cette théorie est réfutée à Ul'dah, où l'on considère que les coblyns sont plutôt des amas de matière géologique intelligent qui auraient développé des tissus biologiques.",0,0,0,1,0,0
9,morbol,morbols,"Se déplaçant sur leurs racines gluantes, ces horribles créatures végétales se montrent par­ti­cu­liè­rement agressives et dangereuses, tuant animaux et plantes grâce à une haleine putride et à des sarments puissants. Elles peuvent occasionnellement émettre un parfum doux et soporifique. Les crocs-épines qui garnissent leurs gueules servent à immobiliser leurs proies lors de la digestion.",0,0,0,1,0,0
10,coeurl,coeurls,"Natifs du Proche-Orient, ces carnivores quadrupèdes capturent leurs proies en envoyant des décharges électriques avec les très longues moustaches qui ornent leur museau. Les spécimens sauvages que l'on trouve en Éorzéa descendraient de bêtes de combat échappées d'une île dans le golfe de Rothlyt.",0,0,0,1,0,0
11,ahriman,ahrimans,Les ahrimans sont des êtres du néant qui se manifestent dans le monde physique en enveloppant leur essence dans des yeux d'animaux. Ils possèdent de grandes capacités magiques et volent en s'agrippant aux courants éthéréens avec leurs griffes. Ces créatures de classe moyenne appartiendraient aux quatrième et cinquième rangs de la Hiérarchie du néant.,0,0,1,1,0,0
12,goobbue,goobbues,"Ces imposantes créatures ont une relation symbiotique avec la mousse et le lichen qui poussent sur leur tête, ces derniers offrant une forme de camouflage en échange d'un arrosage manuel pendant les saisons les plus sèches. Bien qu'ils aient l'air placide, les goobbues se révèlent des prédateurs implacables lorsqu'ils sont affamés.",0,0,0,1,0,0
13,chocobo,chocobos,"Ces grands oiseaux terrestres sont connus pour leur vélocité et sont utilisés comme bêtes de somme ou montures par les Éorzéens depuis les temps anciens. Le Coerthas est réputé être la principale région productrice de ces animaux, mais il existerait une forêt des chocobos dans les montagnes d'Abalathia, où vivrait un important troupeau de spécimens sauvages.",0,0,0,1,0,0
14,Amalj'aa,Amalj'aa,"Les Amalj'aa sont un peuple d'hommes-bêtes nomades originaires des prairies du Paglth'an, où ils vivent de la chasse d'animaux sauvages. Ennemis héréditaires d'Ul'dah, ils sont entraînés dans les arts de la guerre dès leur plus jeune âge, quel que soit leur sexe. Ils possèdent également une grande maîtrise de la métallurgie, leurs armes étant très appréciées des col­lec­tion­neurs.",0,0,1,1,0,0
15,Ixal,Ixali,"Les Ixali sont une tribu agressive ayant pour domaine les ravins venteux de Xelphatol. Bien qu'ils ne soient plus capables de voler depuis longtemps, ces hommes-bêtes à plumes sont très fiers de leurs ailes atrophiées. Désireux de rétablir leur présence dans Sombrelinceul pour en exploiter les ressources sylvestres, ils sont en conflit avec les habitants de Gridania.",0,0,1,1,0,0
16,Sylphe,Sylphes,"Dans les profondeurs de Sombrelinceul, au nord de Gridania, vit le peuple reclus des Sylphes. Malgré leur apparence de poupées vêtues de feuilles et leur com­por­te­ment enfantin, ils n'hésitent pas à user de leur magie pour tourmenter malicieusement les voyageurs, causant nombre de traumatismes et de tragédies chez ceux qui ont eu le malheur de s'aventurer trop loin dans la forêt.",0,0,0,1,0,0
17,Kobold,Kobolds,"Les Kobolds sont une tribu d'hommes-taupes qui vit dans un labyrinthe de tunnels sous le volcan O'Ghomoro, au nord de l'île de Vylbrand. Persuadés que les minerais sont un don fait par le Primordial Titan, ils ont développé leur savoir alchimique pour deviner sa volonté. Bien que ces hommes-bêtes et les Limséens aient conclu un pacte autrefois, cela n'empêche pas les deux peuples de s'affronter ré­gu­liè­re­ment.",0,0,0,1,0,0
18,Sahuagin,Sahuagins,"Ces hommes-bêtes aquatiques habitent dans une ville située sous l'océan Indigo. Ils peuvent tout aussi bien respirer dans l'air que dans l'eau, et nager avec aise grâce à leurs membres palmés. La société sahuagine est pyramidale, un individu tenant lieu de reine se trouvant au sommet de la hiérarchie. Ennemis héréditaires des Limséens, mentionner le nom de ces hommes-poissons est mal vu dans la cité maritime.",0,0,0,1,0,0
19,Tataru,Tataru,"“♪ La la laaa, une jolie rose a fleuri au beau milieu du désert.
♪ La la la la laaa, une rose symbole de l'amour...
♪ Mon cœur en est tout chamboulé !
♪ Et ça fait boum, boum, tra la la, bobom bobom, la la la la...”",0,0,0,1,1,1
20,Mog,Mogs,"Ces étranges créatures poilues qui vivent dans la forêt de Sombrelinceul sont invisibles au commun des mortels du fait de leur magie par­ti­cu­liè­re. Toutefois, ceux qui ont eu la chance de les apercevoir racontent que les Mogs aiment chanter et danser. Selon une ancienne légende, ils auraient autrefois eu un roi, mais personne ne sait si c'est vrai.",0,0,0,1,0,0
21,sirène,sirènes,"Cette créature légendaire est tristement connue pour avoir charmé nombre de marins avec ses chants, causant la disparition d'équipages entiers. Le roi des pirates Barbe-Brume l'aurait tuée autrefois, mais de récentes rumeurs font état d'une silhouette féminine hantant les côtes noscéennes accompagnée d'une horde d'hommes à l'âme corrompue.",0,0,0,1,1,0
22,Orthros & Typhon,Orthros & Typhon,"Ces deux êtres du néant à l'allure pour le moins bizarre seraient apparus suite à une expérience de la guilde des occultistes qui a mal tourné. Malgré leur nature, Orthros et Typhon ont choisi de s'assimiler à la société humaine, l'un travaillant comme réceptionniste au Colisée et l'autre au Gold Saucer des Manderville.",0,0,1,1,0,1
23,mur démonique,murs démoniques,"Ces gardiens effrayants sont des murs sur lesquels des signes arcaniques ont été tracés avec du sang et auxquels la vie a été insufflée grâce une magie ancienne. Bien que leurs maîtres aient péri il y a très longtemps, ces sentinelles démoniaques continuent de protéger les ruines auxquelles elles sont liées, ce qui ne manque jamais de surprendre et horrifier ceux qui s'y aventurent.",0,0,0,1,0,0
24,succube,0,"Les succubes sont des démons qui s'incarnent dans des corps de belles femmes pour mieux séduire les humains. Si l'on en croit certains spé­cia­listes des arts occultes, ils conserveraient parfois la personnalité et les souvenirs de leurs vaisseaux et appartiendraient aux troisième et quatrième rangs de la Hiérarchie du néant.",0,0,0,1,0,0
25,chimère,0,"Ces créatures cauchemardesques mêlent les attributs physiques du lion, du bouc et du dragon. Elles possèdent trois têtes, une paire d'ailes puissantes et une queue se terminant par un aiguillon empoisonné. Leurs origines ont fait l'objet de nombreuses polémiques, certains considérant que les chimères sont des abo­mi­na­tions créées par les dieux, d'autres préférant croire au produit de quelque sorcellerie impie.",0,0,0,1,0,0
26,dragon bleu,0,"Descendant directement des sept dragons anciens, la progéniture de Midgardsormr, ces créatures fabuleuses, dont la longévité dépasse aisément le millier d'années, ont pris cette couleur par­ti­cu­liè­re qui les distingue de leurs congénères suite à une lente évolution. Aucun humain n'a toutefois eu la chance d'aller les étudier d'assez près pour observer d'autres différences éventuelles.",0,0,0,1,0,0
27,Bugaal Ja,Bugaal Ja,"“Miracle, ja ! Je ne croyais pas qu'un tel jour viendrait ! Quelqu'un a enfin su comprendre la beauté de la danse tra­di­tion­nel­le mamool ja ! Mon cœur est empli de joie !”",0,0,0,1,0,1
28,Momodi,Momodi,"“Si vous avez besoin de conseils, je suis là pour vous. Cela dit, ne venez pas m'embêter au moindre pépin. Par contre, je suis toujours prête à écouter vos problèmes amoureux, hi hi hi.”",0,0,0,1,0,1
29,Baderon,Baderon,"“Je sais, je sais... Puisque vous êtes là, que diriez-vous de prendre un bon verre de rhum ? Je viens juste de recevoir une nouvelle cargaison.  Installez-vous donc à la table derrière, je vous apporte ça tout de suite.”",0,0,0,1,0,1
30,Miounne,Miounne,"“Il y a cinq ans, Éorzéa a été gravement touchée par le septième fléau. Un énorme dragon est sorti du satellite Dalamud et a tout dévasté, brûlant la terre dans un océan de flammes. Bien sûr, notre chère forêt n'a pas été épargnée...”",0,0,0,1,0,1
31,Livia,Livia,"“Plutôt que de t'inquiéter de ce genre de parasite, tu ferais mieux de te soucier de terminer ton travail, Nero. Nous sommes là pour accomplir la volonté de Gaius, je te le rappelle. Si jamais tu lambines et que tu le déçois... je me ferai un plaisir de te tuer de mes propres mains.”",0,0,0,1,0,1
32,Rhitahtyn,Rhitahtyn,"“Je n'ai pas pour habitude de dégainer mon arme pour rien, mais si tu refuses d'entendre raison... au nom du général Gaius van Baelsar, moi, Rhitahtyn sas Arvina, je t'exécuterai !”",0,0,0,1,0,1
33,Biggs & Wedge,Biggs & Wedge,"“Ne nous oubliez pas, Patron !”
“Cette expédition incarne la raison d'être des Forges de Garlond. Étant vos employés, nous comptons bien participer à cette aventure jusqu'au bout.”",0,0,0,1,0,1
34,Gerolt,Gerolt,"“Que le grand cric me croque ! Même dans mes rêves les plus alcoolisés j'aurais jamais pu imaginer qu'tu puisses mettre la main sur une relique d'arme antique ! ... Bon, va falloir que j'prépare mes outils alors. Pfff, quelle galère...”",0,0,0,1,0,1
35,Frixio,Frixio,"“Il y a quelque temps, des Impériaux ont fait leur apparition dans la forêt.
J'étais parti dans le but de les surveiller et découvrir ce qu'ils mijotaient.”",0,0,0,1,0,1
36,Mutamix,Mutamix,"“Pshhh... Mutamix sait fusionner les matérias pour en obtenir une différente, une plus jolie. Mutamix appelle ça la *transmatérialisation* ! Si l'aventurier apporte cinq matérias, Mutamix lui fera une dé­mon­stra­tion.”",0,0,0,1,0,1
37,Memeroon,Memeroon,"“Memeroon vouuuloir plein clic-clic pour ouuuvrir boutiques ! Ouvrir pluuus de boutiques. Beaucouuup, beaucouuup de boutiques ! Et Memeroon devenir très riche !”",0,0,0,1,0,1
38,béhémoth,béhémoths,"Les premiers témoignages de personnes ayant observé ces bêtes à la musculature saillante coïncident avec l'avènement de la 7e ère ombrale. Les érudits pensent d'ailleurs qu'il s'agirait de rejetons du Primordial Bahamut, ce qui leur vaut le nom de “béhémoths”. Mis à part leur apparence physique, le com­por­te­ment et la biologie de ces créatures restent entourés de mystère.",0,0,0,1,0,0
39,Gilgamesh & Enkidu,Gilgamesh & Enkidu,"“Mon nom est Gilgamesh, au fait. Enchanté ! Lui, c'est Enkidu, mon fidèle compagnon. Comme je me sentais seul durant mes voyages, j'ai attrapé ce coq et j'ai teint ses plumes, puis je lui ai donné le nom d'un ancien camarade.”",0,0,0,1,0,1
40,Ifrit,Ifrit,"Primordial révéré par les Amalj'aa, le Seigneur des flammes Ifrit prend généralement la forme d'une créature ardente et terrifiante, dont les griffes incandescentes peuvent faire fondre n'importe quel métal et dont les cornes menacent d'embraser les cieux. Ceux qui ont eu la folie de l'affronter ont fini brûlés par sa furie inextinguible ou ont rejoint les rangs de subjugués qui lui obéissent.",0,0,1,1,0,1
41,Titan,Titan,"Souvent appelé l'Ébranleur des terres ou le Marteleur du sol, Titan est le dieu auquel les Kobolds vouent un culte. Prenant l'apparence d'un effrayant et massif géant, il considère ces hommes-taupes comme ses enfants et n'hésite pas à faire trembler les montagnes de toute sa colère pour écraser sous la roche tous ceux qui osent les attaquer.",0,0,0,1,0,1
42,Garuda,Garuda,"Déesse tutélaire des Ixali, Garuda, que l'on appelle aussi la Souffleuse de rafales, se distingue des autres Primordiaux par sa capacité destructrice à contrôler l'air et les vents autour d'elle. Réputée pour sa grande cruauté, elle réclame ré­gu­liè­re­ment des sacrifices et des offrandes de sang, au point que ses fidèles lui vouent un culte mêlé de crainte.",0,0,0,1,1,1
43,Moggle Mog XII,Moggle Mog XII,"Ce Mog de taille pour le moins honorable serait l'incarnation du légendaire monarque qui a autrefois guidé son peuple du ciel vers le monde des humains, et aurait été invoqué en Éorzéa par un groupe de ces créatures poilues qui s'appellent eux-mêmes les Vassaux du Roi. Bien qu'il soit décrit comme “bon”, sa magnanimité ne semble être dirigée que vers ses fidèles sujets.",0,0,0,1,0,1
44,Raya-O-Senna & A-Ruhn-Senna,Raya-O-Senna & A-Ruhn-Senna,"“Si j'avais su, j'aurais demandé une escorte. À nous seuls, on ne va jamais venir à bout de ces monstres ! Ils sont trop nombreux !”
“Mais, ma sœur, nous ne pouvons pas renoncer !”",0,0,0,1,0,1
45,Godbert,Godbert,"“Je suis Godbert, l'orfèvre le plus balèze d'Éorzéa, et un parfait gentilhomme. Je récoltais tran­quil­le­ment des matériaux dans le coin avant que vous ne vous fassiez remarquer. Comment connaissez-vous la danse ultra-secrète de ma famille, les Manderville ? La seule personne qui aurait pu vous l'apprendre est... Non, ce n'est pas possible... !”",0,0,0,1,0,1
46,Thancred,Thancred,"“Quand je vois une jolie femme, les mots affluent en moi comme une vague déferlante, ils inondent mon être d'une chaleur sensuelle indicible...”",0,0,0,1,0,1
47,Nero,Nero,"“Lorsque tu as finalement déserté l'Empire, j'ai su que le destin me souriait enfin, Garlond... Mais il a fallu qu'en disparaissant, tu deviennes une légende aux yeux des gens ! Au lieu de maudire ton nom pour ta trahison, ils gardent une bonne image de toi ! Et aujourd'hui *encore*, tu restes le jeune génie de magitek !”",0,0,0,1,0,1
48,Papalymo & Yda,Papalymo & Yda,"“Je suis Papalymo, et le moulin à paroles, c'est...”
“Moi, c'est Yda ! Enchantée !”",0,0,0,1,0,1
49,Y'shtola,Y'shtola,"“Je savais que nos routes finiraient par se recroiser, mais j'ignorais que nos destins seraient si étroitement liés. Nous aurons cer­tai­ne­ment l'occasion de reparler de ça plus en détail pro­chai­ne­ment. Pour l'instant, tu dois en finir avec cette affaire.”",0,0,0,1,1,1
50,Urianger,Urianger,"“L'Histoire est une chose assez fascinante, n'est-ce pas ? La gloire d'une nation apporte la souffrance d'une autre. Et celui qui pour certains est un grand héros s'avère être un ignoble monstre pour d'autres. Loin de moi l'idée d'évoquer des lieux communs, mais chaque histoire est comme une médaille, elle a deux côtés.”",0,0,1,1,0,1
51,Ultima Arma,Ultima Arma,"Cette relique de la 3e ère astrale est une prouesse de la technologie allagoise ; la même qui permit à l'empire d'Allag d'établir son règne aux quatre coins d'Hydaelyn. Suite à la (re)découverte du mastodonte mécanique sous le sol d'Ala Mhigo, la 14e légion de Garlemald l'a restaurée puis reconfigurée pour contrer la menace des Primordiaux.",0,0,1,1,1,1
52,Odin,Odin,"Tout de noir vêtu, le Chevalier des ombres arpente des chemins oubliés sous la canopée de la forêt de Sombrelinceul. Nul ne sait quand ou par qui fut invoqué ce Primordial ancestral. Errant à travers la Sylve sur son puissant destrier, Sleipnir, Odin serait uniquement gouverné par le désir d'affronter de dignes adversaires, ou encore d'assouvir sa soif de vengeance, selon certaines rumeurs.",0,0,1,1,0,1
53,Ramuh,Ramuh,"Incarnation de la foudre, vénéré par les Sylphes. Bien que la légende le dépeigne comme un vieux sage au savoir illimité, Ramuh est en réalité un inquisiteur impitoyable qui n'hésite pas à frapper de sa foudre vengeresse les intrus qui souillent la forêt ou menacent ses enfants.",0,0,0,1,0,1
54,Léviathan,Léviathan,"Seigneur des eaux vénéré par les Sahuagins de l'océan Indigo. Tapi dans les abysses insondables, Léviathan dévore tout ce qui se trouve sur son passage. Jadis, les habitants des villages côtiers pensaient que les raz-de-marée qui ravagaient leurs habitations étaient en fait la manifestation de la colère du grand serpent de mer. Des siècles durant, ils ont cherché à l'apaiser à l'aide de sacrifices humains... en vain.",0,0,0,1,0,1
55,Shiva,Shiva,"L'Enchiridion, le livre sacré de la religion ishgardaise, considère Shiva comme la première hérétique de l'histoire. Coupable d'apostasie aux yeux du Saint-Siège, ses partisans lui vouent quant à eux un culte passionné, voyant en elle une sainte qui a tenté de rapprocher les hommes et les dragons. Son sacrifice n'aura toutefois pas eu l'effet escompté...",0,0,0,1,1,1
56,Minfilia,Minfilia,“Nous sommes un groupe nommé les Héritiers de la Septième Aube. Notre but est la protection d'Éorzéa et nos membres viennent de tous les horizons. Les Primordiaux sont notre plus grand souci ac­tu­el­le­ment. Les tribus barbares continuent malheureusement de les vénérer.”,0,0,0,1,1,1
57,Lahabrea,Lahabrea,"“En plus de l'Écho, tu as le pouvoir d'interférer dans le monde de l'éther et de matérialiser des cristaux de Lumière. Oui, ton cas est vraiment fascinant... Mais le marteau des Ténèbres peut briser le bouclier de la Lumière.”",0,0,0,1,0,1
58,Cid,Cid,"“Je suis rassuré de voir que tu n'as rien, mon amie. Mais par les Douze, avoir envoyé cet appareil magitek s'écraser dans le générateur ! Tu es soit un génie, soit la femme la plus chanceuse que j'aie jamais connue ! Quoi qu'il en soit, tu as réussi à désactiver le champ de force, c'est ce qui compte.”",0,0,0,1,0,1
