key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNZ007_01732_SEQ_00","ファルコンネストのノアルトゥレルは、物資不足に困っているようだ。"
1,"TEXT_HEAVNZ007_01732_SEQ_01","ノアルトゥレルは食料を欲しているようだ。クルザス西部高地のリバーズミートにいる「<Sheet(BNpcName,3470,0)/>」から「<Sheet(EventItem,2001594,0)/>」を3個入手しよう。"
2,"TEXT_HEAVNZ007_01732_SEQ_02","<Sheet(EventItem,2001594,0)/>を入手した。ファルコンネストの「ノアルトゥレル」に「<Sheet(EventItem,2001594,0)/>」を渡そう。"
3,"TEXT_HEAVNZ007_01732_SEQ_03","ノアルトゥレルに<Sheet(EventItem,2001594,0)/>を渡した。いざという時に備え、凍らせて保存食にするようだ。"
4,"TEXT_HEAVNZ007_01732_SEQ_04",""
5,"TEXT_HEAVNZ007_01732_SEQ_05",""
6,"TEXT_HEAVNZ007_01732_SEQ_06",""
7,"TEXT_HEAVNZ007_01732_SEQ_07",""
8,"TEXT_HEAVNZ007_01732_SEQ_08",""
9,"TEXT_HEAVNZ007_01732_SEQ_09",""
10,"TEXT_HEAVNZ007_01732_SEQ_10",""
11,"TEXT_HEAVNZ007_01732_SEQ_11",""
12,"TEXT_HEAVNZ007_01732_SEQ_12",""
13,"TEXT_HEAVNZ007_01732_SEQ_13",""
14,"TEXT_HEAVNZ007_01732_SEQ_14",""
15,"TEXT_HEAVNZ007_01732_SEQ_15",""
16,"TEXT_HEAVNZ007_01732_SEQ_16",""
17,"TEXT_HEAVNZ007_01732_SEQ_17",""
18,"TEXT_HEAVNZ007_01732_SEQ_18",""
19,"TEXT_HEAVNZ007_01732_SEQ_19",""
20,"TEXT_HEAVNZ007_01732_SEQ_20",""
21,"TEXT_HEAVNZ007_01732_SEQ_21",""
22,"TEXT_HEAVNZ007_01732_SEQ_22",""
23,"TEXT_HEAVNZ007_01732_SEQ_23",""
24,"TEXT_HEAVNZ007_01732_TODO_00","<Sheet(BNpcName,3470,0)/>から<Sheet(EventItem,2001594,0)/>を入手"
25,"TEXT_HEAVNZ007_01732_TODO_01","ノアルトゥレルに<Sheet(EventItem,2001594,0)/>を渡す"
26,"TEXT_HEAVNZ007_01732_TODO_02",""
27,"TEXT_HEAVNZ007_01732_TODO_03",""
28,"TEXT_HEAVNZ007_01732_TODO_04",""
29,"TEXT_HEAVNZ007_01732_TODO_05",""
30,"TEXT_HEAVNZ007_01732_TODO_06",""
31,"TEXT_HEAVNZ007_01732_TODO_07",""
32,"TEXT_HEAVNZ007_01732_TODO_08",""
33,"TEXT_HEAVNZ007_01732_TODO_09",""
34,"TEXT_HEAVNZ007_01732_TODO_10",""
35,"TEXT_HEAVNZ007_01732_TODO_11",""
36,"TEXT_HEAVNZ007_01732_TODO_12",""
37,"TEXT_HEAVNZ007_01732_TODO_13",""
38,"TEXT_HEAVNZ007_01732_TODO_14",""
39,"TEXT_HEAVNZ007_01732_TODO_15",""
40,"TEXT_HEAVNZ007_01732_TODO_16",""
41,"TEXT_HEAVNZ007_01732_TODO_17",""
42,"TEXT_HEAVNZ007_01732_TODO_18",""
43,"TEXT_HEAVNZ007_01732_TODO_19",""
44,"TEXT_HEAVNZ007_01732_TODO_20",""
45,"TEXT_HEAVNZ007_01732_TODO_21",""
46,"TEXT_HEAVNZ007_01732_TODO_22",""
47,"TEXT_HEAVNZ007_01732_TODO_23",""
48,"TEXT_HEAVNZ007_01732_NOIRTEREL_000_000","え、なにか手伝えることはあるかですって？
そう言われても、外部の方にお願いすることは……。
……いや、あれなら冒険者のあなた向きかもしれません。"
49,"TEXT_HEAVNZ007_01732_NOIRTEREL_000_001","この辺りに棲息している「<Sheet(BNpcName,3470,0)/>」を狩って、
「<Sheet(EventItem,2001594,0)/>」を集めてきてくれますか？
そうですね、3体分ほどお願いします。"
50,"TEXT_HEAVNZ007_01732_NOIRTEREL_000_002","連中の肉は、固くて不味い……！
ですが、物資が不足がちなここでは、貴重な食料なのです。"
51,"TEXT_HEAVNZ007_01732_NOIRTEREL_000_010","この辺りに棲息している「<Sheet(BNpcName,3470,0)/>」を狩って、
「<Sheet(EventItem,2001594,0)/>」を集めてきてくれますか？
そうですね、3体分ほどお願いします。"
52,"TEXT_HEAVNZ007_01732_NOIRTEREL_000_030","この辺りに棲息している「<Sheet(BNpcName,3470,0)/>」を狩って、
「<Sheet(EventItem,2001594,0)/>」を集めてきてくれますか？
そうですね、3体分ほどお願いします。"
53,"TEXT_HEAVNZ007_01732_NOIRTEREL_000_031","もう狩ってきてくれたのですか！
……この不味い肉を、どう調理するのかって？
ははは、こいつはこのまま外で凍らせるんですよ。"
54,"TEXT_HEAVNZ007_01732_NOIRTEREL_000_032","ファルコンネストは、皇都イシュガルドを護る重要な拠点。
ドラゴン族の猛攻にも、篭城して耐え抜く必要がある……。
それに備えての保存食にするってわけです。"
55,"TEXT_HEAVNZ007_01732_NOIRTEREL_000_033","これだけあれば、いざという時も大丈夫でしょう。
助かりました、あなたには感謝していますよ！"
