0,TEXT_LUCKBB102_03262_SEQ_00,Radovan est impatient de se lancer à l'aventure.
1,TEXT_LUCKBB102_03262_SEQ_01,"Content de voir que vous êtes prête à commencer votre en­traî­ne­ment au maniement de la pistolame, Radovan vous a proposé d'aller d'abord chercher du travail à Gridania. Vous avez expliqué à vos deux nouveaux compagnons que la meilleure chose à faire était de s'inscrire à la guilde des aventuriers. Retrouvez donc Radovan aux Feuilles de carline."
2,TEXT_LUCKBB102_03262_SEQ_02,"Lorsque vous l'avez rejoint, le Hrothgar vous a appris que lui et Sophie étaient désormais des aventuriers. D'ailleurs, ils vous ont dit avoir trouvé une offre de travail en tant que gardes du corps. Le client s'appelle Lassenchou et attend près de la caserne des Vigiles."
3,TEXT_LUCKBB102_03262_SEQ_03,"Cet Élézen vous a expliqué que sa protégée, une jeune, talentueuse et populaire joueuse de clavecin répondant au nom d'Editha, était la cible de menaces et avait été consignée à son domicile afin d'éviter qu'il lui arrive du mal. Hélas, la virtuose insistant pour qu'on la laisse se promener du côté de l'amphithéâtre de Mih Khetto, Lassenchou n'a pas eu d'autre choix que de faire appel à des gardes du corps. Pendant que l'impresario va dire à Editha de se préparer, Radovan vous a proposé de recueillir des in­for­ma­tions au sujet de la claveciniste afin de mieux comprendre qui pourrait lui en vouloir et aussi repérer les lieux pour contrecarrer d'éventuels guets-apens. Allez donc interroger des gens à l'amphithéâtre de Mih Khetto."
4,TEXT_LUCKBB102_03262_SEQ_04,"Vous avez questionné quelques personnes, et il en ressort que la majorité des gens pensent que les menaces à l'encontre d'Editha viennent d'un fan dérangé qui souhaite se l'accaparer. Il ne vous reste plus qu'à faire un rapport à Radovan."
5,TEXT_LUCKBB102_03262_SEQ_05,"Le vieux Hrothgar vous a présenté une femme du nom d'Ondine, elle aussi claveciniste, avec laquelle il s'entretenait. Elle aussi a semblé convaincue qu'Editha était la victime d'un admirateur un peu trop fervent. Ces in­for­ma­tions en tête, Radovan vous a proposé de retourner auprès de Lassenchou pour voir si lui et sa protégée étaient prêts à faire cette fameuse promenade de tous les dangers."
6,TEXT_LUCKBB102_03262_SEQ_06,"Peu de temps après que vous avez rejoint l'impresario, la fameuse Editha a fait son apparition, sa tenue vestimentaire tout aussi excentrique que vous pouviez l'espérer, après les nombreux témoignages que vous aviez entendus, notamment son couvre-chef surmonté d'oreilles de lapin. C'est alors que vous escortiez la jeune joueuse de clavecin en compagnie de Radovan que vous avez été attaqués par un groupe de malfrats dirigés par une étrange femme masquée !"
7,TEXT_LUCKBB102_03262_SEQ_07,"Heu­reu­se­ment, votre compagnon hrothgar et vous-même avez réussi à maîtriser ces agresseurs sans que le moindre mal n'ait été fait à Editha. Vous avez alors découvert que la personne à l'origine des menaces n'était autre qu'Ondine, qui désirait faire disparaître la jeune claveciniste par jalousie. La coupable ayant été mise aux arrêts, tout est bien qui finit bien, mais Editha vous a demandé de lui accorder un peu de votre temps pour vous parler, à vous, Radovan et Sophie, en privé. Rejoignez-la donc au Courtil."
8,TEXT_LUCKBB102_03262_SEQ_08,"Lorsque vous l'avez retrouvée, la jeune artiste vous a expliqué vouloir vous révéler un secret pour vous remercier d'avoir risqué vos vies pour protéger la sienne. Vous avez alors découvert qu'Editha est en réalité un Sylphe féru de musique qui prend forme humaine pour jouer du clavecin. Ce premier travail de garde du corps ayant été mené avec succès, Radovan vous a fait une courte (ou plutôt longue, selon Sophie) explication de l'origine des pistosabreurs. Il a proposé d'aller visiter une autre ville d'Éorzéa, et sa camarade a décidé qu'Ul'dah serait la destination idéale du fait de son commerce prospère. Rendez-vous donc aux Sables mouvants, dans la cité des sables.

* Vous devez avoir terminé la quête de l'épopée “L'émissaire de Gridania” pour pouvoir vous rendre à Ul'dah."
9,TEXT_LUCKBB102_03262_SEQ_09,"Vous avez retrouvé Radovan à la guilde des aventuriers d'Ul'dah, et celui-ci vous a expliqué qu'il n'y avait pas pour le moment de travail pour des gardes du corps. Il vous a donc recommandé de vous entraîner au maniement de la pistolame en attendant.
* Radovan propose la prochaine quête aux pistosabreurs de niveau 63."
10,TEXT_LUCKBB102_03262_SEQ_10,
11,TEXT_LUCKBB102_03262_SEQ_11,
12,TEXT_LUCKBB102_03262_SEQ_12,
13,TEXT_LUCKBB102_03262_SEQ_13,
14,TEXT_LUCKBB102_03262_SEQ_14,
15,TEXT_LUCKBB102_03262_SEQ_15,
16,TEXT_LUCKBB102_03262_SEQ_16,
17,TEXT_LUCKBB102_03262_SEQ_17,
18,TEXT_LUCKBB102_03262_SEQ_18,
19,TEXT_LUCKBB102_03262_SEQ_19,
20,TEXT_LUCKBB102_03262_SEQ_20,
21,TEXT_LUCKBB102_03262_SEQ_21,
22,TEXT_LUCKBB102_03262_SEQ_22,
23,TEXT_LUCKBB102_03262_SEQ_23,
24,TEXT_LUCKBB102_03262_TODO_00,"Parler à Radovan, aux Feuilles de carline, à Gridania"
25,TEXT_LUCKBB102_03262_TODO_01,"Parler à Lassenchou, près de la caserne des Vigiles"
26,TEXT_LUCKBB102_03262_TODO_02,Recueillir des in­for­ma­tions près de l'amphithéâtre de Mih Khetto
27,TEXT_LUCKBB102_03262_TODO_03,Faire un rapport à Radovan
28,TEXT_LUCKBB102_03262_TODO_04,"Parler à Lassenchou, près de la caserne des Vigiles"
29,TEXT_LUCKBB102_03262_TODO_05,Parler à Lassenchou
30,TEXT_LUCKBB102_03262_TODO_06,"Parler à Editha, au Courtil"
31,TEXT_LUCKBB102_03262_TODO_07,"Parler à Radovan, aux Sables mouvants, à Ul'dah"
32,TEXT_LUCKBB102_03262_TODO_08,
33,TEXT_LUCKBB102_03262_TODO_09,
34,TEXT_LUCKBB102_03262_TODO_10,
35,TEXT_LUCKBB102_03262_TODO_11,
36,TEXT_LUCKBB102_03262_TODO_12,
