key,0,1
#,,
int32,str,str
0,"TEXT_LUCKMA203_03284_SEQ_00","Alphinaud est prêt à se mettre en route."
1,"TEXT_LUCKMA203_03284_SEQ_01",""
2,"TEXT_LUCKMA203_03284_SEQ_02",""
3,"TEXT_LUCKMA203_03284_SEQ_03",""
4,"TEXT_LUCKMA203_03284_SEQ_04",""
5,"TEXT_LUCKMA203_03284_SEQ_05",""
6,"TEXT_LUCKMA203_03284_SEQ_06",""
7,"TEXT_LUCKMA203_03284_SEQ_07",""
8,"TEXT_LUCKMA203_03284_SEQ_08",""
9,"TEXT_LUCKMA203_03284_SEQ_09",""
10,"TEXT_LUCKMA203_03284_SEQ_10",""
11,"TEXT_LUCKMA203_03284_SEQ_11",""
12,"TEXT_LUCKMA203_03284_SEQ_12",""
13,"TEXT_LUCKMA203_03284_SEQ_13",""
14,"TEXT_LUCKMA203_03284_SEQ_14",""
15,"TEXT_LUCKMA203_03284_SEQ_15",""
16,"TEXT_LUCKMA203_03284_SEQ_16",""
17,"TEXT_LUCKMA203_03284_SEQ_17",""
18,"TEXT_LUCKMA203_03284_SEQ_18",""
19,"TEXT_LUCKMA203_03284_SEQ_19",""
20,"TEXT_LUCKMA203_03284_SEQ_20",""
21,"TEXT_LUCKMA203_03284_SEQ_21",""
22,"TEXT_LUCKMA203_03284_SEQ_22",""
23,"TEXT_LUCKMA203_03284_SEQ_23",""
24,"TEXT_LUCKMA203_03284_TODO_00","Parler à Alphinaud"
25,"TEXT_LUCKMA203_03284_TODO_01","Trouver la provenance du cri"
26,"TEXT_LUCKMA203_03284_TODO_02","Abattre le purgateur"
27,"TEXT_LUCKMA203_03284_TODO_03","Secourir la vieille dame apeurée"
28,"TEXT_LUCKMA203_03284_TODO_04","Observer les environs à l'endroit indiqué"
29,"TEXT_LUCKMA203_03284_TODO_05","Parler à Alphinaud"
30,"TEXT_LUCKMA203_03284_TODO_06","Recueillir des in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions au Vestibule"
31,"TEXT_LUCKMA203_03284_TODO_07","Parler à Alphinaud"
32,"TEXT_LUCKMA203_03284_TODO_08",""
33,"TEXT_LUCKMA203_03284_TODO_09",""
34,"TEXT_LUCKMA203_03284_TODO_10",""
35,"TEXT_LUCKMA203_03284_TODO_11",""
