key,0,1
#,,
int32,str,str
0,"TEXT_LUCKYA003_03671_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>Règle spéciale<Indent/>:  synchronisation de quête<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Ce Nain a sûrement des choses in<SoftHyphen/>té<SoftHyphen/>res<SoftHyphen/>santes à raconter."
1,"TEXT_LUCKYA003_03671_SEQ_01",""
2,"TEXT_LUCKYA003_03671_SEQ_02",""
3,"TEXT_LUCKYA003_03671_SEQ_03",""
4,"TEXT_LUCKYA003_03671_SEQ_04",""
5,"TEXT_LUCKYA003_03671_SEQ_05",""
6,"TEXT_LUCKYA003_03671_SEQ_06",""
7,"TEXT_LUCKYA003_03671_SEQ_07",""
8,"TEXT_LUCKYA003_03671_SEQ_08",""
9,"TEXT_LUCKYA003_03671_SEQ_09",""
10,"TEXT_LUCKYA003_03671_SEQ_10",""
11,"TEXT_LUCKYA003_03671_SEQ_11",""
12,"TEXT_LUCKYA003_03671_SEQ_12",""
13,"TEXT_LUCKYA003_03671_SEQ_13",""
14,"TEXT_LUCKYA003_03671_SEQ_14",""
15,"TEXT_LUCKYA003_03671_SEQ_15",""
16,"TEXT_LUCKYA003_03671_SEQ_16",""
17,"TEXT_LUCKYA003_03671_SEQ_17",""
18,"TEXT_LUCKYA003_03671_SEQ_18",""
19,"TEXT_LUCKYA003_03671_SEQ_19",""
20,"TEXT_LUCKYA003_03671_SEQ_20",""
21,"TEXT_LUCKYA003_03671_SEQ_21",""
22,"TEXT_LUCKYA003_03671_SEQ_22",""
23,"TEXT_LUCKYA003_03671_SEQ_23",""
24,"TEXT_LUCKYA003_03671_TODO_00","Parler au surveillant de mine, au sud-est de Komra"
25,"TEXT_LUCKYA003_03671_TODO_01","Parler au porion nain"
26,"TEXT_LUCKYA003_03671_TODO_02","Parler à Anogg, à Komra"
27,"TEXT_LUCKYA003_03671_TODO_03","Obtenir <SheetFr(EventItem,1,2002900,1,1)/>"
28,"TEXT_LUCKYA003_03671_TODO_04","Remettre <SheetFr(EventItem,2,2002900,1,1)/> à Anogg"
29,"TEXT_LUCKYA003_03671_TODO_05","Obtenir <SheetFr(EventItem,1,2002901,1,1)/>, dans les montagnes des Duergars"
