key,0,1
#,,
int32,str,str
0,"TEXT_REGOTH3NAMAI_00412_NANOHANA_000_000","Bienvenue à Namai, aventuri<If(PlayerParameter(4))>ère<Else/>er</If>. Si vous avez des questions, je me ferai un plaisir d'y répondre."
1,"TEXT_REGOTH3NAMAI_00412_NANOHANA_000_001","Quel plaisir de vous voir, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/><Indent/>! Si vous avez des questions, je me ferai un plaisir d'y répondre."
2,"TEXT_REGOTH3NAMAI_00412_Q1_000_000","Sur quoi vous renseignez-vous<Indent/>?"
3,"TEXT_REGOTH3NAMAI_00412_A1_000_001","Votre interlocutrice"
4,"TEXT_REGOTH3NAMAI_00412_A1_000_002","Cet endroit"
5,"TEXT_REGOTH3NAMAI_00412_A1_000_003","Annuler"
6,"TEXT_REGOTH3NAMAI_00412_NANOHANA_000_010","Je m'appelle Nanohana, et je vis à Namai depuis que je suis née."
7,"TEXT_REGOTH3NAMAI_00412_NANOHANA_000_011","C'est un village calme et tranquille où il ne se passe pas grand-chose d'habitude, mais je l'aime de tout mon cœur. En plus, les sources d'eau naturelles de la région nous permettent de cultiver du riz absolument délicieux."
8,"TEXT_REGOTH3NAMAI_00412_NANOHANA_000_020","Vous êtes au village de Namai. Nous vivons presque entièrement de la culture du riz dans les rizières inondées aux alentours."
9,"TEXT_REGOTH3NAMAI_00412_NANOHANA_000_021","D'ailleurs, dans notre langue régionale, le mot “namai” est le nom donné à une plante appelée “sagittaire” en langue commune, et qui pousse prin<SoftHyphen/>ci<SoftHyphen/>pa<SoftHyphen/>le<SoftHyphen/>ment dans les rizières."
10,"TEXT_REGOTH3NAMAI_00412_NANOHANA_000_022","Depuis que les Impériaux nous ont colonisés, beaucoup de mes amis ont été réquisitionnés pour travailler à leur service. J'espère simplement qu'ils vont bien..."
11,"TEXT_REGOTH3NAMAI_00412_NANOHANA_000_023","Depuis que les Impériaux nous ont colonisés, beaucoup de mes amis ont été réquisitionnés pour travailler à leur service. Je dois donc faire de mon mieux pour aider à chasser les envahisseurs hors de nos terres<Indent/>!"
12,"TEXT_REGOTH3NAMAI_00412_NANOHANA_000_024","<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>, merci infiniment pour votre aide si précieuse<Indent/>! Grâce à vous, nous sommes enfin libres, et nous vous serons redevables aussi longtemps que nous vivrons<Indent/>!"
