key,0,1
#,,
int32,str,str
0,"TEXT_BANAMA110_01231_SEQ_00","灰の陣営のフィブブ・ガーには、果たすべき使命があるようだ。"
1,"TEXT_BANAMA110_01231_SEQ_01","フィブブ・ガーの依頼を受けた。ザハラク戦陣の西にある「<Sheet(BNpcName,1390,0)/>」を2基破壊しよう。"
2,"TEXT_BANAMA110_01231_SEQ_02","<Sheet(BNpcName,1390,0)/>を破壊した。灰の陣営の「フィブブ・ガー」に報告しよう。"
3,"TEXT_BANAMA110_01231_SEQ_03","フィブブ・ガーに報告した。冒険者の戦いぶりに、フィブブ・ガーは深く感謝しているようだ。いずれ同じようなことがあった場合も期待していると彼は語った。"
4,"TEXT_BANAMA110_01231_SEQ_04",""
5,"TEXT_BANAMA110_01231_SEQ_05",""
6,"TEXT_BANAMA110_01231_SEQ_06",""
7,"TEXT_BANAMA110_01231_SEQ_07",""
8,"TEXT_BANAMA110_01231_SEQ_08",""
9,"TEXT_BANAMA110_01231_SEQ_09",""
10,"TEXT_BANAMA110_01231_SEQ_10",""
11,"TEXT_BANAMA110_01231_SEQ_11",""
12,"TEXT_BANAMA110_01231_SEQ_12",""
13,"TEXT_BANAMA110_01231_SEQ_13",""
14,"TEXT_BANAMA110_01231_SEQ_14",""
15,"TEXT_BANAMA110_01231_SEQ_15",""
16,"TEXT_BANAMA110_01231_SEQ_16",""
17,"TEXT_BANAMA110_01231_SEQ_17",""
18,"TEXT_BANAMA110_01231_SEQ_18",""
19,"TEXT_BANAMA110_01231_SEQ_19",""
20,"TEXT_BANAMA110_01231_SEQ_20",""
21,"TEXT_BANAMA110_01231_SEQ_21",""
22,"TEXT_BANAMA110_01231_SEQ_22",""
23,"TEXT_BANAMA110_01231_SEQ_23",""
24,"TEXT_BANAMA110_01231_TODO_00","ザハラク戦陣西の<Sheet(BNpcName,1390,0)/>を破壊"
25,"TEXT_BANAMA110_01231_TODO_01","フィブブ・ガーに報告"
26,"TEXT_BANAMA110_01231_TODO_02",""
27,"TEXT_BANAMA110_01231_TODO_03",""
28,"TEXT_BANAMA110_01231_TODO_04",""
29,"TEXT_BANAMA110_01231_TODO_05",""
30,"TEXT_BANAMA110_01231_TODO_06",""
31,"TEXT_BANAMA110_01231_TODO_07",""
32,"TEXT_BANAMA110_01231_TODO_08",""
33,"TEXT_BANAMA110_01231_TODO_09",""
34,"TEXT_BANAMA110_01231_TODO_10",""
35,"TEXT_BANAMA110_01231_TODO_11",""
36,"TEXT_BANAMA110_01231_TODO_12",""
37,"TEXT_BANAMA110_01231_TODO_13",""
38,"TEXT_BANAMA110_01231_TODO_14",""
39,"TEXT_BANAMA110_01231_TODO_15",""
40,"TEXT_BANAMA110_01231_TODO_16",""
41,"TEXT_BANAMA110_01231_TODO_17",""
42,"TEXT_BANAMA110_01231_TODO_18",""
43,"TEXT_BANAMA110_01231_TODO_19",""
44,"TEXT_BANAMA110_01231_TODO_20",""
45,"TEXT_BANAMA110_01231_TODO_21",""
46,"TEXT_BANAMA110_01231_TODO_22",""
47,"TEXT_BANAMA110_01231_TODO_23",""
48,"TEXT_BANAMA110_01231_FIBUBBGAH_000_001","ザハラク戦陣の者どもの力の源……
これ、焔神の放ちし邪な炎なり。"
49,"TEXT_BANAMA110_01231_FIBUBBGAH_000_002","きゃつらは、かつて呼び出した焔神の吐きし炎を
密かに隠し持ち、ひとつの術式を組み上げん。"
50,"TEXT_BANAMA110_01231_FIBUBBGAH_000_003","そして、その炎を用意したまじないの聖火台に灯し、
焔神の加護を増さんと欲す。"
51,"TEXT_BANAMA110_01231_FIBUBBGAH_000_004","「<Sheet(BNpcName,1390,0)/>」を破壊せよ！
これこそ我らが「灰の一党」の使命！
惰弱の産物たる炎を、この世から絶やさん！"
52,"TEXT_BANAMA110_01231_FIBUBBGAH_000_005","(カット)"
53,"TEXT_BANAMA110_01231_FIBUBBGAH_000_006","……されど、注意めされよ。
聖火台は敵軍の要、それを守るアマルジャ族は強敵ぞ。
重々に注意してかかるものだと心得られたし。"
54,"TEXT_BANAMA110_01231_FIBUBBGAH_000_011","「<Sheet(BNpcName,1390,0)/>」を破壊せよ！
これこそ我らが「灰の一党」の使命！
惰弱の産物たる炎を、この世から絶やさん！"
55,"TEXT_BANAMA110_01231_FIBUBBGAH_000_012","戻ったか、強き者よ！
<Sheet(BNpcName,1390,0)/>の破壊、真に御苦労なり！
観感興起、貴公の勇戦に称賛を！"
56,"TEXT_BANAMA110_01231_FIBUBBGAH_000_013","……されど、きゃつらの奸計、いまだ尽きず。
いずれはまた同じようなことがあらん。
その時は、再び貴公の力を借りることになろう。"
