key,0,1
18,"TEXT_FESVLT003_01299_SEQ_18",""
19,"TEXT_FESVLT003_01299_SEQ_19",""
20,"TEXT_FESVLT003_01299_SEQ_20",""
21,"TEXT_FESVLT003_01299_SEQ_21",""
22,"TEXT_FESVLT003_01299_SEQ_22",""
23,"TEXT_FESVLT003_01299_SEQ_23",""
24,"TEXT_FESVLT003_01299_TODO_00","グリダニアのネモ・マイモーヴと話す"
25,"TEXT_FESVLT003_01299_TODO_01","グウェインに似た男と話す"
26,"TEXT_FESVLT003_01299_TODO_02","ネモ・マイモーヴと話す"
27,"TEXT_FESVLT003_01299_TODO_03","エ・タッタ監視哨のグウェインと話す"
28,"TEXT_FESVLT003_01299_TODO_04","グリダニアのネモ・マイモーヴと話す"
29,"TEXT_FESVLT003_01299_TODO_05","エ・タッタ監視哨のギルバルトと話す"
30,"TEXT_FESVLT003_01299_TODO_06",""
31,"TEXT_FESVLT003_01299_TODO_07",""
32,"TEXT_FESVLT003_01299_TODO_08",""
33,"TEXT_FESVLT003_01299_TODO_09",""
34,"TEXT_FESVLT003_01299_TODO_10",""
35,"TEXT_FESVLT003_01299_TODO_11",""
36,"TEXT_FESVLT003_01299_TODO_12",""
37,"TEXT_FESVLT003_01299_TODO_13",""
38,"TEXT_FESVLT003_01299_TODO_14",""
39,"TEXT_FESVLT003_01299_TODO_15",""
40,"TEXT_FESVLT003_01299_TODO_16",""
41,"TEXT_FESVLT003_01299_TODO_17",""
42,"TEXT_FESVLT003_01299_TODO_18",""
43,"TEXT_FESVLT003_01299_TODO_19",""
44,"TEXT_FESVLT003_01299_TODO_20",""
45,"TEXT_FESVLT003_01299_TODO_21",""
46,"TEXT_FESVLT003_01299_TODO_22",""
47,"TEXT_FESVLT003_01299_TODO_23",""
48,"TEXT_FESVLT003_01299_LISSETE_100_110","「愛の伝道師の助手」のお仕事、順調かなぁ～？
……もしかして、「愛」を探すのに疲れちゃった？
そうよね～、世界は広いもんね～。"
49,"TEXT_FESVLT003_01299_LISSETE_100_111","しかたないなぁ～。
じゃあ特別に、リゼットの「愛の検索」で探しちゃおう☆
……むむむ～！　愛、でましたっ☆"
50,"TEXT_FESVLT003_01299_LISSETE_100_112","グリダニアの旧市街にいる「ネモ・マイモーヴ」って女の子が、
「愛」について悩んでるみたいだよ！
「愛の伝道師の助手」のお仕事、よろしくで～す☆"
51,"TEXT_FESVLT003_01299_NEMOHMAIMHOV_000_000","あっ、もしかして……ううん、なんでもない……。
……やっぱり、私のお願い聞いてくれる？"
52,"TEXT_FESVLT003_01299_NEMOHMAIMHOV_000_001","……霊災の直前、私はある殿方と夫婦の契りを交わしたの。
でも、その直後に「カルテノーの戦い」が始まった。
彼は戦地へ赴いたきり、いまだに帰らない……。"
53,"TEXT_FESVLT003_01299_NEMOHMAIMHOV_000_002","親にも友達にも、彼は戦死したから諦めろと言われたわ。
でも、私は彼が生きてるってわかる……。
だって、私と彼は運命の絆で結ばれてるから。"
54,"TEXT_FESVLT003_01299_NEMOHMAIMHOV_000_003","……だから、私は彼の姿を探し続けたわ。
そして、ついに「ミィ・ケット野外音楽堂」で、
彼に似た殿方を見かけたの！"
55,"TEXT_FESVLT003_01299_NEMOHMAIMHOV_000_004","あのミッドランダーは、確かに「グウェイン」だった！
その証拠に、羽飾りがついた白い帽子を被っていたもの！
私が彼へ贈ったものだから、見間違えるはずないわ。"
56,"TEXT_FESVLT003_01299_NEMOHMAIMHOV_000_005","あの殿方をグリダニアで探して、名前を聞いてきてほしいの。
グウェイン本人だったら、私がここで待ってると伝えて！"
57,"TEXT_FESVLT003_01299_GYLBART_000_010","冒険者殿、困ったことはありませんか？
……こんな格好をしていますが、私は鬼哭隊の一員。
最近、報告があった詐欺師の警戒に当たっているのです。"
58,"TEXT_FESVLT003_01299_GYLBART_000_011","おや、尋ね人ですって？
ふむふむ、その人の尋ね人の特徴に私があてはまったと。
……なるほど、さてはネモからの依頼では？"
59,"TEXT_FESVLT003_01299_GYLBART_000_012","(-ギルバルト-)やはり……私は、ネモの幼馴染のギルバルトといいます。
彼女が捜し求める「グウェイン」の代わりになりたくて、
グウェインの真似ごとをしているのですが……。"
60,"TEXT_FESVLT003_01299_GYLBART_000_013","(-ギルバルト-)彼女ときたら、私のことなどまったく眼中にないようで。
死んだ男に負けるとは、私はどれだけ頼りないんでしょう……。
ははは……。"
61,"TEXT_FESVLT003_01299_GYLBART_000_015","(-ギルバルト-)こんな格好をしていますが、私は鬼哭隊の一員。
最近、報告があった詐欺師の警戒に当たっているのです。"
62,"TEXT_FESVLT003_01299_RASIKIMAN_000_020","……私が、グウェインという人ではないかと？
いえ残念ながら、私は最近この地に流れ着いた冒険者。"
63,"TEXT_FESVLT003_01299_RASIKIMAN_000_021","そのお嬢さんは気の毒ではあるが……。
戦争で愛する人と引き裂かれるなんて、よくある話だ。"
64,"TEXT_FESVLT003_01299_RASIKIMAN_000_025","そのお嬢さんは気の毒ではあるが……。
戦争で愛する人と引き裂かれるなんて、よくある話だ。"
65,"TEXT_FESVLT003_01299_RASIKIMAN_000_030","ふむ、尋ね人を？　悪いが人違いだ。
まてよ、そういえば……。"
66,"TEXT_FESVLT003_01299_RASIKIMAN_000_031","「エ・タッタ監視哨」にいた男が、
確か「グウェイン」と名乗っていた気がするぞ。"
67,"TEXT_FESVLT003_01299_RASIKIMAN_000_035","「エ・タッタ監視哨」にいた男が、
確か「グウェイン」と名乗っていた気がするぞ。"
68,"TEXT_FESVLT003_01299_NEMOHMAIMHOV_000_040","……そう、あの人は都市を出てしまったようね……。"
69,"TEXT_FESVLT003_01299_NEMOHMAIMHOV_100_040","でも、北部森林の「エ・タッタ監視哨」にいるという殿方は、
きっとグウェインにちがいないわ。
だって、私の直感がそう言ってるもの！"
70,"TEXT_FESVLT003_01299_NEMOHMAIMHOV_000_041","彼が私に会いに来てくれないのは、
きっと深い事情があるからにちがいないの……。
「グウェイン」に話して、事情を聞いてみてくれないかしら？"
71,"TEXT_FESVLT003_01299_NEMOHMAIMHOV_000_045","グウェインが私に会いに来てくれないのは、
きっと深い事情があるにちがいないの……。
「グウェイン」に話して、事情を聞いてみてくれないかしら？"
72,"TEXT_FESVLT003_01299_GWAYNE_000_050","はい、確かに私はグウェインですが……。
え、婚約者のネモが私を待っているですって！？"
73,"TEXT_FESVLT003_01299_GWAYNE_000_051","じ、実は……私は霊災以前の記憶を失っております。
「カルテノーの戦い」に参加した時の傷のせいだと、
幻術士様に言われました。"
74,"TEXT_FESVLT003_01299_GWAYNE_000_052","ですので、そのモネだかネモだかいうお嬢さんには
新しい人生を歩むように、お伝えください。
……では、私は急用がありますので、これにて。"
75,"TEXT_FESVLT003_01299_NEMOHMAIMHOV_000_060","冒険者さん、グウェインを見つけることができましたか？"
76,"TEXT_FESVLT003_01299_NEMOHMAIMHOV_100_060","……グウェインが記憶喪失ですって！？
そんな……私のことを忘れてしまったの！？"
77,"TEXT_FESVLT003_01299_NEMOHMAIMHOV_000_061","でも……記憶がなくても、命があるなら……
もう一度出会って、最初からやりなおせばいい！
だって、私と彼は運命の絆で結ばれているから！"
78,"TEXT_FESVLT003_01299_NEMOHMAIMHOV_000_062","冒険者さん、お願い。
彼のために作ったヴァレンティオンデーのチョコを
エ・タッタ監視哨にいる「グウェイン」へ手渡してください。"
79,"TEXT_FESVLT003_01299_NEMOHMAIMHOV_000_063","その時に伝えてほしいの。
あなたが私を忘れても、私の気持ちは変わらない……と。
そうすれば……彼の記憶が蘇るにちがいないわ。"
80,"TEXT_FESVLT003_01299_NEMOHMAIMHOV_000_064","あら、ギルバルト！
ねえ聞いて、グウェインが……。"
81,"TEXT_FESVLT003_01299_GYLBART_000_065","(-ギルバルト-)……悪い、話は全部聞いてしまった。
だがネモ……ヤツのことは諦めろ。
いつまでも過去にこだわってないで前を向け！"
82,"TEXT_FESVLT003_01299_NEMOHMAIMHOV_000_066","なんてこと言うの！
ふたりが触れ合えば、すぐに彼の記憶は戻るわ！
だって私と彼は、離れられない運命の相手なんだから！"
83,"TEXT_FESVLT003_01299_GYLBART_000_067","(-ギルバルト-)記憶がないってことは、
君が知っているグウェインとは別人ってことなんだぞ！"
84,"TEXT_FESVLT003_01299_NEMOHMAIMHOV_000_068","ひどい！
あんたは、私と彼の運命を邪魔する悪魔だったのね！"
85,"TEXT_FESVLT003_01299_GYLBART_000_069","(-ギルバルト-)何をわけのわからないことを言ってるんだ……。
君の幸せのためだ、わかってくれ。
私はもう、そんな風に壊れていく君を見たくない！"
86,"TEXT_FESVLT003_01299_NEMOHMAIMHOV_000_070","私は、あんたの顔なんて見たくない！
もう帰って、帰ってよ！！"
87,"TEXT_FESVLT003_01299_GYLBART_000_071","(-ギルバルト-)君に話がある。
……ネモには内緒で、
北部森林の「エ・タッタ監視哨」に来てくれ。"
88,"TEXT_FESVLT003_01299_GYLBART_000_080","来てくれたのか。
……見てのとおり、グウェインは拘束した。"
89,"TEXT_FESVLT003_01299_GYLBART_000_081","このグウェインこそ……
最近、あたりを騒がし、我ら鬼哭隊が追っていた詐欺師だ。"
90,"TEXT_FESVLT003_01299_GWAYNE_000_082","……ちっ、まさか男の嫉妬でお縄頂戴とはなっ！
モネだかネモだかしらねーが、
ただの遊びの女だったってのによ！"
91,"TEXT_FESVLT003_01299_GYLBART_000_083","遊びだと……！？
ネモと婚約までしておいて、遊びだったって言うのか！？"
92,"TEXT_FESVLT003_01299_GWAYNE_000_084","思いこみが激しくて不気味な女だったが、金は持っててな。
貢がせた金で南洋諸島へ飛んだおかげで霊災を免れたが、
今となっちゃ、とんだ疫病神だったな！"
93,"TEXT_FESVLT003_01299_GYLBART_000_085","もう、しゃべるなっ！
これ以上、痛めつけられたくなければなっ！"
94,"TEXT_FESVLT003_01299_GYLBART_000_086","驚かせてしまったね。
本当は、ここまで見せるつもりじゃなかったんだが……
ネモのことだから、つい余計なことをしてしまった。"
95,"TEXT_FESVLT003_01299_GYLBART_000_087","ヤツは記憶を失っていないどころか、
数々の女性をだました結婚詐欺師だったんだ。
……このことは、ネモには隠しておいてくれ。"
96,"TEXT_FESVLT003_01299_GYLBART_000_088","ん……その箱はいったい……？
ネモが作ったグウェインへのチョコか……？"
97,"TEXT_FESVLT003_01299_SYSYTEM_Q1_000_1","チョコを誰に渡しますか？"
98,"TEXT_FESVLT003_01299_SYSYTEM_A1_000_1","グウェイン宛てとしてギルバルトへ託す"
99,"TEXT_FESVLT003_01299_SYSYTEM_A2_000_2","ギルバルトへ渡す"
100,"TEXT_FESVLT003_01299_GYLBART_000_089","そのチョコを受けとるわけにはいかない。
だが、ネモに返すわけにもいかないか……
そうだ、ネモのために走り回ってくれた君が受けとるといい。"
101,"TEXT_FESVLT003_01299_GYLBART_000_090","……いつか、彼女が心に平穏を取り戻し、
私へのチョコを作ってくれる日が来るといいな。
その日まで、私は彼女を支え続けるつもりさ……。"
102,"TEXT_FESVLT003_01299_GWAYNET_000_100","いつつつ、お～いてぇ。
思いっきりぶん殴りやがって……。
……男の嫉妬は醜いぜ、まったく。"
103,"TEXT_FESVLT003_01299_SYSTEM_100_120","リムサ・ロミンサ、グリダニア、ウルダハ、
すべての都市で「愛の伝道師の助手」の仕事が完了しました！"
104,"TEXT_FESVLT003_01299_SYSTEM_100_121","リムサ・ロミンサのヴァレンティオンデー会場にいる
「リゼット・ド・ヴァレンティオン」に報告しましょう。"
