0,"TEXT_SUBSEA155_01146_SEQ_00","The bashful air ill suits a Roegadyn but Ahldfoet has it nevertheless, wearing the sheepishness like an incommodious singlet."
1,"TEXT_SUBSEA155_01146_SEQ_01","Ahldfoet has promised a favor to a mother he met at a port of call, one whose entreaties seem to stir the poet in him. Take her letter to Wiltswys at Camp Skull Valley."
2,"TEXT_SUBSEA155_01146_SEQ_02","Expecting a heartwarming scene, you hand Wiltswys the letter from her mother. Alas, you are sent away with a flea in your ear instead. Ah, family matters."
3,"TEXT_SUBSEA155_01146_SEQ_03","dummy"
4,"TEXT_SUBSEA155_01146_SEQ_04","dummy"
5,"TEXT_SUBSEA155_01146_SEQ_05","dummy"
6,"TEXT_SUBSEA155_01146_SEQ_06","dummy"
7,"TEXT_SUBSEA155_01146_SEQ_07","dummy"
8,"TEXT_SUBSEA155_01146_SEQ_08","dummy"
9,"TEXT_SUBSEA155_01146_SEQ_09","dummy"
10,"TEXT_SUBSEA155_01146_SEQ_10","dummy"
11,"TEXT_SUBSEA155_01146_SEQ_11","dummy"
12,"TEXT_SUBSEA155_01146_SEQ_12","dummy"
13,"TEXT_SUBSEA155_01146_SEQ_13","dummy"
14,"TEXT_SUBSEA155_01146_SEQ_14","dummy"
15,"TEXT_SUBSEA155_01146_SEQ_15","dummy"
16,"TEXT_SUBSEA155_01146_SEQ_16","dummy"
17,"TEXT_SUBSEA155_01146_SEQ_17","dummy"
18,"TEXT_SUBSEA155_01146_SEQ_18","dummy"
19,"TEXT_SUBSEA155_01146_SEQ_19","dummy"
20,"TEXT_SUBSEA155_01146_SEQ_20","dummy"
21,"TEXT_SUBSEA155_01146_SEQ_21","dummy"
22,"TEXT_SUBSEA155_01146_SEQ_22","dummy"
23,"TEXT_SUBSEA155_01146_SEQ_23","dummy"
24,"TEXT_SUBSEA155_01146_TODO_00","Deliver the letter to Wiltswys."
25,"TEXT_SUBSEA155_01146_TODO_01","dummy"
26,"TEXT_SUBSEA155_01146_TODO_02","dummy"
27,"TEXT_SUBSEA155_01146_TODO_03","dummy"
28,"TEXT_SUBSEA155_01146_TODO_04","dummy"
29,"TEXT_SUBSEA155_01146_TODO_05","dummy"
30,"TEXT_SUBSEA155_01146_TODO_06","dummy"
31,"TEXT_SUBSEA155_01146_TODO_07","dummy"
32,"TEXT_SUBSEA155_01146_TODO_08","dummy"
33,"TEXT_SUBSEA155_01146_TODO_09","dummy"
34,"TEXT_SUBSEA155_01146_TODO_10","dummy"
35,"TEXT_SUBSEA155_01146_TODO_11","dummy"
36,"TEXT_SUBSEA155_01146_TODO_12","dummy"
37,"TEXT_SUBSEA155_01146_TODO_13","dummy"
38,"TEXT_SUBSEA155_01146_TODO_14","dummy"
39,"TEXT_SUBSEA155_01146_TODO_15","dummy"
40,"TEXT_SUBSEA155_01146_TODO_16","dummy"
41,"TEXT_SUBSEA155_01146_TODO_17","dummy"
42,"TEXT_SUBSEA155_01146_TODO_18","dummy"
43,"TEXT_SUBSEA155_01146_TODO_19","dummy"
44,"TEXT_SUBSEA155_01146_TODO_20","dummy"
45,"TEXT_SUBSEA155_01146_TODO_21","dummy"
46,"TEXT_SUBSEA155_01146_TODO_22","dummy"
47,"TEXT_SUBSEA155_01146_TODO_23","dummy"
48,"TEXT_SUBSEA155_01146_AHLDFOET_000_000","Ahoy, \x02,\r\xff\x07\x02)\x03\xeb\x02\x03\xff\x02 \x02\x03. It clean slipped my mind the last time, but I've another thing to ask of ye. My bearings are lively on the water, but on land\xe2\x94\x80well, I'm what you landlubbers call \x02\x1a\x02\x02\x03at sea\x02\x1a\x02\x01\x03. Got a letter that needs delivering and you're the \x02\x08\x0e\xe9\x05\xff\x05maid\xff\x04man\x03 for it."
49,"TEXT_SUBSEA155_01146_AHLDFOET_000_001","I went ashore on some rock on the voyage in, and a faded petticoat comes up to me, says she got a daughter in Camp Skull Valley what she hadn't seen in years. Had tears in her eyes\xe2\x94\x80pretty eyes too, for a woman past her childin' years. She must've been a real beauty in her day."
50,"TEXT_SUBSEA155_01146_AHLDFOET_000_002","Always had a soft spot for tawny eyes...mayhap because the sea is a green-eyed virago and the skies, her sisters, have eyes blue and red, grey and black... Well, this daughter of hers goes by Wiltswys. You'll take the letter to her?"
51,"TEXT_SUBSEA155_01146_WILTSWYS_000_010","Greetings, adventurer. They said you were looking for me?"
52,"TEXT_SUBSEA155_01146_WILTSWYS_000_011","A letter from Mama! I haven't heard from her in so long... She never answered my letters. No, stay, for I'll have a reply to send!"
53,"TEXT_SUBSEA155_01146_WILTSWYS_000_012","What the...! Oh, the stone-hearted, grasping hag! Wouldn't let me take so much as a hunk of dried fish when I left the island, and now she wants gil? That...that \x02\x1a\x02\x02\x03succubus\x02\x1a\x02\x01\x03!"
54,"TEXT_SUBSEA155_01146_WILTSWYS_000_013","You think me cold? Well, fie on what you think! I wanted something better than tilling salty fields and spilling small fry out the nets, and occasionally taking a passing sailor into my bed for more o' the same! She'll receive no reply from me. Thank you for your service, and good \x02\x085\xe3\xe9\x0c\r\xff\x17\x02\x08\x13\xe3\xe9\x0c\x05\xff\x08evening\xff\x04day\x03\xff\x17\x02\x08\x13\xe3\xe9\x0c\x12\xff\x04day\xff\x08evening\x03\x03 to you!"
